precinct,party,candidate,votes
101,DEM,Tracy Fisher,785
101,REP,Evelyn Brooks,1475
102,DEM,Tracy Fisher,71
102,REP,Evelyn Brooks,750
103,DEM,Tracy Fisher,21
103,REP,Evelyn Brooks,184
104,DEM,Tracy Fisher,703
104,REP,Evelyn Brooks,1235
205,DEM,Tracy Fisher,162
205,REP,Evelyn Brooks,1065
206,DEM,Tracy Fisher,285
206,REP,Evelyn Brooks,338
207,DEM,Tracy Fisher,758
207,REP,Evelyn Brooks,1018
308,DEM,Tracy Fisher,286
308,REP,Evelyn Brooks,1783
309,DEM,Tracy Fisher,40
309,REP,Evelyn Brooks,375
310,DEM,Tracy Fisher,78
310,REP,Evelyn Brooks,440
311,DEM,Tracy Fisher,21
311,REP,Evelyn Brooks,16
412,DEM,Tracy Fisher,471
412,REP,Evelyn Brooks,855
413,DEM,Tracy Fisher,217
413,REP,Evelyn Brooks,1071
414,DEM,Tracy Fisher,17
414,REP,Evelyn Brooks,226
415,DEM,Tracy Fisher,16
415,REP,Evelyn Brooks,136
416,DEM,Tracy Fisher,520
416,REP,Evelyn Brooks,635
