precinct,party,candidate,votes
1,,Write-in,0
1,DEM,Joseph R Biden,99
1,GRN,Howie Hawkins,1
1,LIB,Jo Jorgensen,0
1,REP,Donald J Trump,87
2,,Write-in,0
2,DEM,Joseph R Biden,120
2,GRN,Howie Hawkins,0
2,LIB,Jo Jorgensen,5
2,REP,Donald J Trump,115
3-3,,Write-in,0
3-3,DEM,Joseph R Biden,12
3-3,GRN,Howie Hawkins,0
3-3,LIB,Jo Jorgensen,0
3-3,REP,Donald J Trump,19
3-5,,Write-in,0
3-5,DEM,Joseph R Biden,102
3-5,GRN,Howie Hawkins,1
3-5,LIB,Jo Jorgensen,3
3-5,REP,Donald J Trump,119
4,,Write-in,0
4,DEM,Joseph R Biden,105
4,GRN,Howie Hawkins,0
4,LIB,Jo Jorgensen,1
4,REP,Donald J Trump,75
