precinct,party,candidate,votes
1083,,Under Votes,12
1083,,Write-in,1
1083,DEM,Jasmine Crockett,423
1083,IND,IND Zachariah Manning,17
1083,LIB,Phil Gray,7
1083,REP,James Rodgers,143
1085,,Under Votes,6
1085,DEM,Jasmine Crockett,277
1085,IND,IND Zachariah Manning,3
1085,LIB,Phil Gray,7
1085,REP,James Rodgers,99
1090,,Under Votes,9
1090,,Write-in,6
1090,DEM,Jasmine Crockett,609
1090,IND,IND Zachariah Manning,14
1090,LIB,Phil Gray,9
1090,REP,James Rodgers,134
1094,,Under Votes,7
1094,,Write-in,1
1094,DEM,Jasmine Crockett,344
1094,IND,IND Zachariah Manning,1
1094,LIB,Phil Gray,3
1094,REP,James Rodgers,43
1095,,Under Votes,9
1095,,Write-in,4
1095,DEM,Jasmine Crockett,342
1095,IND,IND Zachariah Manning,2
1095,LIB,Phil Gray,4
1095,REP,James Rodgers,73
1096,,Under Votes,10
1096,DEM,Jasmine Crockett,324
1096,IND,IND Zachariah Manning,7
1096,LIB,Phil Gray,6
1096,REP,James Rodgers,66
1100,,Under Votes,20
1100,DEM,Jasmine Crockett,727
1100,IND,IND Zachariah Manning,9
1100,LIB,Phil Gray,5
1100,REP,James Rodgers,71
1101,,Under Votes,14
1101,DEM,Jasmine Crockett,347
1101,LIB,Phil Gray,6
1101,REP,James Rodgers,100
1101,IND,IND Zachariah Manning,2
1102,,Under Votes,12
1102,,Write-in,1
1102,DEM,Jasmine Crockett,388
1102,IND,IND Zachariah Manning,5
1102,LIB,Phil Gray,5
1102,REP,James Rodgers,120
1103,,Under Votes,3
1103,DEM,Jasmine Crockett,109
1103,LIB,Phil Gray,2
1103,REP,James Rodgers,32
1108,,Under Votes,16
1108,,Write-in,2
1108,DEM,Jasmine Crockett,584
1108,IND,IND Zachariah Manning,8
1108,LIB,Phil Gray,10
1108,REP,James Rodgers,131
1109,,Under Votes,3
1109,DEM,Jasmine Crockett,96
1109,IND,IND Zachariah Manning,4
1109,LIB,Phil Gray,1
1109,REP,James Rodgers,36
1111,,Under Votes,11
1111,DEM,Jasmine Crockett,311
1111,IND,IND Zachariah Manning,8
1111,LIB,Phil Gray,5
1111,REP,James Rodgers,93
1113,,Under Votes,1
1113,DEM,Jasmine Crockett,81
1113,IND,IND Zachariah Manning,4
1113,REP,James Rodgers,17
1124,REP,James Rodgers,1
1136,DEM,Jasmine Crockett,1
2098,,Under Votes,17
2098,,Write-in,1
2098,DEM,Jasmine Crockett,586
2098,IND,IND Zachariah Manning,9
2098,LIB,Phil Gray,11
2098,REP,James Rodgers,371
2099,,Under Votes,22
2099,,Write-in,5
2099,DEM,Jasmine Crockett,1533
2099,IND,IND Zachariah Manning,17
2099,LIB,Phil Gray,33
2099,REP,James Rodgers,522
2100,,Under Votes,30
2100,DEM,Jasmine Crockett,1472
2100,IND,IND Zachariah Manning,28
2100,LIB,Phil Gray,25
2100,REP,James Rodgers,361
2101,,Under Votes,19
2101,,Write-in,2
2101,DEM,Jasmine Crockett,548
2101,IND,IND Zachariah Manning,17
2101,LIB,Phil Gray,19
2101,REP,James Rodgers,423
2102,,Under Votes,34
2102,,Write-in,1
2102,DEM,Jasmine Crockett,1317
2102,IND,IND Zachariah Manning,24
2102,LIB,Phil Gray,34
2102,REP,James Rodgers,885
2103,,Under Votes,3
2103,,Write-in,1
2103,DEM,Jasmine Crockett,303
2103,IND,IND Zachariah Manning,8
2103,LIB,Phil Gray,6
2103,REP,James Rodgers,79
2104,,Under Votes,9
2104,DEM,Jasmine Crockett,80
2104,IND,IND Zachariah Manning,5
2104,LIB,Phil Gray,2
2104,REP,James Rodgers,66
2105,,Under Votes,16
2105,,Write-in,2
2105,DEM,Jasmine Crockett,1037
2105,IND,IND Zachariah Manning,21
2105,LIB,Phil Gray,29
2105,REP,James Rodgers,361
2106,,Under Votes,13
2106,,Write-in,2
2106,DEM,Jasmine Crockett,733
2106,IND,IND Zachariah Manning,14
2106,LIB,Phil Gray,21
2106,REP,James Rodgers,131
2107,DEM,Jasmine Crockett,23
2107,REP,James Rodgers,2
2110,,Under Votes,4
2110,DEM,Jasmine Crockett,129
2110,IND,IND Zachariah Manning,1
2110,LIB,Phil Gray,1
2110,REP,James Rodgers,25
2111,DEM,Jasmine Crockett,7
2111,REP,James Rodgers,5
2112,DEM,Jasmine Crockett,48
2112,IND,IND Zachariah Manning,1
2112,LIB,Phil Gray,1
2112,REP,James Rodgers,9
2114,,Under Votes,35
2114,DEM,Jasmine Crockett,981
2114,IND,IND Zachariah Manning,16
2114,LIB,Phil Gray,16
2114,REP,James Rodgers,747
2114,,Write-in,1
2115,,Under Votes,2
2115,,Write-in,2
2115,DEM,Jasmine Crockett,83
2115,IND,IND Zachariah Manning,1
2115,LIB,Phil Gray,2
2115,REP,James Rodgers,77
2116,DEM,Jasmine Crockett,50
2116,REP,James Rodgers,35
2116,IND,IND Zachariah Manning,1
2116,LIB,Phil Gray,1
2117,,Under Votes,14
2117,DEM,Jasmine Crockett,544
2117,IND,IND Zachariah Manning,8
2117,LIB,Phil Gray,13
2117,REP,James Rodgers,120
3000,,Under Votes,27
3000,,Write-in,1
3000,DEM,Jasmine Crockett,1095
3000,IND,IND Zachariah Manning,14
3000,LIB,Phil Gray,50
3000,REP,James Rodgers,801
3001,DEM,Jasmine Crockett,132
3001,IND,IND Zachariah Manning,4
3001,REP,James Rodgers,20
3001,,Write-in,1
3003,,Under Votes,16
3003,,Write-in,2
3003,DEM,Jasmine Crockett,730
3003,IND,IND Zachariah Manning,27
3003,LIB,Phil Gray,11
3003,REP,James Rodgers,85
3004,,Under Votes,26
3004,,Write-in,7
3004,DEM,Jasmine Crockett,869
3004,IND,IND Zachariah Manning,17
3004,LIB,Phil Gray,17
3004,REP,James Rodgers,184
3005,,Under Votes,7
3005,DEM,Jasmine Crockett,238
3005,IND,IND Zachariah Manning,1
3005,LIB,Phil Gray,1
3005,REP,James Rodgers,125
3006,,Under Votes,23
3006,DEM,Jasmine Crockett,1007
3006,IND,IND Zachariah Manning,16
3006,LIB,Phil Gray,24
3006,REP,James Rodgers,861
3007,,Under Votes,13
3007,DEM,Jasmine Crockett,359
3007,IND,IND Zachariah Manning,11
3007,LIB,Phil Gray,10
3007,REP,James Rodgers,373
3008,REP,James Rodgers,67
3008,,Under Votes,7
3008,DEM,Jasmine Crockett,313
3008,IND,IND Zachariah Manning,6
3008,LIB,Phil Gray,9
3008,,Write-in,1
3011,,Under Votes,9
3011,DEM,Jasmine Crockett,339
3011,IND,IND Zachariah Manning,7
3011,LIB,Phil Gray,12
3011,REP,James Rodgers,182
3012,DEM,Jasmine Crockett,39
3012,REP,James Rodgers,15
3013,,Under Votes,4
3013,DEM,Jasmine Crockett,172
3013,REP,James Rodgers,77
3013,,Write-in,2
3013,IND,IND Zachariah Manning,2
3013,LIB,Phil Gray,3
3014,,Under Votes,8
3014,,Write-in,3
3014,DEM,Jasmine Crockett,511
3014,IND,IND Zachariah Manning,13
3014,LIB,Phil Gray,10
3014,REP,James Rodgers,255
3015,,Under Votes,4
3015,DEM,Jasmine Crockett,48
3015,IND,IND Zachariah Manning,1
3015,REP,James Rodgers,37
3016,,Under Votes,8
3016,DEM,Jasmine Crockett,546
3016,IND,IND Zachariah Manning,12
3016,LIB,Phil Gray,8
3016,REP,James Rodgers,125
3016,,Write-in,1
3017,,Under Votes,7
3017,,Write-in,2
3017,DEM,Jasmine Crockett,196
3017,LIB,Phil Gray,2
3017,REP,James Rodgers,19
3018,,Under Votes,14
3018,,Write-in,4
3018,DEM,Jasmine Crockett,504
3018,IND,IND Zachariah Manning,6
3018,LIB,Phil Gray,3
3018,REP,James Rodgers,31
3019,,Under Votes,2
3019,DEM,Jasmine Crockett,185
3019,IND,IND Zachariah Manning,2
3019,LIB,Phil Gray,2
3019,REP,James Rodgers,7
3020,DEM,Jasmine Crockett,76
3020,REP,James Rodgers,20
3021,,Under Votes,2
3021,,Write-in,3
3021,DEM,Jasmine Crockett,235
3021,IND,IND Zachariah Manning,6
3021,LIB,Phil Gray,2
3021,REP,James Rodgers,11
3022,,Under Votes,6
3022,,Write-in,2
3022,DEM,Jasmine Crockett,395
3022,IND,IND Zachariah Manning,4
3022,LIB,Phil Gray,6
3022,REP,James Rodgers,28
3023,,Under Votes,2
3023,,Write-in,2
3023,DEM,Jasmine Crockett,334
3023,IND,IND Zachariah Manning,6
3023,LIB,Phil Gray,3
3023,REP,James Rodgers,10
3024,,Under Votes,3
3024,,Write-in,2
3024,DEM,Jasmine Crockett,341
3024,IND,IND Zachariah Manning,3
3024,LIB,Phil Gray,4
3024,REP,James Rodgers,22
3025,,Under Votes,3
3025,,Write-in,1
3025,DEM,Jasmine Crockett,39
3025,REP,James Rodgers,3
3026,,Under Votes,3
3026,DEM,Jasmine Crockett,208
3026,IND,IND Zachariah Manning,5
3026,LIB,Phil Gray,2
3026,REP,James Rodgers,8
3027,,Under Votes,8
3027,,Write-in,2
3027,DEM,Jasmine Crockett,347
3027,IND,IND Zachariah Manning,7
3027,LIB,Phil Gray,1
3027,REP,James Rodgers,18
3028,,Under Votes,1
3028,,Write-in,1
3028,DEM,Jasmine Crockett,270
3028,IND,IND Zachariah Manning,7
3028,LIB,Phil Gray,4
3028,REP,James Rodgers,14
3029,,Under Votes,7
3029,,Write-in,2
3029,DEM,Jasmine Crockett,210
3029,IND,IND Zachariah Manning,1
3029,LIB,Phil Gray,4
3029,REP,James Rodgers,7
3030,DEM,Jasmine Crockett,3
3031,,Under Votes,3
3031,,Write-in,2
3031,DEM,Jasmine Crockett,153
3031,IND,IND Zachariah Manning,4
3031,LIB,Phil Gray,4
3031,REP,James Rodgers,65
3033,DEM,Jasmine Crockett,91
3033,LIB,Phil Gray,1
3033,REP,James Rodgers,6
3034,,Under Votes,8
3034,DEM,Jasmine Crockett,424
3034,IND,IND Zachariah Manning,11
3034,LIB,Phil Gray,4
3034,REP,James Rodgers,13
3035,,Under Votes,11
3035,,Write-in,5
3035,DEM,Jasmine Crockett,372
3035,IND,IND Zachariah Manning,3
3035,LIB,Phil Gray,4
3035,REP,James Rodgers,27
3036,DEM,Jasmine Crockett,1
3036,REP,James Rodgers,1
3037,,Write-in,1
3037,DEM,Jasmine Crockett,122
3037,IND,IND Zachariah Manning,3
3037,REP,James Rodgers,8
3038,,Under Votes,5
3038,,Write-in,2
3038,DEM,Jasmine Crockett,308
3038,IND,IND Zachariah Manning,2
3038,LIB,Phil Gray,3
3038,REP,James Rodgers,18
3039,,Under Votes,6
3039,,Write-in,2
3039,DEM,Jasmine Crockett,689
3039,IND,IND Zachariah Manning,14
3039,LIB,Phil Gray,4
3039,REP,James Rodgers,34
3040,,Under Votes,2
3040,,Write-in,1
3040,DEM,Jasmine Crockett,258
3040,IND,IND Zachariah Manning,8
3040,LIB,Phil Gray,1
3040,REP,James Rodgers,13
3042,,Under Votes,8
3042,,Write-in,5
3042,DEM,Jasmine Crockett,324
3042,IND,IND Zachariah Manning,6
3042,LIB,Phil Gray,3
3042,REP,James Rodgers,15
3043,,Under Votes,11
3043,,Write-in,7
3043,DEM,Jasmine Crockett,491
3043,IND,IND Zachariah Manning,12
3043,LIB,Phil Gray,2
3043,REP,James Rodgers,17
3044,,Under Votes,13
3044,,Write-in,8
3044,DEM,Jasmine Crockett,630
3044,IND,IND Zachariah Manning,11
3044,LIB,Phil Gray,4
3044,REP,James Rodgers,31
3045,,Write-in,2
3045,DEM,Jasmine Crockett,201
3045,IND,IND Zachariah Manning,3
3045,LIB,Phil Gray,1
3045,REP,James Rodgers,15
3046,,Under Votes,18
3046,,Write-in,3
3046,DEM,Jasmine Crockett,879
3046,IND,IND Zachariah Manning,29
3046,LIB,Phil Gray,8
3046,REP,James Rodgers,133
3047,,Under Votes,5
3047,,Write-in,2
3047,DEM,Jasmine Crockett,394
3047,IND,IND Zachariah Manning,10
3047,LIB,Phil Gray,5
3047,REP,James Rodgers,139
3048,,Under Votes,9
3048,DEM,Jasmine Crockett,733
3048,IND,IND Zachariah Manning,17
3048,LIB,Phil Gray,5
3048,REP,James Rodgers,37
3049,,Under Votes,12
3049,,Write-in,5
3049,DEM,Jasmine Crockett,572
3049,IND,IND Zachariah Manning,11
3049,LIB,Phil Gray,3
3049,REP,James Rodgers,27
3050,,Under Votes,3
3050,,Write-in,3
3050,DEM,Jasmine Crockett,458
3050,IND,IND Zachariah Manning,3
3050,LIB,Phil Gray,5
3050,REP,James Rodgers,33
3051,,Under Votes,2
3051,DEM,Jasmine Crockett,222
3051,IND,IND Zachariah Manning,5
3051,LIB,Phil Gray,2
3051,REP,James Rodgers,14
3052,,Under Votes,11
3052,,Write-in,3
3052,DEM,Jasmine Crockett,591
3052,IND,IND Zachariah Manning,12
3052,LIB,Phil Gray,5
3052,REP,James Rodgers,30
3053,,Under Votes,15
3053,,Write-in,3
3053,DEM,Jasmine Crockett,631
3053,IND,IND Zachariah Manning,18
3053,LIB,Phil Gray,7
3053,REP,James Rodgers,49
3054,,Under Votes,20
3054,,Write-in,13
3054,DEM,Jasmine Crockett,1178
3054,IND,IND Zachariah Manning,29
3054,LIB,Phil Gray,6
3054,REP,James Rodgers,52
3055,,Under Votes,15
3055,,Write-in,8
3055,DEM,Jasmine Crockett,1070
3055,IND,IND Zachariah Manning,30
3055,LIB,Phil Gray,8
3055,REP,James Rodgers,71
3056,,Under Votes,24
3056,,Write-in,13
3056,DEM,Jasmine Crockett,1047
3056,IND,IND Zachariah Manning,22
3056,LIB,Phil Gray,5
3056,REP,James Rodgers,65
3057,,Under Votes,15
3057,,Write-in,3
3057,DEM,Jasmine Crockett,871
3057,IND,IND Zachariah Manning,24
3057,LIB,Phil Gray,4
3057,REP,James Rodgers,95
3058,,Under Votes,13
3058,,Write-in,2
3058,DEM,Jasmine Crockett,771
3058,IND,IND Zachariah Manning,14
3058,REP,James Rodgers,37
3059,,Under Votes,9
3059,,Write-in,2
3059,DEM,Jasmine Crockett,464
3059,IND,IND Zachariah Manning,10
3059,LIB,Phil Gray,4
3059,REP,James Rodgers,11
3060,,Under Votes,6
3060,,Write-in,1
