Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
101,882,16,183,1081,0.8159111933,0.0148011101,0.1692876966,Rep,3
102,230,15,295,540,0.4259259259,0.0277777778,0.5462962963,Dem,2
201,314,3,50,367,0.8555858311,0.0081743869,0.1362397820,Rep,3
202,603,6,136,745,0.8093959732,0.0080536913,0.1825503356,Rep,3
203,600,5,89,694,0.8645533141,0.0072046110,0.1282420749,Rep,3
301,856,10,127,993,0.8620342397,0.0100704935,0.1278952669,Rep,3
302,666,8,125,799,0.8335419274,0.0100125156,0.1564455569,Rep,3
303,241,2,57,300,0.8033333333,0.0066666667,0.1900000000,Rep,3
401,1241,21,285,1547,0.8021978022,0.0135746606,0.1842275372,Rep,3
402,785,9,81,875,0.8971428571,0.0102857143,0.0925714286,Rep,3
