precinct,party,candidate,votes
101,,Abram Loeb / Jennifer Jairala (W),0
101,,Brian Carroll / Amar Patel (W),0
101,,Gloria La Riva / Leonard Peltier (W),0
101,,Jesse Cuellar / Jimmy Monreal (W),0
101,,Kasey Wells / Rachel Wells (W),0
101,,Over Votes,1
101,,R. Boddie / Eric Stoneham (W),0
101,,Robert Morrow / Anne Beckett (W),0
101,,Todd Cella / Tim Cella (W),0
101,,Tom Hoefling / Andy Prior (W),0
101,,Under Votes,1
101,DEM,Joseph R. Biden / Kamala D. Harris,193
101,GRN,Howie Hawkins / Angela Walker,1
101,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",10
101,REP,Donald J. Trump / Michael R. Pence,896
102,,Abram Loeb / Jennifer Jairala (W),0
102,,Brian Carroll / Amar Patel (W),0
102,,Gloria La Riva / Leonard Peltier (W),0
102,,Jesse Cuellar / Jimmy Monreal (W),0
102,,Kasey Wells / Rachel Wells (W),0
102,,Over Votes,4
102,,R. Boddie / Eric Stoneham (W),0
102,,Robert Morrow / Anne Beckett (W),0
102,,Todd Cella / Tim Cella (W),0
102,,Tom Hoefling / Andy Prior (W),0
102,,Under Votes,1
102,DEM,Joseph R. Biden / Kamala D. Harris,317
102,GRN,Howie Hawkins / Angela Walker,2
102,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",10
102,REP,Donald J. Trump / Michael R. Pence,237
201,,Abram Loeb / Jennifer Jairala (W),0
201,,Brian Carroll / Amar Patel (W),0
201,,Gloria La Riva / Leonard Peltier (W),0
201,,Jesse Cuellar / Jimmy Monreal (W),0
201,,Kasey Wells / Rachel Wells (W),0
201,,Over Votes,0
201,,R. Boddie / Eric Stoneham (W),0
201,,Robert Morrow / Anne Beckett (W),0
201,,Todd Cella / Tim Cella (W),0
201,,Tom Hoefling / Andy Prior (W),0
201,,Under Votes,0
201,DEM,Joseph R. Biden / Kamala D. Harris,51
201,GRN,Howie Hawkins / Angela Walker,1
201,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
