precinct,party,candidate,votes
gregg:1,DEM,BRANDON BIRMINGHAM,340
gregg:1,REP,DAVID NEWELL,819
gregg:2,DEM,BRANDON BIRMINGHAM,747
gregg:2,REP,DAVID NEWELL,1925
gregg:3,DEM,BRANDON BIRMINGHAM,680
gregg:3,REP,DAVID NEWELL,1719
gregg:4,DEM,BRANDON BIRMINGHAM,519
gregg:4,REP,DAVID NEWELL,1973
gregg:5,DEM,BRANDON BIRMINGHAM,568
gregg:5,REP,DAVID NEWELL,2099
gregg:6,DEM,BRANDON BIRMINGHAM,277
gregg:6,REP,DAVID NEWELL,1522
gregg:7,DEM,BRANDON BIRMINGHAM,400
gregg:7,REP,DAVID NEWELL,1920
gregg:8,DEM,BRANDON BIRMINGHAM,800
gregg:8,REP,DAVID NEWELL,2265
gregg:9,DEM,BRANDON BIRMINGHAM,826
gregg:9,REP,DAVID NEWELL,2092
gregg:10,DEM,BRANDON BIRMINGHAM,927
gregg:10,REP,DAVID NEWELL,1666
gregg:11,DEM,BRANDON BIRMINGHAM,677
gregg:11,REP,DAVID NEWELL,2160
gregg:12,DEM,BRANDON BIRMINGHAM,372
gregg:12,REP,DAVID NEWELL,2872
gregg:13,DEM,BRANDON BIRMINGHAM,435
gregg:13,REP,DAVID NEWELL,1467
gregg:14,DEM,BRANDON BIRMINGHAM,457
gregg:14,REP,DAVID NEWELL,2686
gregg:15,DEM,BRANDON BIRMINGHAM,262
gregg:15,REP,DAVID NEWELL,577
gregg:16,DEM,BRANDON BIRMINGHAM,463
gregg:16,REP,DAVID NEWELL,2318
gregg:17,DEM,BRANDON BIRMINGHAM,251
gregg:17,REP,DAVID NEWELL,271
gregg:18,DEM,BRANDON BIRMINGHAM,1136
gregg:18,REP,DAVID NEWELL,1109
gregg:19,DEM,BRANDON BIRMINGHAM,1631
gregg:19,REP,DAVID NEWELL,325
gregg:20,DEM,BRANDON BIRMINGHAM,1106
gregg:20,REP,DAVID NEWELL,430
gregg:21,DEM,BRANDON BIRMINGHAM,1061
gregg:21,REP,DAVID NEWELL,493
