precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
austin:101,21,277,616,18,1321,2253,0.93%,12.29%,27.34%,0.80%,58.63%
austin:102,9,210,438,36,1172,1865,0.48%,11.26%,23.49%,1.93%,62.84%
austin:103,10,138,279,47,1486,1960,0.51%,7.04%,14.23%,2.40%,75.82%
austin:104,12,59,314,32,751,1168,1.03%,5.05%,26.88%,2.74%,64.30%
austin:205,39,340,649,98,2835,3961,0.98%,8.58%,16.38%,2.47%,71.57%
austin:206,5,45,136,65,1362,1613,0.31%,2.79%,8.43%,4.03%,84.44%
austin:207,1,61,110,44,742,958,0.10%,6.37%,11.48%,4.59%,77.45%
austin:208,0,34,109,23,652,818,0.00%,4.16%,13.33%,2.81%,79.71%
austin:309,4,21,130,26,679,860,0.47%,2.44%,15.12%,3.02%,78.95%
austin:310,99,409,1294,69,2518,4389,2.26%,9.32%,29.48%,1.57%,57.37%
austin:311,33,437,1264,3,612,2349,1.40%,18.60%,53.81%,0.13%,26.05%
austin:412,12,161,213,13,509,908,1.32%,17.73%,23.46%,1.43%,56.06%
austin:413,13,121,659,17,1493,2303,0.56%,5.25%,28.61%,0.74%,64.83%
austin:414,33,176,1076,34,1119,2438,1.35%,7.22%,44.13%,1.39%,45.90%
austin:415,13,302,765,15,1229,2324,0.56%,12.99%,32.92%,0.65%,52.88%
bastrop:1003,57,127,732,105,2162,3183,1.79%,3.99%,23.00%,3.30%,67.92%
bastrop:1004,46,524,814,84,1546,3014,1.53%,17.39%,27.01%,2.79%,51.29%
bastrop:1006,44,550,4754,90,2439,7877,0.56%,6.98%,60.35%,1.14%,30.96%
bastrop:2010,47,181,304,18,790,1340,3.51%,13.51%,22.69%,1.34%,58.96%
bastrop:2013,57,133,1228,159,2900,4477,1.27%,2.97%,27.43%,3.55%,64.78%
bastrop:2014,47,139,1324,114,3035,4659,1.01%,2.98%,28.42%,2.45%,65.14%
bastrop:2015,64,570,887,119,2941,4581,1.40%,12.44%,19.36%,2.60%,64.20%
bastrop:4021,56,327,2136,133,2413,5065,1.11%,6.46%,42.17%,2.63%,47.64%
bastrop:4022,26,291,2057,100,1900,4374,0.59%,6.65%,47.03%,2.29%,43.44%
bastrop:4023,43,97,879,48,1450,2517,1.71%,3.85%,34.92%,1.91%,57.61%
bastrop:4024,42,175,1803,54,1650,3724,1.13%,4.70%,48.42%,1.45%,44.31%
bastrop:4025,25,707,2551,0,1201,4469,0.56%,15.82%,57.08%,0.00%,26.87%
bastrop:4026,36,723,1435,31,1397,3622,0.99%,19.96%,39.62%,0.86%,38.57%
brazos:1,45,142,486,142,2232,3047,1.48%,4.66%,15.95%,4.66%,73.25%
brazos:2,340,378,1361,168,5359,7606,4.47%,4.97%,17.89%,2.21%,70.46%
brazos:3,5,237,844,34,770,1890,0.26%,12.54%,44.66%,1.80%,40.74%
brazos:4,17,1815,2274,0,329,4399,0.39%,41.26%,51.69%,0.00%,7.48%
brazos:5,16,110,642,76,1747,2591,0.62%,4.25%,24.78%,2.93%,67.43%
brazos:6,11,45,265,76,1049,1446,0.76%,3.11%,18.33%,5.26%,72.54%
brazos:7,26,59,401,80,1957,2523,1.03%,2.34%,15.89%,3.17%,77.57%
brazos:8,454,765,815,28,1859,3921,11.58%,19.51%,20.79%,0.71%,47.41%
brazos:9,495,247,535,29,1824,3130,15.81%,7.89%,17.09%,0.93%,58.27%
brazos:10,783,635,1064,130,3871,6483,12.08%,9.79%,16.41%,2.01%,59.71%
brazos:11,1028,976,2260,65,3126,7455,13.79%,13.09%,30.32%,0.87%,41.93%
brazos:12,200,902,1467,118,4129,6816,2.93%,13.23%,21.52%,1.73%,60.58%
brazos:13,84,542,1049,71,2117,3863,2.17%,14.03%,27.16%,1.84%,54.80%
brazos:14,55,1537,6741,1,1040,9374,0.59%,16.40%,71.91%,0.01%,11.09%
brazos:15,207,417,879,95,3072,4670,4.43%,8.93%,18.82%,2.03%,65.78%
brazos:16,41,577,2334,3,341,3296,1.24%,17.51%,70.81%,0.09%,10.35%
brazos:17,81,1205,3154,71,2367,6878,1.18%,17.52%,45.86%,1.03%,34.41%
brazos:18,5,318,645,9,141,1118,0.45%,28.44%,57.69%,0.81%,12.61%
brazos:19,14,108,670,3,159,954,1.47%,11.32%,70.23%,0.31%,16.67%
brazos:20,1437,816,3526,0,6609,12137,11.84%,6.72%,29.05%,0.00%,54.45%
brazos:21,1386,364,1030,49,3221,6050,22.91%,6.02%,17.02%,0.81%,53.24%
brazos:22,9,202,679,4,246,1140,0.79%,17.72%,59.56%,0.35%,21.58%
brazos:23,0,8,35,4,80,127,0.00%,6.30%,27.56%,3.15%,62.99%
brazos:24,303,396,836,89,2138,3762,8.05%,10.53%,22.22%,2.37%,56.83%
brazos:25,32,1111,607,0,147,1883,1.70%,59.00%,32.24%,0.00%,7.81%
brazos:26,143,608,988,101,3324,5164,2.77%,11.77%,19.13%,1.96%,64.37%
brazos:27,72,136,818,119,3196,4341,1.66%,3.13%,18.84%,2.74%,73.62%
brazos:28,8,9,40,14,406,477,1.68%,1.89%,8.39%,2.94%,85.12%
brazos:29,13,187,104,30,651,985,1.32%,18.98%,10.56%,3.05%,66.09%
