precinct,party,candidate,votes
williamson:116,,Over Votes,0
williamson:116,,Under Votes,18
williamson:116,DEM,Erin A. Nowell,462
williamson:116,LIB,Thomas Edward Oxford,20
williamson:116,REP,Debra Lehrmann,376
williamson:122,,Over Votes,0
williamson:122,,Under Votes,4
williamson:122,DEM,Erin A. Nowell,102
williamson:122,LIB,Thomas Edward Oxford,9
williamson:122,REP,Debra Lehrmann,63
williamson:138,,Over Votes,0
williamson:138,,Under Votes,10
williamson:138,DEM,Erin A. Nowell,311
williamson:138,LIB,Thomas Edward Oxford,9
williamson:138,REP,Debra Lehrmann,123
williamson:166,,Over Votes,0
williamson:166,,Under Votes,30
williamson:166,DEM,Erin A. Nowell,514
williamson:166,LIB,Thomas Edward Oxford,27
williamson:166,REP,Debra Lehrmann,371
williamson:173,,Over Votes,0
williamson:173,,Under Votes,44
williamson:173,DEM,Erin A. Nowell,749
williamson:173,LIB,Thomas Edward Oxford,48
williamson:173,REP,Debra Lehrmann,547
williamson:189,,Over Votes,0
williamson:189,,Under Votes,47
williamson:189,DEM,Erin A. Nowell,1312
williamson:189,LIB,Thomas Edward Oxford,46
williamson:189,REP,Debra Lehrmann,729
williamson:216,,Over Votes,0
williamson:216,,Under Votes,20
williamson:216,DEM,Erin A. Nowell,429
williamson:216,LIB,Thomas Edward Oxford,19
williamson:216,REP,Debra Lehrmann,380
williamson:266,,Over Votes,0
williamson:266,,Under Votes,58
williamson:266,DEM,Erin A. Nowell,901
williamson:266,LIB,Thomas Edward Oxford,36
williamson:266,REP,Debra Lehrmann,748
williamson:303,,Over Votes,0
williamson:303,,Under Votes,54
williamson:303,DEM,Erin A. Nowell,913
williamson:303,LIB,Thomas Edward Oxford,26
williamson:303,REP,Debra Lehrmann,599
williamson:317,,Over Votes,0
williamson:317,,Under Votes,15
williamson:317,DEM,Erin A. Nowell,305
williamson:317,LIB,Thomas Edward Oxford,11
williamson:317,REP,Debra Lehrmann,225
williamson:321,,Over Votes,0
williamson:321,,Under Votes,1
williamson:321,DEM,Erin A. Nowell,10
williamson:321,LIB,Thomas Edward Oxford,0
williamson:321,REP,Debra Lehrmann,12
williamson:322,,Over Votes,0
williamson:322,,Under Votes,36
williamson:322,DEM,Erin A. Nowell,503
williamson:322,LIB,Thomas Edward Oxford,27
williamson:322,REP,Debra Lehrmann,526
williamson:323,,Over Votes,0
williamson:323,,Under Votes,0
williamson:323,DEM,Erin A. Nowell,37
williamson:323,LIB,Thomas Edward Oxford,0
williamson:323,REP,Debra Lehrmann,19
williamson:338,,Over Votes,0
williamson:338,,Under Votes,45
williamson:338,DEM,Erin A. Nowell,959
williamson:338,LIB,Thomas Edward Oxford,68
williamson:338,REP,Debra Lehrmann,1016
williamson:340,,Over Votes,0
williamson:340,,Under Votes,35
williamson:340,DEM,Erin A. Nowell,682
williamson:340,LIB,Thomas Edward Oxford,26
williamson:340,REP,Debra Lehrmann,549
williamson:398,,Over Votes,0
williamson:398,,Under Votes,61
williamson:398,DEM,Erin A. Nowell,1283
williamson:398,LIB,Thomas Edward Oxford,50
williamson:398,REP,Debra Lehrmann,959
williamson:399,,Over Votes,0
williamson:399,,Under Votes,9
williamson:399,DEM,Erin A. Nowell,211
williamson:399,LIB,Thomas Edward Oxford,8
williamson:399,REP,Debra Lehrmann,76
