precinct,party,candidate,votes
travis:106,DEM,Kathy Cheng,1596
travis:106,REP,Jane Bland,1315
travis:123,DEM,Kathy Cheng,4393
travis:123,REP,Jane Bland,2571
travis:136,DEM,Kathy Cheng,1368
travis:136,REP,Jane Bland,993
travis:146,DEM,Kathy Cheng,1408
travis:146,REP,Jane Bland,881
travis:160,DEM,Kathy Cheng,1199
travis:160,REP,Jane Bland,617
travis:212,DEM,Kathy Cheng,1652
travis:212,REP,Jane Bland,2101
travis:215,DEM,Kathy Cheng,1281
travis:215,REP,Jane Bland,549
travis:221,DEM,Kathy Cheng,413
travis:221,REP,Jane Bland,405
travis:225,DEM,Kathy Cheng,2559
travis:225,REP,Jane Bland,954
travis:232,DEM,Kathy Cheng,2681
travis:232,REP,Jane Bland,3481
travis:233,DEM,Kathy Cheng,1829
travis:233,REP,Jane Bland,1493
travis:234,DEM,Kathy Cheng,950
travis:234,REP,Jane Bland,1114
travis:306,DEM,Kathy Cheng,1157
travis:306,REP,Jane Bland,1889
travis:308,DEM,Kathy Cheng,2218
travis:308,REP,Jane Bland,4343
travis:312,DEM,Kathy Cheng,811
travis:312,REP,Jane Bland,1010
travis:316,DEM,Kathy Cheng,2099
travis:316,REP,Jane Bland,2739
travis:319,DEM,Kathy Cheng,815
travis:319,REP,Jane Bland,1286
travis:320,DEM,Kathy Cheng,692
travis:320,REP,Jane Bland,1105
travis:324,DEM,Kathy Cheng,2508
travis:324,REP,Jane Bland,3275
travis:346,DEM,Kathy Cheng,1696
travis:346,REP,Jane Bland,3321
travis:359,DEM,Kathy Cheng,2305
travis:359,REP,Jane Bland,2553
travis:368,DEM,Kathy Cheng,117
travis:368,REP,Jane Bland,225
travis:369,DEM,Kathy Cheng,2468
travis:369,REP,Jane Bland,3156
travis:370,DEM,Kathy Cheng,457
travis:370,REP,Jane Bland,836
travis:371,DEM,Kathy Cheng,995
travis:371,REP,Jane Bland,1818
travis:372,DEM,Kathy Cheng,648
travis:372,REP,Jane Bland,988
travis:373,DEM,Kathy Cheng,1638
travis:373,REP,Jane Bland,3587
travis:374,DEM,Kathy Cheng,2584
travis:374,REP,Jane Bland,2881
travis:375,DEM,Kathy Cheng,313
travis:375,REP,Jane Bland,497
