precinct,registered,ballots_cast,blank
williamson:116,1417,876,1
williamson:122,413,178,2
williamson:138,1238,453,8
williamson:166,2140,942,2
williamson:173,2524,1388,12
williamson:189,3663,2137,3
williamson:216,1380,850,3
williamson:266,3469,1743,15
williamson:303,2629,1592,5
williamson:317,901,556,1
williamson:321,33,23,0
williamson:322,1675,1093,8
williamson:323,88,56,0
williamson:338,3181,2088,6
williamson:340,2111,1294,6
williamson:398,3904,2353,13
williamson:399,561,304,3
