precinct,party,candidate,votes
tarrant:1001,,Jacqueline Abernathy,1
tarrant:1001,,Mark V. Goloby,0
tarrant:1001,DEM,Beto O'Rourke,488
tarrant:1001,GRN,Delilah Barrios,1
tarrant:1001,LIB,Mark Tippetts,13
tarrant:1001,REP,Greg Abbott,446
tarrant:1004,,Jacqueline Abernathy,2
tarrant:1004,,Mark V. Goloby,0
tarrant:1004,DEM,Beto O'Rourke,600
tarrant:1004,GRN,Delilah Barrios,6
tarrant:1004,LIB,Mark Tippetts,12
tarrant:1004,REP,Greg Abbott,525
tarrant:1009,,Jacqueline Abernathy,0
tarrant:1009,,Mark V. Goloby,0
tarrant:1009,DEM,Beto O'Rourke,306
tarrant:1009,GRN,Delilah Barrios,2
tarrant:1009,LIB,Mark Tippetts,8
tarrant:1009,REP,Greg Abbott,480
tarrant:1015,,Jacqueline Abernathy,0
tarrant:1015,,Mark V. Goloby,0
tarrant:1015,DEM,Beto O'Rourke,336
tarrant:1015,GRN,Delilah Barrios,1
tarrant:1015,LIB,Mark Tippetts,5
tarrant:1015,REP,Greg Abbott,158
tarrant:1021,,Jacqueline Abernathy,0
tarrant:1021,,Mark V. Goloby,0
tarrant:1021,DEM,Beto O'Rourke,564
tarrant:1021,GRN,Delilah Barrios,4
tarrant:1021,LIB,Mark Tippetts,29
tarrant:1021,REP,Greg Abbott,1058
tarrant:1022,,Jacqueline Abernathy,0
tarrant:1022,,Mark V. Goloby,0
tarrant:1022,DEM,Beto O'Rourke,327
tarrant:1022,GRN,Delilah Barrios,2
tarrant:1022,LIB,Mark Tippetts,9
tarrant:1022,REP,Greg Abbott,343
tarrant:1023,,Jacqueline Abernathy,0
tarrant:1023,,Mark V. Goloby,0
tarrant:1023,DEM,Beto O'Rourke,1043
tarrant:1023,GRN,Delilah Barrios,8
tarrant:1023,LIB,Mark Tippetts,24
tarrant:1023,REP,Greg Abbott,837
tarrant:1056,,Jacqueline Abernathy,0
tarrant:1056,,Mark V. Goloby,0
tarrant:1056,DEM,Beto O'Rourke,75
tarrant:1056,GRN,Delilah Barrios,1
tarrant:1056,LIB,Mark Tippetts,2
tarrant:1056,REP,Greg Abbott,25
tarrant:1061,,Jacqueline Abernathy,0
tarrant:1061,,Mark V. Goloby,0
tarrant:1061,DEM,Beto O'Rourke,95
tarrant:1061,GRN,Delilah Barrios,1
tarrant:1061,LIB,Mark Tippetts,1
tarrant:1061,REP,Greg Abbott,22
tarrant:1062,,Jacqueline Abernathy,0
tarrant:1062,,Mark V. Goloby,0
tarrant:1062,DEM,Beto O'Rourke,10
tarrant:1062,GRN,Delilah Barrios,0
tarrant:1062,LIB,Mark Tippetts,1
tarrant:1062,REP,Greg Abbott,5
tarrant:1064,,Jacqueline Abernathy,0
tarrant:1064,,Mark V. Goloby,0
tarrant:1064,DEM,Beto O'Rourke,0
tarrant:1064,GRN,Delilah Barrios,0
tarrant:1064,LIB,Mark Tippetts,0
tarrant:1064,REP,Greg Abbott,0
tarrant:1071,,Jacqueline Abernathy,0
tarrant:1071,,Mark V. Goloby,0
tarrant:1071,DEM,Beto O'Rourke,511
tarrant:1071,GRN,Delilah Barrios,5
tarrant:1071,LIB,Mark Tippetts,10
tarrant:1071,REP,Greg Abbott,236
tarrant:1076,,Jacqueline Abernathy,0
tarrant:1076,,Mark V. Goloby,0
tarrant:1076,DEM,Beto O'Rourke,447
tarrant:1076,GRN,Delilah Barrios,3
tarrant:1076,LIB,Mark Tippetts,10
tarrant:1076,REP,Greg Abbott,259
tarrant:1081,,Jacqueline Abernathy,0
tarrant:1081,,Mark V. Goloby,0
tarrant:1081,DEM,Beto O'Rourke,178
tarrant:1081,GRN,Delilah Barrios,0
tarrant:1081,LIB,Mark Tippetts,2
tarrant:1081,REP,Greg Abbott,224
tarrant:1094,,Jacqueline Abernathy,0
tarrant:1094,,Mark V. Goloby,0
tarrant:1094,DEM,Beto O'Rourke,517
tarrant:1094,GRN,Delilah Barrios,1
tarrant:1094,LIB,Mark Tippetts,13
tarrant:1094,REP,Greg Abbott,214
tarrant:1095,,Jacqueline Abernathy,0
tarrant:1095,,Mark V. Goloby,0
tarrant:1095,DEM,Beto O'Rourke,237
tarrant:1095,GRN,Delilah Barrios,1
tarrant:1095,LIB,Mark Tippetts,1
tarrant:1095,REP,Greg Abbott,314
tarrant:1103,,Jacqueline Abernathy,0
tarrant:1103,,Mark V. Goloby,0
tarrant:1103,DEM,Beto O'Rourke,367
tarrant:1103,GRN,Delilah Barrios,3
tarrant:1103,LIB,Mark Tippetts,10
tarrant:1103,REP,Greg Abbott,638
tarrant:1105,,Jacqueline Abernathy,0
tarrant:1105,,Mark V. Goloby,0
tarrant:1105,DEM,Beto O'Rourke,495
tarrant:1105,GRN,Delilah Barrios,7
tarrant:1105,LIB,Mark Tippetts,14
tarrant:1105,REP,Greg Abbott,496
tarrant:1108,,Jacqueline Abernathy,0
tarrant:1108,,Mark V. Goloby,0
tarrant:1108,DEM,Beto O'Rourke,604
tarrant:1108,GRN,Delilah Barrios,0
tarrant:1108,LIB,Mark Tippetts,19
tarrant:1108,REP,Greg Abbott,430
