precinct,party,candidate,votes
archer:1,DEM,"Mary ""MJ"" Hegar",96
archer:1,GRN,David B. Collins,2
archer:1,LIB,Kerry Douglas McKennon,13
archer:1,REP,John Cornyn,827
archer:10,DEM,"Mary ""MJ"" Hegar",86
archer:10,GRN,David B. Collins,2
archer:10,LIB,Kerry Douglas McKennon,5
archer:10,REP,John Cornyn,525
archer:11,DEM,"Mary ""MJ"" Hegar",8
archer:11,GRN,David B. Collins,0
archer:11,LIB,Kerry Douglas McKennon,1
archer:11,REP,John Cornyn,66
archer:2,DEM,"Mary ""MJ"" Hegar",72
archer:2,GRN,David B. Collins,3
archer:2,LIB,Kerry Douglas McKennon,8
archer:2,REP,John Cornyn,706
archer:3,DEM,"Mary ""MJ"" Hegar",24
archer:3,GRN,David B. Collins,0
archer:3,LIB,Kerry Douglas McKennon,4
archer:3,REP,John Cornyn,256
archer:4,DEM,"Mary ""MJ"" Hegar",28
archer:4,GRN,David B. Collins,2
archer:4,LIB,Kerry Douglas McKennon,4
archer:4,REP,John Cornyn,483
archer:5,DEM,"Mary ""MJ"" Hegar",12
archer:5,GRN,David B. Collins,1
archer:5,LIB,Kerry Douglas McKennon,2
archer:5,REP,John Cornyn,117
archer:6,DEM,"Mary ""MJ"" Hegar",85
archer:6,GRN,David B. Collins,1
archer:6,LIB,Kerry Douglas McKennon,18
archer:6,REP,John Cornyn,719
archer:7,DEM,"Mary ""MJ"" Hegar",13
archer:7,GRN,David B. Collins,0
archer:7,LIB,Kerry Douglas McKennon,4
archer:7,REP,John Cornyn,129
archer:8,DEM,"Mary ""MJ"" Hegar",34
archer:8,GRN,David B. Collins,2
archer:8,LIB,Kerry Douglas McKennon,5
archer:8,REP,John Cornyn,221
archer:9,DEM,"Mary ""MJ"" Hegar",9
archer:9,GRN,David B. Collins,1
archer:9,LIB,Kerry Douglas McKennon,1
archer:9,REP,John Cornyn,129
carson:101,DEM,"DEM Mary ""MJ"" Hegar",31
carson:101,GRN,GRN David B. Collins,1
carson:101,LIB,LIB Kerry Douglas McKennon,11
carson:101,REP,REP John Cornyn,323
carson:102,DEM,"DEM Mary ""MJ"" Hegar",1
carson:102,GRN,GRN David B. Collins,0
carson:102,LIB,LIB Kerry Douglas McKennon,1
carson:102,REP,REP John Cornyn,57
carson:103,DEM,"DEM Mary ""MJ"" Hegar",38
carson:103,GRN,GRN David B. Collins,1
carson:103,LIB,LIB Kerry Douglas McKennon,7
carson:103,REP,REP John Cornyn,257
carson:201,DEM,"DEM Mary ""MJ"" Hegar",72
carson:201,GRN,GRN David B. Collins,2
carson:201,LIB,LIB Kerry Douglas McKennon,21
carson:201,REP,REP John Cornyn,780
carson:301,DEM,"DEM Mary ""MJ"" Hegar",50
carson:301,GRN,GRN David B. Collins,1
carson:301,LIB,LIB Kerry Douglas McKennon,7
carson:301,REP,REP John Cornyn,438
carson:302,DEM,"DEM Mary ""MJ"" Hegar",17
carson:302,GRN,GRN David B. Collins,0
carson:302,LIB,LIB Kerry Douglas McKennon,3
carson:302,REP,REP John Cornyn,230
carson:401,DEM,"DEM Mary ""MJ"" Hegar",63
