precinct,party,candidate,votes
andrews:1,DEM,Rochelle Mercedes Garza,111
andrews:1,LIB,Mark Ash,15
andrews:1,REP,Ken Paxton,733
andrews:2,DEM,Rochelle Mercedes Garza,136
andrews:2,LIB,Mark Ash,23
andrews:2,REP,Ken Paxton,1114
andrews:3,DEM,Rochelle Mercedes Garza,127
andrews:3,LIB,Mark Ash,23
andrews:3,REP,Ken Paxton,789
andrews:4,DEM,Rochelle Mercedes Garza,122
andrews:4,LIB,Mark Ash,9
andrews:4,REP,Ken Paxton,582
cochran:101,DEM,ROCHELLE MERCEDES GARZA,22
cochran:101,LIB,MARK ASH,5
cochran:101,REP,KEN PAXTON,135
cochran:202,DEM,ROCHELLE MERCEDES GARZA,27
cochran:202,LIB,MARK ASH,4
cochran:202,REP,KEN PAXTON,172
cochran:303,DEM,ROCHELLE MERCEDES GARZA,2
cochran:303,LIB,MARK ASH,0
cochran:303,REP,KEN PAXTON,38
cochran:306,DEM,ROCHELLE MERCEDES GARZA,20
cochran:306,LIB,MARK ASH,3
cochran:306,REP,KEN PAXTON,103
cochran:404,DEM,ROCHELLE MERCEDES GARZA,28
cochran:404,LIB,MARK ASH,5
cochran:404,REP,KEN PAXTON,44
floyd:1,DEM,Rochelle Mercedes Garza,59
floyd:1,LIB,Mark Ash,12
floyd:1,REP,Ken Paxton,444
floyd:2,DEM,Rochelle Mercedes Garza,43
floyd:2,LIB,Mark Ash,8
floyd:2,REP,Ken Paxton,388
floyd:3,DEM,Rochelle Mercedes Garza,45
floyd:3,LIB,Mark Ash,2
floyd:3,REP,Ken Paxton,171
floyd:4,DEM,Rochelle Mercedes Garza,62
floyd:4,LIB,Mark Ash,5
floyd:4,REP,Ken Paxton,211
gaines:2,DEM,Rochelle Mercedes Garza,62
gaines:2,LIB,Mark Ash,13
gaines:2,REP,Ken Paxton,753
gaines:3,DEM,Rochelle Mercedes Garza,84
gaines:3,LIB,Mark Ash,20
gaines:3,REP,Ken Paxton,1305
gaines:4,DEM,Rochelle Mercedes Garza,50
gaines:4,LIB,Mark Ash,10
gaines:4,REP,Ken Paxton,641
gaines:5,DEM,Rochelle Mercedes Garza,7
gaines:5,LIB,Mark Ash,0
gaines:5,REP,Ken Paxton,115
gaines:6,DEM,Rochelle Mercedes Garza,14
gaines:6,LIB,Mark Ash,2
gaines:6,REP,Ken Paxton,89
gaines:8,DEM,Rochelle Mercedes Garza,84
gaines:8,LIB,Mark Ash,7
gaines:8,REP,Ken Paxton,479
gaines:9,DEM,Rochelle Mercedes Garza,39
gaines:9,LIB,Mark Ash,4
gaines:9,REP,Ken Paxton,298
hale:101,DEM,Rochelle Mercedes Garza,16
hale:101,LIB,Mark Ash,6
hale:101,REP,Ken Paxton,118
hale:102,DEM,Rochelle Mercedes Garza,5
hale:102,LIB,Mark Ash,1
hale:102,REP,Ken Paxton,30
hale:103,DEM,Rochelle Mercedes Garza,55
hale:103,LIB,Mark Ash,2
hale:103,REP,Ken Paxton,64
hale:104,DEM,Rochelle Mercedes Garza,63
hale:104,LIB,Mark Ash,2
hale:104,REP,Ken Paxton,103
hale:105,DEM,Rochelle Mercedes Garza,24
hale:105,LIB,Mark Ash,3
hale:105,REP,Ken Paxton,47
hale:108,DEM,Rochelle Mercedes Garza,2
hale:108,LIB,Mark Ash,1
hale:108,REP,Ken Paxton,16
hale:110,DEM,Rochelle Mercedes Garza,18
hale:110,LIB,Mark Ash,1
hale:110,REP,Ken Paxton,200
hale:111,DEM,Rochelle Mercedes Garza,39
hale:111,LIB,Mark Ash,5
hale:111,REP,Ken Paxton,202
hale:112,DEM,Rochelle Mercedes Garza,14
hale:112,LIB,Mark Ash,7
hale:112,REP,Ken Paxton,305
hale:202,DEM,Rochelle Mercedes Garza,29
hale:202,LIB,Mark Ash,3
hale:202,REP,Ken Paxton,32
hale:203,DEM,Rochelle Mercedes Garza,64
hale:203,LIB,Mark Ash,1
hale:203,REP,Ken Paxton,56
hale:204,DEM,Rochelle Mercedes Garza,52
hale:204,LIB,Mark Ash,5
hale:204,REP,Ken Paxton,118
hale:205,DEM,Rochelle Mercedes Garza,25
hale:205,LIB,Mark Ash,2
hale:205,REP,Ken Paxton,39
hale:206,DEM,Rochelle Mercedes Garza,4
hale:206,LIB,Mark Ash,0
hale:206,REP,Ken Paxton,6
hale:213,DEM,Rochelle Mercedes Garza,11
hale:213,LIB,Mark Ash,1
hale:213,REP,Ken Paxton,96
hale:214,DEM,Rochelle Mercedes Garza,57
hale:214,LIB,Mark Ash,8
hale:214,REP,Ken Paxton,225
hale:215,DEM,Rochelle Mercedes Garza,29
hale:215,LIB,Mark Ash,0
hale:215,REP,Ken Paxton,115
hale:304,DEM,Rochelle Mercedes Garza,90
hale:304,LIB,Mark Ash,7
hale:304,REP,Ken Paxton,301
hale:305,DEM,Rochelle Mercedes Garza,75
hale:305,LIB,Mark Ash,8
hale:305,REP,Ken Paxton,484
hale:306,DEM,Rochelle Mercedes Garza,15
hale:306,LIB,Mark Ash,0
hale:306,REP,Ken Paxton,16
hale:307,DEM,Rochelle Mercedes Garza,27
hale:307,LIB,Mark Ash,5
hale:307,REP,Ken Paxton,84
hale:316,DEM,Rochelle Mercedes Garza,88
hale:316,LIB,Mark Ash,5
hale:316,REP,Ken Paxton,368
hale:317,DEM,Rochelle Mercedes Garza,7
