precinct,party,candidate,votes
real:2,,Bert Richardson,501
real:2,,Elizabeth Davis Frizell,82
real:3,,Bert Richardson,246
real:3,,Elizabeth Davis Frizell,67
real:4,,Bert Richardson,215
real:4,,Elizabeth Davis Frizell,22
real:6,,Bert Richardson,195
real:6,,Elizabeth Davis Frizell,39
travis:303,DEM,Elizabeth Davis Frizell,1490
travis:303,REP,Bert Richardson,1119
travis:314,DEM,Elizabeth Davis Frizell,2728
travis:314,REP,Bert Richardson,2773
travis:354,DEM,Elizabeth Davis Frizell,2330
travis:354,REP,Bert Richardson,1505
travis:361,DEM,Elizabeth Davis Frizell,643
travis:361,REP,Bert Richardson,488
travis:365,DEM,Elizabeth Davis Frizell,1308
travis:365,REP,Bert Richardson,934
