Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
brazoria:3,1490,33,488,2011,0.7409249130,0.0164097464,0.2426653406,Rep,3
brazoria:11,1061,31,723,1815,0.5845730028,0.0170798898,0.3983471074,Rep,2
brazoria:12,1060,24,635,1719,0.6166375800,0.0139616056,0.3694008144,Rep,2
brazoria:13,1359,35,910,2304,0.5898437500,0.0151909722,0.3949652778,Rep,2
brazoria:16,584,16,188,788,0.7411167513,0.0203045685,0.2385786802,Rep,3
brazoria:18,1798,30,762,2590,0.6942084942,0.0115830116,0.2942084942,Rep,3
brazoria:21,683,38,1471,2192,0.3115875912,0.0173357664,0.6710766423,Dem,3
brazoria:26,1047,28,854,1929,0.5427682737,0.0145152929,0.4427164334,Rep,2
brazoria:27,770,14,654,1438,0.5354659249,0.0097357441,0.4547983310,Rep,1
brazoria:28,1220,29,809,2058,0.5928085520,0.0140913508,0.3931000972,Rep,2
brazoria:34,2115,28,551,2694,0.7850779510,0.0103934670,0.2045285820,Rep,3
brazoria:36,388,6,157,551,0.7041742287,0.0108892922,0.2849364791,Rep,3
brazoria:37,1161,36,742,1939,0.5987622486,0.0185662713,0.3826714801,Rep,2
brazoria:39,1020,20,410,1450,0.7034482759,0.0137931034,0.2827586207,Rep,3
brazoria:40,913,16,227,1156,0.7897923875,0.0138408304,0.1963667820,Rep,3
brazoria:46,1570,37,809,2416,0.6498344371,0.0153145695,0.3348509934,Rep,3
brazoria:47,796,23,513,1332,0.5975975976,0.0172672673,0.3851351351,Rep,2
brazoria:51,1401,20,480,1901,0.7369805366,0.0105207785,0.2524986849,Rep,3
brazoria:52,1102,25,462,1589,0.6935179358,0.0157331655,0.2907488987,Rep,3
brazoria:54,542,24,992,1558,0.3478818999,0.0154043646,0.6367137356,Dem,2
brazoria:61,410,7,97,514,0.7976653696,0.0136186770,0.1887159533,Rep,3
brazoria:64,12,0,4,16,0.7500000000,0.0000000000,0.2500000000,Rep,3
brazoria:65,1117,28,853,1998,0.5590590591,0.0140140140,0.4269269269,Rep,2
brazoria:73,310,13,520,843,0.3677342823,0.0154211151,0.6168446026,Dem,2
brazoria:77,1144,24,461,1629,0.7022713321,0.0147329650,0.2829957029,Rep,3
brazoria:78,571,14,335,920,0.6206521739,0.0152173913,0.3641304348,Rep,2
fort-bend:1001,845,15,461,1321,0.6396669190,0.0113550341,0.3489780469,Rep,2
fort-bend:1002,58,5,340,403,0.1439205955,0.0124069479,0.8436724566,Dem,3
fort-bend:1007,3014,82,3470,6566,0.4590313737,0.0124885775,0.5284800487,Dem,1
fort-bend:1008,536,6,160,702,0.7635327635,0.0085470085,0.2279202279,Rep,3
fort-bend:1010,2411,20,570,3001,0.8033988670,0.0066644452,0.1899366878,Rep,3
fort-bend:1012,733,21,634,1388,0.5280979827,0.0151296830,0.4567723343,Rep,1
fort-bend:1013,956,24,870,1850,0.5167567568,0.0129729730,0.4702702703,Rep,1
fort-bend:1015,725,7,230,962,0.7536382536,0.0072765073,0.2390852391,Rep,3
fort-bend:1018,1232,8,273,1513,0.8142762723,0.0052875083,0.1804362194,Rep,3
fort-bend:1021,508,5,58,571,0.8896672504,0.0087565674,0.1015761821,Rep,3
fort-bend:1024,574,6,168,748,0.7673796791,0.0080213904,0.2245989305,Rep,3
fort-bend:1025,1662,34,1230,2926,0.5680109364,0.0116199590,0.4203691046,Rep,2
fort-bend:1037,888,17,671,1576,0.5634517766,0.0107868020,0.4257614213,Rep,2
fort-bend:1040,291,17,904,1212,0.2400990099,0.0140264026,0.7458745875,Dem,3
fort-bend:1048,363,14,648,1025,0.3541463415,0.0136585366,0.6321951220,Dem,2
fort-bend:1054,162,5,111,278,0.5827338129,0.0179856115,0.3992805755,Rep,2
fort-bend:1068,327,4,27,358,0.9134078212,0.0111731844,0.0754189944,Rep,3
fort-bend:1072,58,0,16,74,0.7837837838,0.0000000000,0.2162162162,Rep,3
fort-bend:1073,526,8,304,838,0.6276849642,0.0095465394,0.3627684964,Rep,2
fort-bend:1074,1150,37,1569,2756,0.4172714078,0.0134252540,0.5693033382,Dem,2
fort-bend:1085,1144,31,1092,2267,0.5046316718,0.0136744596,0.4816938685,Rep,1
fort-bend:1087,982,14,564,1560,0.6294871795,0.0089743590,0.3615384615,Rep,2
fort-bend:1097,1978,43,1837,3858,0.5127008813,0.0111456713,0.4761534474,Rep,1
fort-bend:1103,2707,46,1578,4331,0.6250288617,0.0106211037,0.3643500346,Rep,2
fort-bend:1109,358,7,369,734,0.4877384196,0.0095367847,0.5027247956,Dem,1
fort-bend:1118,2931,49,2592,5572,0.5260229720,0.0087939698,0.4651830581,Rep,1
fort-bend:1120,1589,21,805,2415,0.6579710145,0.0086956522,0.3333333333,Rep,3
fort-bend:1128,1831,21,887,2739,0.6684921504,0.0076670318,0.3238408178,Rep,3
fort-bend:1152,710,10,473,1193,0.5951383068,0.0083822297,0.3964794635,Rep,2
fort-bend:1154,968,25,1208,2201,0.4398000909,0.0113584734,0.5488414357,Dem,2
fort-bend:2016,1224,27,1435,2686,0.4556962025,0.0100521221,0.5342516754,Dem,1
fort-bend:2022,1316,31,1055,2402,0.5478767694,0.0129059117,0.4392173189,Rep,2
fort-bend:2061,1762,35,1995,3792,0.4646624473,0.0092299578,0.5261075949,Dem,1
fort-bend:2090,270,5,274,549,0.4918032787,0.0091074681,0.4990892532,Dem,1
fort-bend:2157,1251,30,1404,2685,0.4659217877,0.0111731844,0.5229050279,Dem,1
fort-bend:3004,1670,26,1026,2722,0.6135194710,0.0095518001,0.3769287289,Rep,2
fort-bend:3005,2545,28,832,3405,0.7474302496,0.0082232012,0.2443465492,Rep,3
fort-bend:3006,5198,72,2619,7889,0.6588921283,0.0091266320,0.3319812397,Rep,3
fort-bend:3009,1586,19,728,2333,0.6798114016,0.0081440206,0.3120445778,Rep,3
fort-bend:3014,3212,42,1718,4972,0.6460176991,0.0084473049,0.3455349960,Rep,3
fort-bend:3019,574,6,183,763,0.7522935780,0.0078636959,0.2398427261,Rep,3
fort-bend:3038,2373,45,1809,4227,0.5613910575,0.0106458481,0.4279630944,Rep,2
fort-bend:3041,1072,15,413,1500,0.7146666667,0.0100000000,0.2753333333,Rep,3
fort-bend:3053,1,0,0,1,1.0000000000,0.0000000000,0.0000000000,Rep,3
fort-bend:3057,2270,38,1625,3933,0.5771675566,0.0096618357,0.4131706077,Rep,2
fort-bend:3063,1818,28,683,2529,0.7188612100,0.0110715698,0.2700672202,Rep,3
fort-bend:3069,171,5,168,344,0.4970930233,0.0145348837,0.4883720930,Rep,1
fort-bend:3095,1521,32,1620,3173,0.4793570753,0.0100850930,0.5105578317,Dem,1
fort-bend:3104,2599,44,1505,4148,0.6265670203,0.0106075217,0.3628254581,Rep,2
fort-bend:3122,1909,29,963,2901,0.6580489486,0.0099965529,0.3319544984,Rep,3
fort-bend:3130,2258,43,1559,3860,0.5849740933,0.0111398964,0.4038860104,Rep,2
fort-bend:3132,2075,41,1619,3735,0.5555555556,0.0109772423,0.4334672021,Rep,2
fort-bend:3133,1877,32,1010,2919,0.6430284344,0.0109626584,0.3460089072,Rep,2
fort-bend:3142,1839,35,1376,3250,0.5658461538,0.0107692308,0.4233846154,Rep,2
fort-bend:3143,2905,47,2196,5148,0.5642968143,0.0091297591,0.4265734266,Rep,2
fort-bend:3144,2040,29,1241,3310,0.6163141994,0.0087613293,0.3749244713,Rep,2
fort-bend:3145,1146,20,898,2064,0.5552325581,0.0096899225,0.4350775194,Rep,2
fort-bend:3146,2668,51,2114,4833,0.5520380716,0.0105524519,0.4374094765,Rep,2
fort-bend:3148,4986,79,2863,7928,0.6289101917,0.0099646821,0.3611251261,Rep,2
fort-bend:3149,3487,27,816,4330,0.8053117783,0.0062355658,0.1884526559,Rep,3
fort-bend:3156,1374,15,484,1873,0.7335824880,0.0080085424,0.2584089696,Rep,3
fort-bend:3159,1149,25,982,2156,0.5329313544,0.0115955473,0.4554730983,Rep,1
fort-bend:3160,841,21,847,1709,0.4921006437,0.0122878877,0.4956114687,Dem,1
fort-bend:4011,676,12,482,1170,0.5777777778,0.0102564103,0.4119658120,Rep,2
fort-bend:4020,1437,28,777,2242,0.6409455843,0.0124888492,0.3465655665,Rep,2
fort-bend:4027,0,0,1,1,0.0000000000,0.0000000000,1.0000000000,Dem,3
fort-bend:4028,809,21,934,1764,0.4586167800,0.0119047619,0.5294784580,Dem,1
fort-bend:4029,915,20,497,1432,0.6389664804,0.0139664804,0.3470670391,Rep,2
fort-bend:4030,1120,21,963,2104,0.5323193916,0.0099809886,0.4576996198,Rep,1
fort-bend:4042,524,6,242,772,0.6787564767,0.0077720207,0.3134715026,Rep,3
fort-bend:4044,1378,28,1608,3014,0.4571997346,0.0092899801,0.5335102853,Dem,1
fort-bend:4046,1144,28,1142,2314,0.4943820225,0.0121002593,0.4935177182,Rep,1
fort-bend:4064,418,10,375,803,0.5205479452,0.0124533001,0.4669987547,Rep,1
fort-bend:4065,1859,42,2257,4158,0.4470899471,0.0101010101,0.5428090428,Dem,1
fort-bend:4082,2960,53,2238,5251,0.5637021520,0.0100933156,0.4262045325,Rep,2
fort-bend:4084,584,11,565,1160,0.5034482759,0.0094827586,0.4870689655,Rep,1
fort-bend:4105,790,15,864,1669,0.4733373277,0.0089874176,0.5176752546,Dem,1
fort-bend:4107,940,14,548,1502,0.6258322237,0.0093209055,0.3648468708,Rep,2
fort-bend:4110,898,21,920,1839,0.4883088635,0.0114192496,0.5002718869,Dem,1
fort-bend:4111,520,13,441,974,0.5338809035,0.0133470226,0.4527720739,Rep,1
fort-bend:4119,1515,18,972,2505,0.6047904192,0.0071856287,0.3880239521,Rep,2
fort-bend:4129,2438,42,2840,5320,0.4582706767,0.0078947368,0.5338345865,Dem,1
fort-bend:4131,749,14,584,1347,0.5560504826,0.0103934670,0.4335560505,Rep,2
fort-bend:4140,1337,22,1020,2379,0.5620008407,0.0092475830,0.4287515763,Rep,2
harris:362,2441,95,1400,3936,0.6201727642,0.0241361789,0.3556910569,Rep,2
harris:509,2120,128,1581,3829,0.5536693654,0.0334290938,0.4129015409,Rep,2
harris:547,1102,54,643,1799,0.6125625347,0.0300166759,0.3574207893,Rep,2
harris:603,1977,101,1893,3971,0.4978594812,0.0254343994,0.4767061194,Rep,1
harris:619,2454,107,1351,3912,0.6273006135,0.0273517382,0.3453476483,Rep,2
harris:639,1326,51,458,1835,0.7226158038,0.0277929155,0.2495912807,Rep,3
harris:644,1765,105,1564,3434,0.5139778684,0.0305765871,0.4554455446,Rep,1
harris:720,2233,108,1591,3932,0.5679043744,0.0274669379,0.4046286877,Rep,2
harris:751,2732,143,2242,5117,0.5339065859,0.0279460621,0.4381473520,Rep,1
matagorda:2,448,9,94,551,0.8130671506,0.0163339383,0.1705989111,Rep,3
matagorda:4,797,12,123,932,0.8551502146,0.0128755365,0.1319742489,Rep,3
matagorda:5,1053,23,317,1393,0.7559224695,0.0165111271,0.2275664034,Rep,3
matagorda:6,735,16,203,954,0.7704402516,0.0167714885,0.2127882600,Rep,3
matagorda:7,138,3,8,149,0.9261744966,0.0201342282,0.0536912752,Rep,3
matagorda:8,467,12,112,591,0.7901861252,0.0203045685,0.1895093063,Rep,3
matagorda:9,67,2,56,125,0.5360000000,0.0160000000,0.4480000000,Rep,1
matagorda:10,218,9,40,267,0.8164794007,0.0337078652,0.1498127341,Rep,3
