precinct,party,candidate,votes
brewster:1,,Alfred Molison Jr,17
brewster:1,,Carrie Evelyn Menger,0
brewster:1,DEM,Jay Kleberg,353
brewster:1,REP,Dawn Buckingham,647
brewster:2,,Alfred Molison Jr,16
brewster:2,,Carrie Evelyn Menger,0
brewster:2,DEM,Jay Kleberg,351
brewster:2,REP,Dawn Buckingham,316
brewster:3,,Alfred Molison Jr,6
brewster:3,,Carrie Evelyn Menger,0
brewster:3,DEM,Jay Kleberg,107
brewster:3,REP,Dawn Buckingham,96
brewster:4,,Alfred Molison Jr,17
brewster:4,,Carrie Evelyn Menger,1
brewster:4,DEM,Jay Kleberg,378
brewster:4,REP,Dawn Buckingham,452
brewster:5,,Alfred Molison Jr,3
brewster:5,,Carrie Evelyn Menger,0
brewster:5,DEM,Jay Kleberg,40
brewster:5,REP,Dawn Buckingham,33
brewster:6,,Alfred Molison Jr,14
brewster:6,,Carrie Evelyn Menger,0
brewster:6,DEM,Jay Kleberg,188
brewster:6,REP,Dawn Buckingham,237
brewster:7,,Alfred Molison Jr,3
brewster:7,,Carrie Evelyn Menger,0
brewster:7,DEM,Jay Kleberg,56
brewster:7,REP,Dawn Buckingham,24
brewster:8,,Alfred Molison Jr,9
brewster:8,,Carrie Evelyn Menger,0
brewster:8,DEM,Jay Kleberg,172
brewster:8,REP,Dawn Buckingham,113
crockett:1,,Alfred Molison Jr,5
crockett:1,,Carrie Evelyn Menger,0
crockett:1,,Dawn Buckingham,194
crockett:1,,Jay Kleberg,90
crockett:2,,Alfred Molison Jr,2
crockett:2,,Carrie Evelyn Menger,1
crockett:2,,Dawn Buckingham,250
crockett:2,,Jay Kleberg,61
crockett:3,,Alfred Molison Jr,3
crockett:3,,Carrie Evelyn Menger,0
crockett:3,,Dawn Buckingham,281
crockett:3,,Jay Kleberg,51
crockett:4,,Alfred Molison Jr,9
crockett:4,,Carrie Evelyn Menger,0
crockett:4,,Dawn Buckingham,144
crockett:4,,Jay Kleberg,70
el-paso:127,,Over Votes,0
el-paso:127,,Under Votes,4
el-paso:127,,Write-in,0
el-paso:127,DEM,Jay Kleberg,46
el-paso:127,GRN,"Alfred Molison, Jr.",3
el-paso:127,REP,Dawn Buckingham,48
el-paso:156,,Over Votes,0
el-paso:156,,Under Votes,26
el-paso:156,,Write-in,0
el-paso:156,DEM,Jay Kleberg,318
el-paso:156,GRN,"Alfred Molison, Jr.",11
el-paso:156,REP,Dawn Buckingham,118
el-paso:157,,Over Votes,0
el-paso:157,,Under Votes,12
el-paso:157,,Write-in,0
el-paso:157,DEM,Jay Kleberg,91
el-paso:157,GRN,"Alfred Molison, Jr.",4
el-paso:157,REP,Dawn Buckingham,24
el-paso:164,,Over Votes,1
el-paso:164,,Under Votes,55
el-paso:164,,Write-in,0
el-paso:164,DEM,Jay Kleberg,599
el-paso:164,GRN,"Alfred Molison, Jr.",36
el-paso:164,REP,Dawn Buckingham,256
el-paso:165,,Over Votes,2
el-paso:165,,Under Votes,52
el-paso:165,,Write-in,1
el-paso:165,DEM,Jay Kleberg,567
el-paso:165,GRN,"Alfred Molison, Jr.",30
el-paso:165,REP,Dawn Buckingham,227
el-paso:166,,Over Votes,2
el-paso:166,,Under Votes,26
el-paso:166,,Write-in,0
el-paso:166,DEM,Jay Kleberg,402
el-paso:166,GRN,"Alfred Molison, Jr.",35
el-paso:166,REP,Dawn Buckingham,450
el-paso:167,,Over Votes,0
el-paso:167,,Under Votes,71
el-paso:167,,Write-in,0
el-paso:167,DEM,Jay Kleberg,545
el-paso:167,GRN,"Alfred Molison, Jr.",41
el-paso:167,REP,Dawn Buckingham,215
el-paso:168,,Over Votes,0
el-paso:168,,Under Votes,1
el-paso:168,,Write-in,0
el-paso:168,DEM,Jay Kleberg,44
el-paso:168,GRN,"Alfred Molison, Jr.",3
el-paso:168,REP,Dawn Buckingham,26
el-paso:169,,Over Votes,0
el-paso:169,,Under Votes,39
el-paso:169,,Write-in,0
el-paso:169,DEM,Jay Kleberg,325
el-paso:169,GRN,"Alfred Molison, Jr.",31
el-paso:169,REP,Dawn Buckingham,160
el-paso:170,,Over Votes,0
el-paso:170,,Under Votes,70
el-paso:170,,Write-in,2
el-paso:170,DEM,Jay Kleberg,518
el-paso:170,GRN,"Alfred Molison, Jr.",46
el-paso:170,REP,Dawn Buckingham,437
el-paso:171,,Over Votes,0
el-paso:171,,Under Votes,42
el-paso:171,,Write-in,0
el-paso:171,DEM,Jay Kleberg,337
el-paso:171,GRN,"Alfred Molison, Jr.",37
el-paso:171,REP,Dawn Buckingham,175
el-paso:172,,Over Votes,0
el-paso:172,,Under Votes,128
el-paso:172,,Write-in,1
el-paso:172,DEM,Jay Kleberg,663
el-paso:172,GRN,"Alfred Molison, Jr.",52
el-paso:172,REP,Dawn Buckingham,297
el-paso:173,,Over Votes,0
el-paso:173,,Under Votes,26
el-paso:173,,Write-in,0
el-paso:173,DEM,Jay Kleberg,195
el-paso:173,GRN,"Alfred Molison, Jr.",11
el-paso:173,REP,Dawn Buckingham,124
el-paso:174,,Over Votes,0
el-paso:174,,Under Votes,0
el-paso:174,,Write-in,0
el-paso:174,DEM,Jay Kleberg,8
el-paso:174,GRN,"Alfred Molison, Jr.",0
el-paso:174,REP,Dawn Buckingham,5
el-paso:183,,Over Votes,0
el-paso:183,,Under Votes,0
el-paso:183,,Write-in,0
el-paso:183,DEM,Jay Kleberg,0
el-paso:183,GRN,"Alfred Molison, Jr.",0
el-paso:183,REP,Dawn Buckingham,0
el-paso:194,,Over Votes,0
el-paso:194,,Under Votes,33
el-paso:194,,Write-in,0
el-paso:194,DEM,Jay Kleberg,517
el-paso:194,GRN,"Alfred Molison, Jr.",35
el-paso:194,REP,Dawn Buckingham,417
el-paso:195,,Over Votes,0
el-paso:195,,Under Votes,39
el-paso:195,,Write-in,4
el-paso:195,DEM,Jay Kleberg,565
el-paso:195,GRN,"Alfred Molison, Jr.",53
el-paso:195,REP,Dawn Buckingham,465
el-paso:206,,Over Votes,0
el-paso:206,,Under Votes,9
el-paso:206,,Write-in,0
el-paso:206,DEM,Jay Kleberg,110
el-paso:206,GRN,"Alfred Molison, Jr.",12
el-paso:206,REP,Dawn Buckingham,37
el-paso:207,,Over Votes,0
el-paso:207,,Under Votes,29
el-paso:207,,Write-in,1
el-paso:207,DEM,Jay Kleberg,295
el-paso:207,GRN,"Alfred Molison, Jr.",31
el-paso:207,REP,Dawn Buckingham,111
el-paso:208,,Over Votes,0
el-paso:208,,Under Votes,21
el-paso:208,,Write-in,0
el-paso:208,DEM,Jay Kleberg,183
el-paso:208,GRN,"Alfred Molison, Jr.",12
el-paso:208,REP,Dawn Buckingham,87
el-paso:214,,Over Votes,0
el-paso:214,,Under Votes,0
el-paso:214,,Write-in,0
el-paso:214,DEM,Jay Kleberg,0
el-paso:214,GRN,"Alfred Molison, Jr.",0
el-paso:214,REP,Dawn Buckingham,0
el-paso:221,,Over Votes,0
el-paso:221,,Under Votes,0
el-paso:221,,Write-in,0
el-paso:221,DEM,Jay Kleberg,3
