precinct,party,candidate,votes
aransas:1,,Over Votes,0
aransas:1,,Under Votes,4
aransas:1,DEM,Mike Collier,216
aransas:1,LIB,Shanna Steele,23
aransas:1,REP,Dan Patrick,1082
aransas:1A,,Over Votes,0
aransas:1A,,Under Votes,5
aransas:1A,DEM,Mike Collier,116
aransas:1A,LIB,Shanna Steele,14
aransas:1A,REP,Dan Patrick,588
aransas:2,,Over Votes,0
aransas:2,,Under Votes,16
aransas:2,DEM,Mike Collier,366
aransas:2,LIB,Shanna Steele,44
aransas:2,REP,Dan Patrick,1186
aransas:3,,Over Votes,0
aransas:3,,Under Votes,24
aransas:3,DEM,Mike Collier,628
aransas:3,LIB,Shanna Steele,61
aransas:3,REP,Dan Patrick,2092
aransas:4,,Over Votes,0
aransas:4,,Under Votes,22
aransas:4,DEM,Mike Collier,500
aransas:4,LIB,Shanna Steele,53
aransas:4,REP,Dan Patrick,1857
aransas:4A,,Over Votes,0
aransas:4A,,Under Votes,4
aransas:4A,DEM,Mike Collier,138
aransas:4A,LIB,Shanna Steele,14
aransas:4A,REP,Dan Patrick,633
bastrop:1001,,OVER VOTES,0
bastrop:1001,,UNDER VOTES,4
bastrop:1001,DEM,Mike Collier,85
bastrop:1001,LIB,Shanna Steele,15
bastrop:1001,REP,Dan Patrick,142
bastrop:1002,,OVER VOTES,0
bastrop:1002,,UNDER VOTES,5
bastrop:1002,DEM,Mike Collier,209
bastrop:1002,LIB,Shanna Steele,13
bastrop:1002,REP,Dan Patrick,253
bastrop:1005,,OVER VOTES,0
bastrop:1005,,UNDER VOTES,6
bastrop:1005,DEM,Mike Collier,252
bastrop:1005,LIB,Shanna Steele,21
bastrop:1005,REP,Dan Patrick,378
bastrop:1007,,OVER VOTES,0
bastrop:1007,,UNDER VOTES,19
bastrop:1007,DEM,Mike Collier,618
bastrop:1007,LIB,Shanna Steele,41
bastrop:1007,REP,Dan Patrick,810
bastrop:1008,,OVER VOTES,0
bastrop:1008,,UNDER VOTES,15
bastrop:1008,DEM,Mike Collier,429
bastrop:1008,LIB,Shanna Steele,31
bastrop:1008,REP,Dan Patrick,411
bastrop:1009,,OVER VOTES,0
bastrop:1009,,UNDER VOTES,7
bastrop:1009,DEM,Mike Collier,474
bastrop:1009,LIB,Shanna Steele,42
bastrop:1009,REP,Dan Patrick,540
bastrop:2011,,OVER VOTES,0
bastrop:2011,,UNDER VOTES,19
bastrop:2011,DEM,Mike Collier,546
bastrop:2011,LIB,Shanna Steele,47
bastrop:2011,REP,Dan Patrick,591
bastrop:2012,,OVER VOTES,0
bastrop:2012,,UNDER VOTES,10
bastrop:2012,DEM,Mike Collier,328
bastrop:2012,LIB,Shanna Steele,21
bastrop:2012,REP,Dan Patrick,666
bastrop:2016,,OVER VOTES,0
bastrop:2016,,UNDER VOTES,18
bastrop:2016,DEM,Mike Collier,406
bastrop:2016,LIB,Shanna Steele,70
bastrop:2016,REP,Dan Patrick,1159
bastrop:3017,,OVER VOTES,0
bastrop:3017,,UNDER VOTES,20
bastrop:3017,DEM,Mike Collier,515
bastrop:3017,LIB,Shanna Steele,46
bastrop:3017,REP,Dan Patrick,889
bastrop:3018,,OVER VOTES,0
bastrop:3018,,UNDER VOTES,10
bastrop:3018,DEM,Mike Collier,273
bastrop:3018,LIB,Shanna Steele,33
bastrop:3018,REP,Dan Patrick,670
bastrop:3019,,OVER VOTES,0
bastrop:3019,,UNDER VOTES,14
bastrop:3019,DEM,Mike Collier,504
bastrop:3019,LIB,Shanna Steele,39
bastrop:3019,REP,Dan Patrick,591
bastrop:3020,,OVER VOTES,0
bastrop:3020,,UNDER VOTES,19
bastrop:3020,DEM,Mike Collier,654
bastrop:3020,LIB,Shanna Steele,43
bastrop:3020,REP,Dan Patrick,465
bee:1,DEM,Mike Collier,287
bee:1,LIB,Shanna Steele,18
bee:1,REP,Dan Patrick,610
bee:10,DEM,Mike Collier,184
bee:10,LIB,Shanna Steele,8
bee:10,REP,Dan Patrick,182
bee:13,DEM,Mike Collier,210
bee:13,LIB,Shanna Steele,18
bee:13,REP,Dan Patrick,433
bee:16,DEM,Mike Collier,132
bee:16,LIB,Shanna Steele,12
bee:16,REP,Dan Patrick,292
bee:17,DEM,Mike Collier,174
bee:17,LIB,Shanna Steele,6
bee:17,REP,Dan Patrick,264
bee:18,DEM,Mike Collier,205
bee:18,LIB,Shanna Steele,19
bee:18,REP,Dan Patrick,640
bee:19,DEM,Mike Collier,78
bee:19,LIB,Shanna Steele,9
bee:19,REP,Dan Patrick,62
bee:2,DEM,Mike Collier,43
bee:2,LIB,Shanna Steele,6
bee:2,REP,Dan Patrick,252
bee:3,DEM,Mike Collier,215
bee:3,LIB,Shanna Steele,17
bee:3,REP,Dan Patrick,423
bee:4,DEM,Mike Collier,54
bee:4,LIB,Shanna Steele,3
bee:4,REP,Dan Patrick,241
bee:5,DEM,Mike Collier,102
bee:5,LIB,Shanna Steele,13
bee:5,REP,Dan Patrick,304
bee:6,DEM,Mike Collier,134
bee:6,LIB,Shanna Steele,15
bee:6,REP,Dan Patrick,390
bee:9,DEM,Mike Collier,173
bee:9,LIB,Shanna Steele,6
bee:9,REP,Dan Patrick,89
caldwell:100,DEM,Mike Collier,196
caldwell:100,LIB,Shanna Steele,12
caldwell:100,REP,Dan Patrick,119
caldwell:101,DEM,Mike Collier,198
caldwell:101,LIB,Shanna Steele,15
caldwell:101,REP,Dan Patrick,164
caldwell:102,DEM,Mike Collier,123
caldwell:102,LIB,Shanna Steele,21
caldwell:102,REP,Dan Patrick,263
caldwell:103,DEM,Mike Collier,758
caldwell:103,LIB,Shanna Steele,56
caldwell:103,REP,Dan Patrick,663
caldwell:104,DEM,Mike Collier,102
caldwell:104,LIB,Shanna Steele,12
caldwell:104,REP,Dan Patrick,238
caldwell:108,DEM,Mike Collier,184
caldwell:108,LIB,Shanna Steele,13
caldwell:108,REP,Dan Patrick,159
caldwell:111,DEM,Mike Collier,286
caldwell:111,LIB,Shanna Steele,28
caldwell:111,REP,Dan Patrick,262
caldwell:201,DEM,Mike Collier,173
caldwell:201,LIB,Shanna Steele,7
caldwell:201,REP,Dan Patrick,276
caldwell:202,DEM,Mike Collier,152
