precinct,party,candidate,votes
hunt:101,,Ricardo Turullols-Bonilla,0
hunt:101,DEM,"Mary ""MJ"" Hegar",108
hunt:101,GRN,David B. Collins,9
hunt:101,LIB,Kerry Douglas McKennon,12
hunt:101,REP,John Cornyn,704
hunt:102,,Ricardo Turullols-Bonilla,0
hunt:102,DEM,"Mary ""MJ"" Hegar",163
hunt:102,GRN,David B. Collins,4
hunt:102,LIB,Kerry Douglas McKennon,18
hunt:102,REP,John Cornyn,728
hunt:103,,Ricardo Turullols-Bonilla,0
hunt:103,DEM,"Mary ""MJ"" Hegar",69
hunt:103,GRN,David B. Collins,3
hunt:103,LIB,Kerry Douglas McKennon,10
hunt:103,REP,John Cornyn,450
hunt:104,,Ricardo Turullols-Bonilla,0
hunt:104,DEM,"Mary ""MJ"" Hegar",112
hunt:104,GRN,David B. Collins,5
hunt:104,LIB,Kerry Douglas McKennon,14
hunt:104,REP,John Cornyn,574
hunt:105,,Ricardo Turullols-Bonilla,0
hunt:105,DEM,"Mary ""MJ"" Hegar",127
hunt:105,GRN,David B. Collins,9
hunt:105,LIB,Kerry Douglas McKennon,5
hunt:105,REP,John Cornyn,306
hunt:106,,Ricardo Turullols-Bonilla,0
hunt:106,DEM,"Mary ""MJ"" Hegar",456
hunt:106,GRN,David B. Collins,8
hunt:106,LIB,Kerry Douglas McKennon,22
hunt:106,REP,John Cornyn,724
hunt:107,,Ricardo Turullols-Bonilla,0
hunt:107,DEM,"Mary ""MJ"" Hegar",524
hunt:107,GRN,David B. Collins,19
hunt:107,LIB,Kerry Douglas McKennon,33
hunt:107,REP,John Cornyn,1358
hunt:108,,Ricardo Turullols-Bonilla,0
hunt:108,DEM,"Mary ""MJ"" Hegar",322
hunt:108,GRN,David B. Collins,4
hunt:108,LIB,Kerry Douglas McKennon,22
hunt:108,REP,John Cornyn,592
hunt:109,,Ricardo Turullols-Bonilla,0
hunt:109,DEM,"Mary ""MJ"" Hegar",134
hunt:109,GRN,David B. Collins,5
hunt:109,LIB,Kerry Douglas McKennon,12
hunt:109,REP,John Cornyn,752
hunt:210,,Ricardo Turullols-Bonilla,0
hunt:210,DEM,"Mary ""MJ"" Hegar",115
hunt:210,GRN,David B. Collins,4
hunt:210,LIB,Kerry Douglas McKennon,9
hunt:210,REP,John Cornyn,373
hunt:211,,Ricardo Turullols-Bonilla,0
hunt:211,DEM,"Mary ""MJ"" Hegar",103
hunt:211,GRN,David B. Collins,2
hunt:211,LIB,Kerry Douglas McKennon,6
hunt:211,REP,John Cornyn,357
hunt:212,,Ricardo Turullols-Bonilla,0
hunt:212,DEM,"Mary ""MJ"" Hegar",228
hunt:212,GRN,David B. Collins,6
hunt:212,LIB,Kerry Douglas McKennon,21
hunt:212,REP,John Cornyn,577
hunt:213,,Ricardo Turullols-Bonilla,0
hunt:213,DEM,"Mary ""MJ"" Hegar",72
hunt:213,GRN,David B. Collins,6
hunt:213,LIB,Kerry Douglas McKennon,11
hunt:213,REP,John Cornyn,619
hunt:214,,Ricardo Turullols-Bonilla,0
hunt:214,DEM,"Mary ""MJ"" Hegar",351
hunt:214,GRN,David B. Collins,10
hunt:214,LIB,Kerry Douglas McKennon,37
hunt:214,REP,John Cornyn,1923
hunt:215,,Ricardo Turullols-Bonilla,0
hunt:215,DEM,"Mary ""MJ"" Hegar",802
hunt:215,GRN,David B. Collins,18
hunt:215,LIB,Kerry Douglas McKennon,63
hunt:215,REP,John Cornyn,3706
hunt:216,,Ricardo Turullols-Bonilla,0
hunt:216,DEM,"Mary ""MJ"" Hegar",264
hunt:216,GRN,David B. Collins,7
hunt:216,LIB,Kerry Douglas McKennon,33
hunt:216,REP,John Cornyn,1382
hunt:318,,Ricardo Turullols-Bonilla,0
hunt:318,DEM,"Mary ""MJ"" Hegar",70
hunt:318,GRN,David B. Collins,3
hunt:318,LIB,Kerry Douglas McKennon,10
hunt:318,REP,John Cornyn,431
hunt:319,,Ricardo Turullols-Bonilla,0
hunt:319,DEM,"Mary ""MJ"" Hegar",170
hunt:319,GRN,David B. Collins,7
hunt:319,LIB,Kerry Douglas McKennon,16
hunt:319,REP,John Cornyn,1100
hunt:323,,Ricardo Turullols-Bonilla,0
hunt:323,DEM,"Mary ""MJ"" Hegar",283
hunt:323,GRN,David B. Collins,14
hunt:323,LIB,Kerry Douglas McKennon,30
hunt:323,REP,John Cornyn,1676
hunt:324,,Ricardo Turullols-Bonilla,0
hunt:324,DEM,"Mary ""MJ"" Hegar",300
hunt:324,GRN,David B. Collins,8
hunt:324,LIB,Kerry Douglas McKennon,24
hunt:324,REP,John Cornyn,1106
hunt:325,,Ricardo Turullols-Bonilla,0
hunt:325,DEM,"Mary ""MJ"" Hegar",403
hunt:325,GRN,David B. Collins,7
hunt:325,LIB,Kerry Douglas McKennon,26
hunt:325,REP,John Cornyn,1565
hunt:426,,Ricardo Turullols-Bonilla,0
hunt:426,DEM,"Mary ""MJ"" Hegar",76
hunt:426,GRN,David B. Collins,0
hunt:426,LIB,Kerry Douglas McKennon,5
hunt:426,REP,John Cornyn,258
hunt:427,,Ricardo Turullols-Bonilla,0
hunt:427,DEM,"Mary ""MJ"" Hegar",710
hunt:427,GRN,David B. Collins,12
hunt:427,LIB,Kerry Douglas McKennon,33
hunt:427,REP,John Cornyn,856
hunt:428,,Ricardo Turullols-Bonilla,0
hunt:428,DEM,"Mary ""MJ"" Hegar",453
hunt:428,GRN,David B. Collins,11
hunt:428,LIB,Kerry Douglas McKennon,38
hunt:428,REP,John Cornyn,757
hunt:429,,Ricardo Turullols-Bonilla,0
hunt:429,DEM,"Mary ""MJ"" Hegar",63
hunt:429,GRN,David B. Collins,0
hunt:429,LIB,Kerry Douglas McKennon,5
hunt:429,REP,John Cornyn,244
hunt:430,,Ricardo Turullols-Bonilla,0
hunt:430,DEM,"Mary ""MJ"" Hegar",126
hunt:430,GRN,David B. Collins,3
hunt:430,LIB,Kerry Douglas McKennon,10
hunt:430,REP,John Cornyn,264
hunt:431,,Ricardo Turullols-Bonilla,0
hunt:431,DEM,"Mary ""MJ"" Hegar",100
hunt:431,GRN,David B. Collins,0
hunt:431,LIB,Kerry Douglas McKennon,3
hunt:431,REP,John Cornyn,254
hunt:432,,Ricardo Turullols-Bonilla,0
hunt:432,DEM,"Mary ""MJ"" Hegar",51
hunt:432,GRN,David B. Collins,1
hunt:432,LIB,Kerry Douglas McKennon,10
hunt:432,REP,John Cornyn,512
hunt:433,,Ricardo Turullols-Bonilla,0
hunt:433,DEM,"Mary ""MJ"" Hegar",704
hunt:433,GRN,David B. Collins,7
hunt:433,LIB,Kerry Douglas McKennon,21
hunt:433,REP,John Cornyn,362
hunt:434,,Ricardo Turullols-Bonilla,0
hunt:434,DEM,"Mary ""MJ"" Hegar",133
hunt:434,GRN,David B. Collins,9
hunt:434,LIB,Kerry Douglas McKennon,10
hunt:434,REP,John Cornyn,835
