precinct,party,candidate,votes
dallas:2001,DEM,Jay Kleberg,11
dallas:2001,GRN,"Alfred Molison, Jr.",1
dallas:2001,REP,Dawn Buckingham,4
dallas:2005,,Under Votes,10
dallas:2005,,Write-in,1
dallas:2005,DEM,Jay Kleberg,379
dallas:2005,GRN,"Alfred Molison, Jr.",9
dallas:2005,REP,Dawn Buckingham,316
dallas:2009,,Under Votes,24
dallas:2009,DEM,Jay Kleberg,745
dallas:2009,GRN,"Alfred Molison, Jr.",13
dallas:2009,REP,Dawn Buckingham,665
dallas:2028,DEM,Jay Kleberg,1
dallas:2074,,Under Votes,6
dallas:2074,,Write-in,3
dallas:2074,DEM,Jay Kleberg,358
dallas:2074,GRN,"Alfred Molison, Jr.",11
dallas:2074,REP,Dawn Buckingham,179
dallas:2300,,Under Votes,11
dallas:2300,,Write-in,3
dallas:2300,DEM,Jay Kleberg,336
dallas:2300,GRN,"Alfred Molison, Jr.",9
dallas:2300,REP,Dawn Buckingham,221
dallas:2302,,Under Votes,21
dallas:2302,DEM,Jay Kleberg,486
dallas:2302,GRN,"Alfred Molison, Jr.",22
dallas:2302,REP,Dawn Buckingham,199
dallas:2302,,Write-in,1
dallas:2308,,Under Votes,11
dallas:2308,,Write-in,2
dallas:2308,DEM,Jay Kleberg,649
dallas:2308,GRN,"Alfred Molison, Jr.",15
dallas:2308,REP,Dawn Buckingham,342
dallas:2309,,Under Votes,8
dallas:2309,,Write-in,2
dallas:2309,DEM,Jay Kleberg,528
dallas:2309,GRN,"Alfred Molison, Jr.",14
dallas:2309,REP,Dawn Buckingham,212
dallas:2311,,Under Votes,2
dallas:2311,,Write-in,1
dallas:2311,DEM,Jay Kleberg,82
dallas:2311,GRN,"Alfred Molison, Jr.",6
dallas:2311,REP,Dawn Buckingham,58
dallas:2312,DEM,Jay Kleberg,8
dallas:2312,GRN,"Alfred Molison, Jr.",1
dallas:2312,REP,Dawn Buckingham,6
dallas:2408,,Under Votes,15
dallas:2408,DEM,Jay Kleberg,491
dallas:2408,GRN,"Alfred Molison, Jr.",24
