precinct,party,candidate,votes
travis:102,DEM,Amy Clark Meachum,625
travis:102,LIB,Mark Ash,25
travis:102,REP,Nathan Hecht,185
travis:103,DEM,Amy Clark Meachum,803
travis:103,LIB,Mark Ash,33
travis:103,REP,Nathan Hecht,290
travis:104,DEM,Amy Clark Meachum,626
travis:104,LIB,Mark Ash,27
travis:104,REP,Nathan Hecht,290
travis:108,DEM,Amy Clark Meachum,959
travis:108,LIB,Mark Ash,45
travis:108,REP,Nathan Hecht,218
travis:109,DEM,Amy Clark Meachum,1391
travis:109,LIB,Mark Ash,72
travis:109,REP,Nathan Hecht,507
travis:111,DEM,Amy Clark Meachum,2513
travis:111,LIB,Mark Ash,127
travis:111,REP,Nathan Hecht,940
travis:112,DEM,Amy Clark Meachum,1080
travis:112,LIB,Mark Ash,62
travis:112,REP,Nathan Hecht,313
travis:113,DEM,Amy Clark Meachum,4521
travis:113,LIB,Mark Ash,233
travis:113,REP,Nathan Hecht,1630
travis:118,DEM,Amy Clark Meachum,344
travis:118,LIB,Mark Ash,10
travis:118,REP,Nathan Hecht,45
travis:130,DEM,Amy Clark Meachum,1384
travis:130,LIB,Mark Ash,46
travis:130,REP,Nathan Hecht,186
travis:133,DEM,Amy Clark Meachum,1612
travis:133,LIB,Mark Ash,60
travis:133,REP,Nathan Hecht,232
travis:135,DEM,Amy Clark Meachum,5788
travis:135,LIB,Mark Ash,154
travis:135,REP,Nathan Hecht,907
travis:139,DEM,Amy Clark Meachum,1874
travis:139,LIB,Mark Ash,88
travis:139,REP,Nathan Hecht,415
travis:140,DEM,Amy Clark Meachum,1102
travis:140,LIB,Mark Ash,58
travis:140,REP,Nathan Hecht,235
travis:142,DEM,Amy Clark Meachum,841
travis:142,LIB,Mark Ash,33
travis:142,REP,Nathan Hecht,102
travis:149,DEM,Amy Clark Meachum,1385
travis:149,LIB,Mark Ash,42
travis:149,REP,Nathan Hecht,172
travis:152,DEM,Amy Clark Meachum,2783
travis:152,LIB,Mark Ash,50
travis:152,REP,Nathan Hecht,183
travis:156,DEM,Amy Clark Meachum,4099
travis:156,LIB,Mark Ash,178
travis:156,REP,Nathan Hecht,651
travis:164,DEM,Amy Clark Meachum,932
travis:164,LIB,Mark Ash,38
travis:164,REP,Nathan Hecht,222
travis:200,DEM,Amy Clark Meachum,3897
travis:200,LIB,Mark Ash,109
travis:200,REP,Nathan Hecht,582
travis:202,DEM,Amy Clark Meachum,2299
travis:202,LIB,Mark Ash,84
travis:202,REP,Nathan Hecht,370
travis:205,DEM,Amy Clark Meachum,1689
travis:205,LIB,Mark Ash,73
travis:205,REP,Nathan Hecht,448
travis:206,DEM,Amy Clark Meachum,1032
travis:206,LIB,Mark Ash,36
travis:206,REP,Nathan Hecht,242
travis:207,DEM,Amy Clark Meachum,2863
travis:207,LIB,Mark Ash,144
travis:207,REP,Nathan Hecht,1075
travis:208,DEM,Amy Clark Meachum,2240
travis:208,LIB,Mark Ash,101
travis:208,REP,Nathan Hecht,474
travis:209,DEM,Amy Clark Meachum,582
travis:209,LIB,Mark Ash,20
travis:209,REP,Nathan Hecht,157
travis:210,DEM,Amy Clark Meachum,912
travis:210,LIB,Mark Ash,38
travis:210,REP,Nathan Hecht,559
travis:211,DEM,Amy Clark Meachum,1148
travis:211,LIB,Mark Ash,78
travis:211,REP,Nathan Hecht,346
travis:214,DEM,Amy Clark Meachum,1409
travis:214,LIB,Mark Ash,41
travis:214,REP,Nathan Hecht,846
travis:216,DEM,Amy Clark Meachum,1360
travis:216,LIB,Mark Ash,67
travis:216,REP,Nathan Hecht,377
travis:217,DEM,Amy Clark Meachum,1277
travis:217,LIB,Mark Ash,56
travis:217,REP,Nathan Hecht,340
travis:218,DEM,Amy Clark Meachum,3995
travis:218,LIB,Mark Ash,198
travis:218,REP,Nathan Hecht,1265
travis:220,DEM,Amy Clark Meachum,1022
travis:220,LIB,Mark Ash,26
travis:220,REP,Nathan Hecht,517
travis:222,DEM,Amy Clark Meachum,1555
travis:222,LIB,Mark Ash,74
travis:222,REP,Nathan Hecht,458
travis:223,DEM,Amy Clark Meachum,333
travis:223,LIB,Mark Ash,20
travis:223,REP,Nathan Hecht,83
travis:224,DEM,Amy Clark Meachum,95
travis:224,LIB,Mark Ash,5
travis:224,REP,Nathan Hecht,26
travis:226,DEM,Amy Clark Meachum,1485
travis:226,LIB,Mark Ash,86
travis:226,REP,Nathan Hecht,470
travis:228,DEM,Amy Clark Meachum,1115
travis:228,LIB,Mark Ash,44
travis:228,REP,Nathan Hecht,512
travis:229,DEM,Amy Clark Meachum,1112
travis:229,LIB,Mark Ash,62
travis:229,REP,Nathan Hecht,393
travis:231,DEM,Amy Clark Meachum,1568
travis:231,LIB,Mark Ash,36
travis:231,REP,Nathan Hecht,858
travis:235,DEM,Amy Clark Meachum,2315
travis:235,LIB,Mark Ash,68
travis:235,REP,Nathan Hecht,335
travis:236,DEM,Amy Clark Meachum,2241
travis:236,LIB,Mark Ash,73
travis:236,REP,Nathan Hecht,434
travis:237,DEM,Amy Clark Meachum,1203
travis:237,LIB,Mark Ash,29
travis:237,REP,Nathan Hecht,619
travis:238,DEM,Amy Clark Meachum,1763
travis:238,LIB,Mark Ash,57
travis:238,REP,Nathan Hecht,582
travis:239,DEM,Amy Clark Meachum,1701
travis:239,LIB,Mark Ash,49
travis:239,REP,Nathan Hecht,409
travis:240,DEM,Amy Clark Meachum,653
travis:240,LIB,Mark Ash,30
travis:240,REP,Nathan Hecht,258
