precinct,party,candidate,votes
williamson:117,,Over Votes,0
williamson:117,,Under Votes,61
williamson:117,,Write-in,0
williamson:117,DEM,Lloyd Doggett,1490
williamson:117,LIB,Clark Patterson,58
williamson:117,REP,Jenny Garcia Sharon,531
williamson:118,,Over Votes,0
williamson:118,,Under Votes,43
williamson:118,,Write-in,2
williamson:118,DEM,Lloyd Doggett,1148
williamson:118,LIB,Clark Patterson,40
williamson:118,REP,Jenny Garcia Sharon,602
williamson:146,,Over Votes,0
williamson:146,,Under Votes,71
williamson:146,,Write-in,2
williamson:146,DEM,Lloyd Doggett,1806
williamson:146,LIB,Clark Patterson,67
williamson:146,REP,Jenny Garcia Sharon,770
williamson:147,,Over Votes,0
williamson:147,,Under Votes,49
williamson:147,,Write-in,1
williamson:147,DEM,Lloyd Doggett,1652
williamson:147,LIB,Clark Patterson,59
williamson:147,REP,Jenny Garcia Sharon,575
williamson:151,,Over Votes,0
williamson:151,,Under Votes,55
williamson:151,,Write-in,0
williamson:151,DEM,Lloyd Doggett,1810
williamson:151,LIB,Clark Patterson,59
williamson:151,REP,Jenny Garcia Sharon,669
williamson:162,,Over Votes,0
williamson:162,,Under Votes,57
williamson:162,,Write-in,0
williamson:162,DEM,Lloyd Doggett,1669
williamson:162,LIB,Clark Patterson,59
williamson:162,REP,Jenny Garcia Sharon,645
williamson:174,,Over Votes,0
williamson:174,,Under Votes,43
williamson:174,,Write-in,0
williamson:174,DEM,Lloyd Doggett,948
williamson:174,LIB,Clark Patterson,33
williamson:174,REP,Jenny Garcia Sharon,397
williamson:175,,Over Votes,0
williamson:175,,Under Votes,49
williamson:175,,Write-in,0
williamson:175,DEM,Lloyd Doggett,969
williamson:175,LIB,Clark Patterson,47
williamson:175,REP,Jenny Garcia Sharon,420
williamson:186,,Over Votes,0
williamson:186,,Under Votes,34
williamson:186,,Write-in,1
williamson:186,DEM,Lloyd Doggett,951
williamson:186,LIB,Clark Patterson,23
williamson:186,REP,Jenny Garcia Sharon,539
williamson:198,,Over Votes,0
williamson:198,,Under Votes,1
williamson:198,,Write-in,0
williamson:198,DEM,Lloyd Doggett,20
williamson:198,LIB,Clark Patterson,1
williamson:198,REP,Jenny Garcia Sharon,7
