precinct,registered,ballots_cast,blank
fort-bend:1067,3199,,
fort-bend:1076,5646,,
fort-bend:1141,3438,,
fort-bend:2043,894,,
fort-bend:2066,4914,,
fort-bend:2099,3877,,
fort-bend:2100,3045,,
fort-bend:2101,3994,,
fort-bend:2106,5533,,
fort-bend:3032,3121,,
fort-bend:3083,4828,,
fort-bend:3098,2808,,
fort-bend:3113,6924,,
fort-bend:3150,7038,,
fort-bend:4026,3127,,
fort-bend:4035,1951,,
fort-bend:4039,1018,,
fort-bend:4045,2026,,
fort-bend:4047,884,,
fort-bend:4071,619,,
fort-bend:4079,479,,
fort-bend:4080,1480,,
fort-bend:4086,2625,,
fort-bend:4102,2475,,
fort-bend:4117,6341,,
fort-bend:4121,802,,
fort-bend:4124,4368,,
fort-bend:4125,4348,,
fort-bend:4126,3772,,
fort-bend:4135,6666,,
fort-bend:4147,5899,,
fort-bend:4155,3025,,
fort-bend:4158,2387,,
harris:123,1806,1219,
harris:128,2462,2084,
harris:133,2774,2422,
harris:139,4251,3300,
harris:148,2659,2171,
harris:15,3067,2650,
harris:175,2675,2245,
harris:176,1385,1143,
harris:177,2082,1597,
harris:182,4295,3490,
harris:183,2635,2247,
harris:200,4256,3406,
harris:204,3785,3092,
harris:214,2003,1667,
harris:215,2401,2039,
harris:222,2990,2459,
harris:232,1914,1607,
harris:233,5958,4640,
harris:268,2534,2117,
harris:272,2519,1493,
harris:282,2466,1728,
harris:297,2156,1283,
harris:298,2374,1665,
harris:304,2349,1882,
harris:312,3914,2633,
harris:316,1538,1253,
harris:317,1578,927,
harris:32,3608,2502,
harris:33,4474,3406,
harris:335,1869,926,
harris:338,5065,2992,
harris:34,3326,2428,
harris:345,2186,1217,
harris:350,3560,2523,
harris:356,3435,2569,
harris:360,3914,3006,
harris:361,2065,1181,
harris:37,2914,2220,
harris:38,3315,2639,
harris:39,3816,2748,
harris:40,553,456,
harris:428,5634,3531,
harris:431,4356,2299,
harris:432,1705,863,
harris:433,582,325,
harris:472,1186,935,
harris:487,4291,2415,
harris:491,2725,1911,
harris:492,2609,1771,
harris:507,2665,1135,
harris:508,5067,2919,
harris:510,4101,2829,
harris:52,3087,2394,
harris:524,3748,2423,
harris:54,1860,1584,
harris:55,3320,2672,
harris:558,4964,3115,
harris:559,5388,3158,
harris:566,3112,1902,
harris:567,2939,1630,
harris:569,4927,3551,
harris:570,1701,1171,
harris:572,3627,2388,
harris:58,3876,3163,
harris:60,3105,2365,
harris:600,4497,2973,
harris:620,3802,2726,
harris:625,1999,1536,
harris:626,5016,3582,
harris:645,5411,3799,
harris:646,2538,1679,
harris:647,5018,2931,
harris:686,221,105,
harris:706,3199,2154,
harris:71,6719,5482,
harris:710,2433,2020,
harris:711,4689,3533,
harris:727,2943,1665,
harris:765,6107,3522,
harris:773,4704,3072,
harris:781,4026,2355,
harris:802,38,14,
harris:807,2173,1167,
harris:808,628,505,
harris:814,5694,3483,
harris:826,371,317,
harris:837,65,76,
harris:839,1225,731,
harris:87,2919,2465,
harris:886,953,727,
harris:887,573,384,
harris:89,1318,1122,
harris:895,876,737,
harris:896,1719,1442,
harris:902,3125,2664,
harris:906,31,29,
harris:944,0,0,
harris:956,0,0,
