precinct,party,candidate,votes
montgomery:1,DEM,Kathy Cheng,713
montgomery:1,REP,Jane Bland,1847
montgomery:10,DEM,Kathy Cheng,861
montgomery:10,REP,Jane Bland,438
montgomery:11,DEM,Kathy Cheng,279
montgomery:11,REP,Jane Bland,1143
montgomery:13,DEM,Kathy Cheng,638
montgomery:13,REP,Jane Bland,3672
montgomery:15,DEM,Kathy Cheng,773
montgomery:15,REP,Jane Bland,3005
montgomery:17,DEM,Kathy Cheng,388
montgomery:17,REP,Jane Bland,2287
montgomery:18,DEM,Kathy Cheng,628
montgomery:18,REP,Jane Bland,2878
montgomery:19,DEM,Kathy Cheng,496
montgomery:19,REP,Jane Bland,2259
montgomery:2,DEM,Kathy Cheng,508
montgomery:2,REP,Jane Bland,1378
montgomery:20,DEM,Kathy Cheng,469
montgomery:20,REP,Jane Bland,838
montgomery:21,DEM,Kathy Cheng,775
montgomery:21,REP,Jane Bland,1767
montgomery:22,DEM,Kathy Cheng,602
montgomery:22,REP,Jane Bland,2948
montgomery:23,DEM,Kathy Cheng,756
montgomery:23,REP,Jane Bland,1855
montgomery:28,DEM,Kathy Cheng,316
montgomery:28,REP,Jane Bland,2017
montgomery:29,DEM,Kathy Cheng,526
montgomery:29,REP,Jane Bland,3263
montgomery:30,DEM,Kathy Cheng,333
montgomery:30,REP,Jane Bland,1855
montgomery:34,DEM,Kathy Cheng,454
montgomery:34,REP,Jane Bland,1564
montgomery:38,DEM,Kathy Cheng,674
montgomery:38,REP,Jane Bland,3839
montgomery:39,DEM,Kathy Cheng,464
montgomery:39,REP,Jane Bland,3358
montgomery:40,DEM,Kathy Cheng,1058
montgomery:40,REP,Jane Bland,3636
montgomery:43,DEM,Kathy Cheng,775
montgomery:43,REP,Jane Bland,3599
montgomery:44,DEM,Kathy Cheng,495
montgomery:44,REP,Jane Bland,1118
montgomery:5,DEM,Kathy Cheng,25
montgomery:5,REP,Jane Bland,220
montgomery:50,DEM,Kathy Cheng,457
montgomery:50,REP,Jane Bland,2655
montgomery:51,DEM,Kathy Cheng,564
montgomery:51,REP,Jane Bland,804
montgomery:55,DEM,Kathy Cheng,180
montgomery:55,REP,Jane Bland,671
montgomery:57,DEM,Kathy Cheng,308
montgomery:57,REP,Jane Bland,1700
montgomery:60,DEM,Kathy Cheng,467
montgomery:60,REP,Jane Bland,798
montgomery:63,DEM,Kathy Cheng,690
montgomery:63,REP,Jane Bland,3670
montgomery:65,DEM,Kathy Cheng,587
montgomery:65,REP,Jane Bland,3364
montgomery:66,DEM,Kathy Cheng,449
montgomery:66,REP,Jane Bland,2353
montgomery:72,DEM,Kathy Cheng,451
montgomery:72,REP,Jane Bland,3036
montgomery:73,DEM,Kathy Cheng,369
montgomery:73,REP,Jane Bland,959
montgomery:74,DEM,Kathy Cheng,387
montgomery:74,REP,Jane Bland,1372
montgomery:76,DEM,Kathy Cheng,764
montgomery:76,REP,Jane Bland,3357
montgomery:77,DEM,Kathy Cheng,533
montgomery:77,REP,Jane Bland,2925
montgomery:8,DEM,Kathy Cheng,273
montgomery:8,REP,Jane Bland,1909
montgomery:83,DEM,Kathy Cheng,145
montgomery:83,REP,Jane Bland,888
montgomery:85,DEM,Kathy Cheng,423
montgomery:85,REP,Jane Bland,2031
montgomery:86,DEM,Kathy Cheng,328
montgomery:86,REP,Jane Bland,1477
montgomery:89,DEM,Kathy Cheng,651
montgomery:89,REP,Jane Bland,2931
montgomery:9,DEM,Kathy Cheng,251
montgomery:9,REP,Jane Bland,1196
montgomery:90,DEM,Kathy Cheng,742
montgomery:90,REP,Jane Bland,4347
montgomery:91,DEM,Kathy Cheng,184
montgomery:91,REP,Jane Bland,1318
montgomery:97,DEM,Kathy Cheng,395
montgomery:97,REP,Jane Bland,2285
montgomery:99,DEM,Kathy Cheng,426
montgomery:99,REP,Jane Bland,2575
