precinct,party,candidate,votes
dallas:4600,,Under Votes,4
dallas:4600,,Write-in,3
dallas:4600,DEM,Beto O'Rourke,521
dallas:4600,GRN,Delilah Barrios,6
dallas:4600,LIB,Mark Tippetts,9
dallas:4600,REP,Greg Abbott,514
dallas:4601,,Under Votes,7
dallas:4601,,Write-in,1
dallas:4601,DEM,Beto O'Rourke,871
dallas:4601,GRN,Delilah Barrios,2
dallas:4601,LIB,Mark Tippetts,24
dallas:4601,REP,Greg Abbott,880
dallas:4602,,Under Votes,3
dallas:4602,DEM,Beto O'Rourke,433
dallas:4602,GRN,Delilah Barrios,3
dallas:4602,LIB,Mark Tippetts,7
dallas:4602,REP,Greg Abbott,373
dallas:4604,,Under Votes,6
dallas:4604,,Write-in,2
dallas:4604,DEM,Beto O'Rourke,656
dallas:4604,GRN,Delilah Barrios,7
dallas:4604,LIB,Mark Tippetts,3
dallas:4604,REP,Greg Abbott,531
dallas:4605,,Under Votes,2
dallas:4605,,Write-in,2
dallas:4605,DEM,Beto O'Rourke,518
dallas:4605,GRN,Delilah Barrios,3
dallas:4605,LIB,Mark Tippetts,6
dallas:4605,REP,Greg Abbott,471
dallas:4606,,Under Votes,3
dallas:4606,,Write-in,1
dallas:4606,DEM,Beto O'Rourke,537
dallas:4606,GRN,Delilah Barrios,2
dallas:4606,LIB,Mark Tippetts,13
dallas:4606,REP,Greg Abbott,466
dallas:4607,,Under Votes,3
dallas:4607,,Write-in,1
dallas:4607,DEM,Beto O'Rourke,354
dallas:4607,GRN,Delilah Barrios,2
dallas:4607,LIB,Mark Tippetts,7
dallas:4607,REP,Greg Abbott,243
dallas:4608,,Under Votes,7
dallas:4608,DEM,Beto O'Rourke,877
dallas:4608,LIB,Mark Tippetts,14
dallas:4608,REP,Greg Abbott,447
dallas:4608,GRN,Delilah Barrios,5
dallas:4609,,Under Votes,2
dallas:4609,DEM,Beto O'Rourke,427
dallas:4609,GRN,Delilah Barrios,3
dallas:4609,LIB,Mark Tippetts,8
dallas:4609,REP,Greg Abbott,143
dallas:4610,,Under Votes,6
dallas:4610,DEM,Beto O'Rourke,461
dallas:4610,LIB,Mark Tippetts,15
dallas:4610,REP,Greg Abbott,535
dallas:4610,,Write-in,1
dallas:4610,GRN,Delilah Barrios,6
dallas:4611,,Under Votes,3
dallas:4611,DEM,Beto O'Rourke,359
dallas:4611,GRN,Delilah Barrios,3
dallas:4611,LIB,Mark Tippetts,10
dallas:4611,REP,Greg Abbott,299
dallas:4611,,Write-in,1
dallas:4612,DEM,Beto O'Rourke,74
dallas:4612,REP,Greg Abbott,69
dallas:4613,,Under Votes,1
dallas:4613,DEM,Beto O'Rourke,168
dallas:4613,GRN,Delilah Barrios,1
dallas:4613,LIB,Mark Tippetts,2
dallas:4613,REP,Greg Abbott,80
dallas:4614,,Under Votes,2
dallas:4614,,Write-in,1
dallas:4614,DEM,Beto O'Rourke,93
dallas:4614,LIB,Mark Tippetts,1
dallas:4614,REP,Greg Abbott,180
dallas:4615,,Under Votes,1
dallas:4615,DEM,Beto O'Rourke,45
dallas:4615,REP,Greg Abbott,26
dallas:4616,,Write-in,1
dallas:4616,DEM,Beto O'Rourke,275
dallas:4616,GRN,Delilah Barrios,2
dallas:4616,LIB,Mark Tippetts,8
dallas:4616,REP,Greg Abbott,173
dallas:4618,,Under Votes,2
dallas:4618,,Write-in,1
dallas:4618,DEM,Beto O'Rourke,100
dallas:4618,GRN,Delilah Barrios,2
dallas:4618,LIB,Mark Tippetts,1
dallas:4618,REP,Greg Abbott,87
dallas:4619,,Under Votes,3
dallas:4619,DEM,Beto O'Rourke,311
dallas:4619,GRN,Delilah Barrios,4
dallas:4619,LIB,Mark Tippetts,6
dallas:4619,REP,Greg Abbott,371
dallas:4620,,Under Votes,2
dallas:4620,,Write-in,1
dallas:4620,DEM,Beto O'Rourke,357
dallas:4620,GRN,Delilah Barrios,4
dallas:4620,LIB,Mark Tippetts,10
dallas:4620,REP,Greg Abbott,336
dallas:4621,,Under Votes,6
dallas:4621,DEM,Beto O'Rourke,901
dallas:4621,GRN,Delilah Barrios,2
dallas:4621,LIB,Mark Tippetts,14
dallas:4621,REP,Greg Abbott,312
dallas:4622,,Under Votes,5
dallas:4622,,Write-in,3
dallas:4622,DEM,Beto O'Rourke,425
dallas:4622,GRN,Delilah Barrios,3
dallas:4622,LIB,Mark Tippetts,4
dallas:4622,REP,Greg Abbott,361
dallas:4623,,Under Votes,2
dallas:4623,,Write-in,1
dallas:4623,DEM,Beto O'Rourke,560
dallas:4623,GRN,Delilah Barrios,2
dallas:4623,LIB,Mark Tippetts,12
dallas:4623,REP,Greg Abbott,375
dallas:4624,,Under Votes,4
dallas:4624,DEM,Beto O'Rourke,339
dallas:4624,GRN,Delilah Barrios,1
dallas:4624,LIB,Mark Tippetts,14
dallas:4624,REP,Greg Abbott,351
dallas:4625,,Under Votes,4
dallas:4625,DEM,Beto O'Rourke,524
dallas:4625,GRN,Delilah Barrios,4
dallas:4625,LIB,Mark Tippetts,12
dallas:4625,REP,Greg Abbott,520
dallas:4626,,Under Votes,4
dallas:4626,,Write-in,3
dallas:4626,DEM,Beto O'Rourke,658
dallas:4626,GRN,Delilah Barrios,4
dallas:4626,LIB,Mark Tippetts,13
dallas:4626,REP,Greg Abbott,769
dallas:4627,,Under Votes,6
dallas:4627,,Write-in,3
dallas:4627,DEM,Beto O'Rourke,1177
dallas:4627,GRN,Delilah Barrios,2
dallas:4627,LIB,Mark Tippetts,14
dallas:4627,REP,Greg Abbott,790
dallas:4628,,Under Votes,5
dallas:4628,DEM,Beto O'Rourke,400
dallas:4628,GRN,Delilah Barrios,3
dallas:4628,LIB,Mark Tippetts,6
dallas:4628,REP,Greg Abbott,150
dallas:4629,,Under Votes,3
dallas:4629,DEM,Beto O'Rourke,238
dallas:4629,GRN,Delilah Barrios,1
dallas:4629,LIB,Mark Tippetts,2
dallas:4629,REP,Greg Abbott,172
dallas:4630,,Under Votes,3
dallas:4630,,Write-in,1
dallas:4630,DEM,Beto O'Rourke,342
dallas:4630,LIB,Mark Tippetts,4
dallas:4630,REP,Greg Abbott,391
dallas:4630,GRN,Delilah Barrios,1
dallas:4631,,Under Votes,1
dallas:4631,,Write-in,2
