precinct,party,candidate,votes
denton:1002,,Bert Richardson,989
denton:1002,,Elizabeth Davis Frizell,246
denton:1003,,Bert Richardson,1932
denton:1003,,Elizabeth Davis Frizell,535
denton:1005,,Bert Richardson,1505
denton:1005,,Elizabeth Davis Frizell,378
denton:1006,,Bert Richardson,2440
denton:1006,,Elizabeth Davis Frizell,1802
denton:1008,,Bert Richardson,757
denton:1008,,Elizabeth Davis Frizell,239
denton:1010,,Bert Richardson,1231
denton:1010,,Elizabeth Davis Frizell,934
denton:1029,,Bert Richardson,1509
denton:1029,,Elizabeth Davis Frizell,1236
denton:1030,,Bert Richardson,2231
denton:1030,,Elizabeth Davis Frizell,1325
denton:1031,,Bert Richardson,1308
denton:1031,,Elizabeth Davis Frizell,875
denton:1032,,Bert Richardson,2409
denton:1032,,Elizabeth Davis Frizell,1755
denton:1033,,Bert Richardson,1924
denton:1033,,Elizabeth Davis Frizell,1910
denton:1034,,Bert Richardson,2153
denton:1034,,Elizabeth Davis Frizell,1668
denton:1035,,Bert Richardson,1567
denton:1035,,Elizabeth Davis Frizell,840
denton:1036,,Bert Richardson,2945
denton:1036,,Elizabeth Davis Frizell,1278
denton:1037,,Bert Richardson,519
denton:1037,,Elizabeth Davis Frizell,179
denton:1040,,Bert Richardson,1437
denton:1040,,Elizabeth Davis Frizell,787
denton:1041,,Bert Richardson,2230
denton:1041,,Elizabeth Davis Frizell,2180
denton:1042,,Bert Richardson,121
denton:1042,,Elizabeth Davis Frizell,27
denton:1043,,Bert Richardson,471
denton:1043,,Elizabeth Davis Frizell,386
denton:1044,,Bert Richardson,2781
denton:1044,,Elizabeth Davis Frizell,1919
denton:1045,,Bert Richardson,1012
denton:1045,,Elizabeth Davis Frizell,211
denton:1049,,Bert Richardson,335
denton:1049,,Elizabeth Davis Frizell,328
denton:1050,,Bert Richardson,1293
denton:1050,,Elizabeth Davis Frizell,834
denton:1051,,Bert Richardson,1060
denton:1051,,Elizabeth Davis Frizell,643
denton:1052,,Bert Richardson,1681
denton:1052,,Elizabeth Davis Frizell,1413
denton:1053,,Bert Richardson,1679
denton:1053,,Elizabeth Davis Frizell,584
denton:1055,,Bert Richardson,601
denton:1055,,Elizabeth Davis Frizell,586
denton:1056,,Bert Richardson,764
denton:1056,,Elizabeth Davis Frizell,634
denton:2019,,Bert Richardson,0
denton:2019,,Elizabeth Davis Frizell,0
denton:2021,,Bert Richardson,1483
denton:2021,,Elizabeth Davis Frizell,1494
denton:2022,,Bert Richardson,1342
denton:2022,,Elizabeth Davis Frizell,900
denton:2023,,Bert Richardson,1477
denton:2023,,Elizabeth Davis Frizell,1359
denton:2024,,Bert Richardson,847
denton:2024,,Elizabeth Davis Frizell,735
denton:2025,,Bert Richardson,878
denton:2025,,Elizabeth Davis Frizell,715
denton:2026,,Bert Richardson,1625
denton:2026,,Elizabeth Davis Frizell,1113
denton:2027,,Bert Richardson,2249
denton:2027,,Elizabeth Davis Frizell,1394
denton:2099,,Bert Richardson,0
denton:2099,,Elizabeth Davis Frizell,0
