precinct,party,candidate,votes
dallas:1006,,Under Votes,13
dallas:1006,DEM,Luke Warford,539
dallas:1006,GRN,Hunter Wayne Crow,10
dallas:1006,LIB,Jaime Andres Diez,26
dallas:1006,REP,Wayne Christian,624
dallas:1007,,Under Votes,5
dallas:1007,DEM,Luke Warford,114
dallas:1007,GRN,Hunter Wayne Crow,2
dallas:1007,LIB,Jaime Andres Diez,4
dallas:1007,REP,Wayne Christian,170
dallas:1044,,Under Votes,27
dallas:1044,DEM,Luke Warford,861
dallas:1044,GRN,Hunter Wayne Crow,13
dallas:1044,LIB,Jaime Andres Diez,41
dallas:1044,REP,Wayne Christian,879
dallas:1049,,Under Votes,18
dallas:1049,DEM,Luke Warford,609
dallas:1049,GRN,Hunter Wayne Crow,12
dallas:1049,LIB,Jaime Andres Diez,37
dallas:1049,REP,Wayne Christian,514
dallas:1128,,Under Votes,17
dallas:1128,DEM,Luke Warford,179
dallas:1128,GRN,Hunter Wayne Crow,5
dallas:1128,LIB,Jaime Andres Diez,6
dallas:1128,REP,Wayne Christian,294
dallas:1141,,Under Votes,16
dallas:1141,DEM,Luke Warford,333
dallas:1141,GRN,Hunter Wayne Crow,5
dallas:1141,LIB,Jaime Andres Diez,24
dallas:1141,REP,Wayne Christian,436
dallas:1142,,Under Votes,28
dallas:1142,DEM,Luke Warford,720
dallas:1142,GRN,Hunter Wayne Crow,12
dallas:1142,LIB,Jaime Andres Diez,34
dallas:1142,REP,Wayne Christian,1039
dallas:1143,,Under Votes,18
dallas:1143,DEM,Luke Warford,435
dallas:1143,GRN,Hunter Wayne Crow,7
dallas:1143,LIB,Jaime Andres Diez,16
dallas:1143,REP,Wayne Christian,580
dallas:1144,,Under Votes,38
dallas:1144,DEM,Luke Warford,938
dallas:1144,GRN,Hunter Wayne Crow,19
dallas:1144,LIB,Jaime Andres Diez,40
dallas:1144,REP,Wayne Christian,935
dallas:1146,,Under Votes,35
dallas:1146,DEM,Luke Warford,687
dallas:1146,GRN,Hunter Wayne Crow,11
dallas:1146,LIB,Jaime Andres Diez,40
dallas:1146,REP,Wayne Christian,722
dallas:1147,,Under Votes,11
dallas:1147,DEM,Luke Warford,225
dallas:1147,GRN,Hunter Wayne Crow,5
dallas:1147,LIB,Jaime Andres Diez,12
dallas:1147,REP,Wayne Christian,297
dallas:1163,,Under Votes,26
dallas:1163,DEM,Luke Warford,502
dallas:1163,GRN,Hunter Wayne Crow,14
dallas:1163,LIB,Jaime Andres Diez,22
dallas:1163,REP,Wayne Christian,437
dallas:1164,,Under Votes,25
dallas:1164,DEM,Luke Warford,747
dallas:1164,GRN,Hunter Wayne Crow,7
dallas:1164,LIB,Jaime Andres Diez,41
dallas:1164,REP,Wayne Christian,744
dallas:1165,,Under Votes,38
dallas:1165,DEM,Luke Warford,741
dallas:1165,GRN,Hunter Wayne Crow,11
dallas:1165,LIB,Jaime Andres Diez,29
dallas:1165,REP,Wayne Christian,691
dallas:2003,,Under Votes,31
dallas:2003,DEM,Luke Warford,856
dallas:2003,GRN,Hunter Wayne Crow,19
dallas:2003,LIB,Jaime Andres Diez,25
dallas:2003,REP,Wayne Christian,885
dallas:2004,,Under Votes,32
dallas:2004,DEM,Luke Warford,628
dallas:2004,GRN,Hunter Wayne Crow,11
dallas:2004,LIB,Jaime Andres Diez,23
dallas:2004,REP,Wayne Christian,775
dallas:2005,,Under Votes,11
dallas:2005,DEM,Luke Warford,377
dallas:2005,GRN,Hunter Wayne Crow,11
dallas:2005,LIB,Jaime Andres Diez,17
dallas:2005,REP,Wayne Christian,299
dallas:2006,,Under Votes,19
dallas:2006,DEM,Luke Warford,513
dallas:2006,GRN,Hunter Wayne Crow,8
dallas:2006,LIB,Jaime Andres Diez,25
dallas:2006,REP,Wayne Christian,517
dallas:2007,,Under Votes,36
dallas:2007,DEM,Luke Warford,858
dallas:2007,GRN,Hunter Wayne Crow,21
dallas:2007,LIB,Jaime Andres Diez,33
dallas:2007,REP,Wayne Christian,1195
dallas:2008,,Under Votes,19
dallas:2008,DEM,Luke Warford,409
