precinct,party,candidate,votes
bosque:1,DEM,"Mary ""MJ"" Hegar",58
bosque:1,GRN,David B. Collins,3
bosque:1,LIB,Kerry Douglas McKennon,7
bosque:1,REP,John Cornyn,486
bosque:10,DEM,"Mary ""MJ"" Hegar",199
bosque:10,GRN,David B. Collins,5
bosque:10,LIB,Kerry Douglas McKennon,12
bosque:10,REP,John Cornyn,837
bosque:11,DEM,"Mary ""MJ"" Hegar",98
bosque:11,GRN,David B. Collins,4
bosque:11,LIB,Kerry Douglas McKennon,10
bosque:11,REP,John Cornyn,537
bosque:2,DEM,"Mary ""MJ"" Hegar",104
bosque:2,GRN,David B. Collins,3
bosque:2,LIB,Kerry Douglas McKennon,10
bosque:2,REP,John Cornyn,492
bosque:3,DEM,"Mary ""MJ"" Hegar",109
bosque:3,GRN,David B. Collins,5
bosque:3,LIB,Kerry Douglas McKennon,8
bosque:3,REP,John Cornyn,683
bosque:4,DEM,"Mary ""MJ"" Hegar",47
bosque:4,GRN,David B. Collins,6
bosque:4,LIB,Kerry Douglas McKennon,9
bosque:4,REP,John Cornyn,335
bosque:5,DEM,"Mary ""MJ"" Hegar",232
bosque:5,GRN,David B. Collins,11
bosque:5,LIB,Kerry Douglas McKennon,14
bosque:5,REP,John Cornyn,964
bosque:6,DEM,"Mary ""MJ"" Hegar",165
bosque:6,GRN,David B. Collins,2
bosque:6,LIB,Kerry Douglas McKennon,16
bosque:6,REP,John Cornyn,758
bosque:7,DEM,"Mary ""MJ"" Hegar",75
bosque:7,GRN,David B. Collins,5
bosque:7,LIB,Kerry Douglas McKennon,6
bosque:7,REP,John Cornyn,445
bosque:8,DEM,"Mary ""MJ"" Hegar",298
bosque:8,GRN,David B. Collins,14
bosque:8,LIB,Kerry Douglas McKennon,24
bosque:8,REP,John Cornyn,1306
bosque:9,DEM,"Mary ""MJ"" Hegar",105
bosque:9,GRN,David B. Collins,2
bosque:9,LIB,Kerry Douglas McKennon,5
bosque:9,REP,John Cornyn,524
freestone:1,,Write-in,1
freestone:1,DEM,"Mary ""MJ"" Hegar",270
freestone:1,GRN,David B. Collins,14
freestone:1,LIB,Kerry Douglas McKennon,26
freestone:1,REP,John Cornyn,1822
freestone:10,,Write-in,1
freestone:10,DEM,"Mary ""MJ"" Hegar",19
freestone:10,GRN,David B. Collins,1
freestone:10,LIB,Kerry Douglas McKennon,6
freestone:10,REP,John Cornyn,218
freestone:11,,Write-in,1
freestone:11,DEM,"Mary ""MJ"" Hegar",168
