precinct,party,candidate,votes
harris:128,,Over Votes,0
harris:128,,Under Votes,65
harris:128,DEM,Ann Johnson,895
harris:128,REP,Sarah Davis,1118
harris:133,,Over Votes,0
harris:133,,Under Votes,72
harris:133,DEM,Ann Johnson,1061
harris:133,REP,Sarah Davis,1283
harris:135,,Over Votes,0
harris:135,,Under Votes,88
harris:135,DEM,Ann Johnson,1072
harris:135,REP,Sarah Davis,1701
harris:139,,Over Votes,0
harris:139,,Under Votes,130
harris:139,DEM,Ann Johnson,1810
harris:139,REP,Sarah Davis,1342
harris:148,,Over Votes,0
harris:148,,Under Votes,72
harris:148,DEM,Ann Johnson,1320
harris:148,REP,Sarah Davis,769
harris:15,,Over Votes,0
harris:15,,Under Votes,69
harris:15,DEM,Ann Johnson,1197
harris:15,REP,Sarah Davis,1376
harris:175,,Over Votes,0
harris:175,,Under Votes,69
harris:175,DEM,Ann Johnson,1112
harris:175,REP,Sarah Davis,1050
harris:176,,Over Votes,0
harris:176,,Under Votes,52
harris:176,DEM,Ann Johnson,549
harris:176,REP,Sarah Davis,538
harris:177,,Over Votes,0
harris:177,,Under Votes,55
harris:177,DEM,Ann Johnson,805
harris:177,REP,Sarah Davis,733
harris:178,,Over Votes,0
harris:178,,Under Votes,41
harris:178,DEM,Ann Johnson,650
harris:178,REP,Sarah Davis,1040
harris:18,,Over Votes,0
harris:18,,Under Votes,47
harris:18,DEM,Ann Johnson,633
harris:18,REP,Sarah Davis,531
harris:182,,Over Votes,0
harris:182,,Under Votes,107
harris:182,DEM,Ann Johnson,1713
harris:182,REP,Sarah Davis,1652
harris:183,,Over Votes,0
harris:183,,Under Votes,58
harris:183,DEM,Ann Johnson,864
harris:183,REP,Sarah Davis,1319
harris:200,,Over Votes,0
harris:200,,Under Votes,103
harris:200,DEM,Ann Johnson,1892
harris:200,REP,Sarah Davis,1389
harris:204,,Over Votes,0
harris:204,,Under Votes,87
harris:204,DEM,Ann Johnson,1478
harris:204,REP,Sarah Davis,1516
harris:214,,Over Votes,0
harris:214,,Under Votes,54
harris:214,DEM,Ann Johnson,740
harris:214,REP,Sarah Davis,870
harris:215,,Over Votes,0
harris:215,,Under Votes,54
harris:215,DEM,Ann Johnson,942
harris:215,REP,Sarah Davis,1043
harris:217,,Over Votes,0
harris:217,,Under Votes,70
harris:217,DEM,Ann Johnson,977
harris:217,REP,Sarah Davis,1361
harris:222,,Over Votes,0
harris:222,,Under Votes,82
harris:222,DEM,Ann Johnson,1290
harris:222,REP,Sarah Davis,1074
harris:224,,Over Votes,0
harris:224,,Under Votes,69
harris:224,DEM,Ann Johnson,1244
harris:224,REP,Sarah Davis,836
harris:227,,Over Votes,0
harris:227,,Under Votes,49
harris:227,DEM,Ann Johnson,441
harris:227,REP,Sarah Davis,997
harris:232,,Over Votes,0
harris:232,,Under Votes,43
harris:232,DEM,Ann Johnson,740
harris:232,REP,Sarah Davis,823
harris:233,,Over Votes,0
harris:233,,Under Votes,144
harris:233,DEM,Ann Johnson,2708
harris:233,REP,Sarah Davis,1757
harris:268,,Over Votes,0
harris:268,,Under Votes,54
harris:268,DEM,Ann Johnson,972
harris:268,REP,Sarah Davis,1083
harris:281,,Over Votes,0
harris:281,,Under Votes,68
harris:281,DEM,Ann Johnson,980
harris:281,REP,Sarah Davis,873
harris:316,,Over Votes,0
harris:316,,Under Votes,29
harris:316,DEM,Ann Johnson,623
harris:316,REP,Sarah Davis,595
harris:317,,Over Votes,0
harris:317,,Under Votes,30
harris:317,DEM,Ann Johnson,687
harris:317,REP,Sarah Davis,203
harris:350,,Over Votes,0
harris:350,,Under Votes,104
harris:350,DEM,Ann Johnson,1629
harris:350,REP,Sarah Davis,764
harris:360,,Over Votes,0
harris:360,,Under Votes,99
harris:360,DEM,Ann Johnson,1664
harris:360,REP,Sarah Davis,1229
harris:361,,Over Votes,0
harris:361,,Under Votes,54
harris:361,DEM,Ann Johnson,985
harris:361,REP,Sarah Davis,139
harris:38,,Over Votes,1
harris:38,,Under Votes,60
harris:38,DEM,Ann Johnson,1731
harris:38,REP,Sarah Davis,822
harris:434,,Over Votes,0
harris:434,,Under Votes,44
harris:434,DEM,Ann Johnson,592
harris:434,REP,Sarah Davis,684
harris:472,,Over Votes,0
harris:472,,Under Votes,42
harris:472,DEM,Ann Johnson,541
harris:472,REP,Sarah Davis,346
harris:52,,Over Votes,0
harris:52,,Under Votes,91
harris:52,DEM,Ann Johnson,1341
harris:52,REP,Sarah Davis,945
harris:540,,Over Votes,0
harris:540,,Under Votes,82
harris:540,DEM,Ann Johnson,1346
harris:540,REP,Sarah Davis,635
harris:569,,Over Votes,0
harris:569,,Under Votes,128
harris:569,DEM,Ann Johnson,1914
harris:569,REP,Sarah Davis,1487
harris:570,,Over Votes,0
harris:570,,Under Votes,39
harris:570,DEM,Ann Johnson,774
harris:570,REP,Sarah Davis,350
harris:632,,Over Votes,0
harris:632,,Under Votes,2
harris:632,DEM,Ann Johnson,2
harris:632,REP,Sarah Davis,0
harris:70,,Over Votes,0
harris:70,,Under Votes,112
harris:70,DEM,Ann Johnson,1640
harris:70,REP,Sarah Davis,1904
harris:71,,Over Votes,0
harris:71,,Under Votes,183
harris:71,DEM,Ann Johnson,2816
harris:71,REP,Sarah Davis,2461
harris:710,,Over Votes,0
harris:710,,Under Votes,64
harris:710,DEM,Ann Johnson,980
harris:710,REP,Sarah Davis,968
harris:826,,Over Votes,0
harris:826,,Under Votes,14
harris:826,DEM,Ann Johnson,165
harris:826,REP,Sarah Davis,138
harris:830,,Over Votes,0
harris:830,,Under Votes,4
harris:830,DEM,Ann Johnson,56
harris:830,REP,Sarah Davis,21
harris:837,,Over Votes,0
harris:837,,Under Votes,5
harris:837,DEM,Ann Johnson,39
harris:837,REP,Sarah Davis,32
harris:87,,Over Votes,0
harris:87,,Under Votes,73
harris:87,DEM,Ann Johnson,1007
harris:87,REP,Sarah Davis,1373
harris:886,,Over Votes,0
harris:886,,Under Votes,28
harris:886,DEM,Ann Johnson,389
harris:886,REP,Sarah Davis,306
harris:89,,Over Votes,0
harris:89,,Under Votes,29
harris:89,DEM,Ann Johnson,504
harris:89,REP,Sarah Davis,588
harris:895,,Over Votes,0
harris:895,,Under Votes,19
harris:895,DEM,Ann Johnson,409
harris:895,REP,Sarah Davis,306
harris:896,,Over Votes,0
harris:896,,Under Votes,45
harris:896,DEM,Ann Johnson,897
harris:896,REP,Sarah Davis,489
harris:902,,Over Votes,0
harris:902,,Under Votes,92
harris:902,DEM,Ann Johnson,1328
harris:902,REP,Sarah Davis,1235
harris:906,,Over Votes,0
harris:906,,Under Votes,0
harris:906,DEM,Ann Johnson,10
harris:906,REP,Sarah Davis,19
harris:931,,Over Votes,0
harris:931,,Under Votes,7
harris:931,DEM,Ann Johnson,47
harris:931,REP,Sarah Davis,50
harris:932,,Over Votes,0
harris:932,,Under Votes,0
harris:932,DEM,Ann Johnson,0
harris:932,REP,Sarah Davis,0
harris:933,,Over Votes,0
harris:933,,Under Votes,14
harris:933,DEM,Ann Johnson,389
harris:933,REP,Sarah Davis,161
harris:956,,Over Votes,0
harris:956,,Under Votes,0
harris:956,DEM,Ann Johnson,0
harris:956,REP,Sarah Davis,0
