precinct,registered,ballots_cast,blank
brazos:10,4017,,
brazos:100,1,,
brazos:101,49,,
brazos:102,0,,
brazos:103,0,,
brazos:11,3148,,
brazos:12,4324,,
brazos:13,2363,,
brazos:14,2842,,
brazos:15,3188,,
brazos:16,1412,,
brazos:17,3332,,
brazos:20,3682,,
brazos:21,1477,,
brazos:22,425,,
brazos:23,83,,
brazos:24,2295,,
brazos:26,3410,,
brazos:29,846,,
brazos:3,1008,,
brazos:30,2476,,
brazos:31,4677,,
brazos:32,2,,
brazos:33,1599,,
brazos:34,4844,,
brazos:35,7197,,
brazos:36,4111,,
brazos:37,162,,
brazos:39,4699,,
brazos:40,4950,,
brazos:41,4758,,
brazos:43,47,,
brazos:47,471,,
brazos:48,230,,
brazos:49,346,,
brazos:5,1793,,
brazos:50,2,,
brazos:51,0,,
brazos:52,16,,
brazos:57,324,,
brazos:58,889,,
brazos:60,92,,
brazos:61,55,,
brazos:63,5213,,
brazos:65,212,,
brazos:67,353,,
brazos:69,5156,,
brazos:70,1190,,
brazos:71,118,,
brazos:72,40,,
brazos:74,312,,
brazos:77,546,,
brazos:78,231,,
brazos:8,1767,,
brazos:80,3700,,
brazos:83,0,,
brazos:86,0,,
brazos:9,1537,,
brazos:90,29,,
brazos:91,9,,
brazos:92,0,,
brazos:93,0,,
brazos:94,0,,
brazos:95,0,,
brazos:96,1,,
brazos:97,0,,
brazos:98,4,,
brazos:99,2,,
