precinct,registered,ballots_cast,blank
harris:101,951,379,
harris:104,1845,1161,
harris:106,326,145,
harris:108,3846,2225,
harris:150,1570,880,
harris:151,820,428,
harris:168,494,253,
harris:205,1742,1029,
harris:230,1090,535,
harris:252,2188,1258,
harris:283,7914,4712,
harris:334,1011,525,
harris:342,1135,597,
harris:35,20,7,
harris:358,2852,1452,
harris:371,498,281,
harris:396,2059,1323,
harris:401,2037,1068,
harris:410,980,569,
harris:449,214,110,
harris:454,2426,1354,
harris:457,0,0,
harris:497,2190,1269,
harris:520,5515,2949,
harris:550,3358,1882,
harris:574,408,198,
harris:583,1275,655,
harris:584,1053,537,
harris:585,2409,1248,
harris:611,2476,1327,
harris:629,781,335,
harris:656,2700,1535,
harris:657,1786,1192,
harris:7,955,532,
harris:705,1540,620,
harris:729,485,354,
harris:733,373,167,
harris:737,47,24,
harris:738,1533,795,
harris:743,262,118,
harris:767,96,56,
harris:783,816,544,
harris:784,1029,559,
harris:794,3206,1210,
harris:832,394,213,
harris:834,403,244,
harris:840,1912,1265,
harris:883,6111,3640,
harris:894,2752,1603,
harris:934,56,26,
harris:936,94,58,
harris:958,1281,777,
harris:970,919,402,
harris:997,2015,909,
