precinct,party,candidate,votes
bastrop:1001,,OVER VOTES,0
bastrop:1001,,UNDER VOTES,7
bastrop:1001,,Write-in,0
bastrop:1001,DEM,Jay Kleberg,78
bastrop:1001,GRN,"Alfred Molison, Jr.",4
bastrop:1001,REP,Dawn Buckingham,157
bastrop:1002,,OVER VOTES,0
bastrop:1002,,UNDER VOTES,12
bastrop:1002,,Write-in,1
bastrop:1002,DEM,Jay Kleberg,199
bastrop:1002,GRN,"Alfred Molison, Jr.",6
bastrop:1002,REP,Dawn Buckingham,262
bastrop:1003,,OVER VOTES,0
bastrop:1003,,UNDER VOTES,39
bastrop:1003,,Write-in,1
bastrop:1003,DEM,Jay Kleberg,574
bastrop:1003,GRN,"Alfred Molison, Jr.",27
bastrop:1003,REP,Dawn Buckingham,966
bastrop:1004,,OVER VOTES,0
bastrop:1004,,UNDER VOTES,33
bastrop:1004,,Write-in,1
bastrop:1004,DEM,Jay Kleberg,654
bastrop:1004,GRN,"Alfred Molison, Jr.",27
bastrop:1004,REP,Dawn Buckingham,512
bastrop:1005,,OVER VOTES,0
bastrop:1005,,UNDER VOTES,11
bastrop:1005,,Write-in,0
bastrop:1005,DEM,Jay Kleberg,240
bastrop:1005,GRN,"Alfred Molison, Jr.",14
bastrop:1005,REP,Dawn Buckingham,392
bastrop:1006,,OVER VOTES,0
bastrop:1006,,UNDER VOTES,30
bastrop:1006,,Write-in,2
bastrop:1006,DEM,Jay Kleberg,433
bastrop:1006,GRN,"Alfred Molison, Jr.",26
bastrop:1006,REP,Dawn Buckingham,535
bastrop:1007,,OVER VOTES,0
bastrop:1007,,UNDER VOTES,32
bastrop:1007,,Write-in,0
bastrop:1007,DEM,Jay Kleberg,588
bastrop:1007,GRN,"Alfred Molison, Jr.",20
bastrop:1007,REP,Dawn Buckingham,848
bastrop:1008,,OVER VOTES,0
bastrop:1008,,UNDER VOTES,18
bastrop:1008,,Write-in,1
bastrop:1008,DEM,Jay Kleberg,411
bastrop:1008,GRN,"Alfred Molison, Jr.",19
bastrop:1008,REP,Dawn Buckingham,437
bastrop:1009,,OVER VOTES,0
bastrop:1009,,UNDER VOTES,14
bastrop:1009,,Write-in,0
bastrop:1009,DEM,Jay Kleberg,453
bastrop:1009,GRN,"Alfred Molison, Jr.",30
bastrop:1009,REP,Dawn Buckingham,566
bastrop:2010,,OVER VOTES,0
bastrop:2010,,UNDER VOTES,6
bastrop:2010,,Write-in,1
bastrop:2010,DEM,Jay Kleberg,147
bastrop:2010,GRN,"Alfred Molison, Jr.",5
bastrop:2010,REP,Dawn Buckingham,158
bastrop:2011,,OVER VOTES,0
bastrop:2011,,UNDER VOTES,28
bastrop:2011,,Write-in,0
bastrop:2011,DEM,Jay Kleberg,517
bastrop:2011,GRN,"Alfred Molison, Jr.",29
bastrop:2011,REP,Dawn Buckingham,629
bastrop:2012,,OVER VOTES,0
bastrop:2012,,UNDER VOTES,24
bastrop:2012,,Write-in,1
bastrop:2012,DEM,Jay Kleberg,286
bastrop:2012,GRN,"Alfred Molison, Jr.",14
bastrop:2012,REP,Dawn Buckingham,700
bastrop:2013,,OVER VOTES,0
bastrop:2013,,UNDER VOTES,34
bastrop:2013,,Write-in,1
bastrop:2013,DEM,Jay Kleberg,630
bastrop:2013,GRN,"Alfred Molison, Jr.",28
bastrop:2013,REP,Dawn Buckingham,1089
bastrop:2014,,OVER VOTES,0
bastrop:2014,,UNDER VOTES,27
bastrop:2014,,Write-in,3
bastrop:2014,DEM,Jay Kleberg,509
bastrop:2014,GRN,"Alfred Molison, Jr.",24
bastrop:2014,REP,Dawn Buckingham,1182
bastrop:2015,,OVER VOTES,0
bastrop:2015,,UNDER VOTES,48
bastrop:2015,,Write-in,0
bastrop:2015,DEM,Jay Kleberg,610
bastrop:2015,GRN,"Alfred Molison, Jr.",27
bastrop:2015,REP,Dawn Buckingham,1009
bastrop:2016,,OVER VOTES,0
bastrop:2016,,UNDER VOTES,31
bastrop:2016,,Write-in,1
bastrop:2016,DEM,Jay Kleberg,399
bastrop:2016,GRN,"Alfred Molison, Jr.",20
bastrop:2016,REP,Dawn Buckingham,1202
bastrop:3017,,OVER VOTES,0
bastrop:3017,,UNDER VOTES,30
bastrop:3017,,Write-in,4
bastrop:3017,DEM,Jay Kleberg,501
bastrop:3017,GRN,"Alfred Molison, Jr.",16
bastrop:3017,REP,Dawn Buckingham,919
bastrop:3018,,OVER VOTES,0
bastrop:3018,,UNDER VOTES,19
bastrop:3018,,Write-in,1
bastrop:3018,DEM,Jay Kleberg,261
bastrop:3018,GRN,"Alfred Molison, Jr.",16
bastrop:3018,REP,Dawn Buckingham,689
bastrop:3019,,OVER VOTES,0
bastrop:3019,,UNDER VOTES,20
bastrop:3019,,Write-in,1
bastrop:3019,DEM,Jay Kleberg,499
bastrop:3019,GRN,"Alfred Molison, Jr.",28
bastrop:3019,REP,Dawn Buckingham,600
bastrop:3020,,OVER VOTES,0
bastrop:3020,,UNDER VOTES,28
bastrop:3020,,Write-in,2
bastrop:3020,DEM,Jay Kleberg,657
bastrop:3020,GRN,"Alfred Molison, Jr.",25
bastrop:3020,REP,Dawn Buckingham,469
bastrop:4021,,OVER VOTES,0
bastrop:4021,,UNDER VOTES,30
bastrop:4021,,Write-in,1
bastrop:4021,DEM,Jay Kleberg,580
bastrop:4021,GRN,"Alfred Molison, Jr.",28
bastrop:4021,REP,Dawn Buckingham,761
bastrop:4022,,OVER VOTES,0
bastrop:4022,,UNDER VOTES,29
bastrop:4022,,Write-in,0
bastrop:4022,DEM,Jay Kleberg,481
bastrop:4022,GRN,"Alfred Molison, Jr.",21
bastrop:4022,REP,Dawn Buckingham,742
bastrop:4023,,OVER VOTES,0
bastrop:4023,,UNDER VOTES,9
bastrop:4023,,Write-in,1
bastrop:4023,DEM,Jay Kleberg,222
bastrop:4023,GRN,"Alfred Molison, Jr.",12
bastrop:4023,REP,Dawn Buckingham,538
bastrop:4024,,OVER VOTES,0
bastrop:4024,,UNDER VOTES,24
bastrop:4024,,Write-in,0
bastrop:4024,DEM,Jay Kleberg,297
bastrop:4024,GRN,"Alfred Molison, Jr.",8
bastrop:4024,REP,Dawn Buckingham,515
bastrop:4025,,OVER VOTES,0
bastrop:4025,,UNDER VOTES,28
bastrop:4025,,Write-in,3
bastrop:4025,DEM,Jay Kleberg,639
bastrop:4025,GRN,"Alfred Molison, Jr.",19
bastrop:4025,REP,Dawn Buckingham,356
bastrop:4026,,OVER VOTES,0
bastrop:4026,,UNDER VOTES,31
bastrop:4026,,Write-in,4
bastrop:4026,DEM,Jay Kleberg,611
bastrop:4026,GRN,"Alfred Molison, Jr.",33
bastrop:4026,REP,Dawn Buckingham,456
caldwell:100,DEM,Jay Kleberg,188
caldwell:100,GRN,"Alfred Molison, Jr.",6
caldwell:100,REP,Dawn Buckingham,121
caldwell:101,DEM,Jay Kleberg,202
caldwell:101,GRN,"Alfred Molison, Jr.",6
caldwell:101,REP,Dawn Buckingham,162
caldwell:102,DEM,Jay Kleberg,118
caldwell:102,GRN,"Alfred Molison, Jr.",3
caldwell:102,REP,Dawn Buckingham,283
caldwell:103,DEM,Jay Kleberg,729
caldwell:103,GRN,"Alfred Molison, Jr.",23
caldwell:103,REP,Dawn Buckingham,701
caldwell:104,DEM,Jay Kleberg,91
caldwell:104,GRN,"Alfred Molison, Jr.",4
caldwell:104,REP,Dawn Buckingham,252
caldwell:108,DEM,Jay Kleberg,177
caldwell:108,GRN,"Alfred Molison, Jr.",9
caldwell:108,REP,Dawn Buckingham,168
caldwell:111,DEM,Jay Kleberg,274
caldwell:111,GRN,"Alfred Molison, Jr.",18
caldwell:111,REP,Dawn Buckingham,276
caldwell:201,DEM,Jay Kleberg,162
caldwell:201,GRN,"Alfred Molison, Jr.",8
caldwell:201,REP,Dawn Buckingham,276
caldwell:202,DEM,Jay Kleberg,154
caldwell:202,GRN,"Alfred Molison, Jr.",6
caldwell:202,REP,Dawn Buckingham,405
caldwell:203,DEM,Jay Kleberg,126
caldwell:203,GRN,"Alfred Molison, Jr.",9
caldwell:203,REP,Dawn Buckingham,524
caldwell:204,DEM,Jay Kleberg,176
caldwell:204,GRN,"Alfred Molison, Jr.",8
caldwell:204,REP,Dawn Buckingham,592
caldwell:205,DEM,Jay Kleberg,32
caldwell:205,GRN,"Alfred Molison, Jr.",3
caldwell:205,REP,Dawn Buckingham,184
caldwell:206,DEM,Jay Kleberg,139
caldwell:206,GRN,"Alfred Molison, Jr.",10
caldwell:206,REP,Dawn Buckingham,310
caldwell:300,DEM,Jay Kleberg,84
caldwell:300,GRN,"Alfred Molison, Jr.",3
