precinct,party,candidate,votes
bastrop:1001,,OVER VOTES,0
bastrop:1001,,UNDER VOTES,5
bastrop:1001,DEM,Madeline Eden,83
bastrop:1001,IND,IND Linda Curtis,10
bastrop:1001,REP,Stan Gerdes,148
bastrop:1002,,OVER VOTES,0
bastrop:1002,,UNDER VOTES,11
bastrop:1002,DEM,Madeline Eden,203
bastrop:1002,IND,IND Linda Curtis,15
bastrop:1002,REP,Stan Gerdes,251
bastrop:1003,,OVER VOTES,0
bastrop:1003,,UNDER VOTES,32
bastrop:1003,DEM,Madeline Eden,581
bastrop:1003,IND,IND Linda Curtis,52
bastrop:1003,REP,Stan Gerdes,942
bastrop:1004,,OVER VOTES,0
bastrop:1004,,UNDER VOTES,44
bastrop:1004,DEM,Madeline Eden,627
bastrop:1004,IND,IND Linda Curtis,82
bastrop:1004,REP,Stan Gerdes,474
bastrop:1005,,OVER VOTES,0
bastrop:1005,,UNDER VOTES,9
bastrop:1005,DEM,Madeline Eden,242
bastrop:1005,IND,IND Linda Curtis,24
bastrop:1005,REP,Stan Gerdes,382
bastrop:1006,,OVER VOTES,0
bastrop:1006,,UNDER VOTES,30
bastrop:1006,DEM,Madeline Eden,434
bastrop:1006,IND,IND Linda Curtis,51
bastrop:1006,REP,Stan Gerdes,511
bastrop:1007,,OVER VOTES,0
bastrop:1007,,UNDER VOTES,51
bastrop:1007,DEM,Madeline Eden,569
bastrop:1007,IND,IND Linda Curtis,67
bastrop:1007,REP,Stan Gerdes,801
bastrop:1008,,OVER VOTES,0
bastrop:1008,,UNDER VOTES,24
bastrop:1008,DEM,Madeline Eden,405
bastrop:1008,IND,IND Linda Curtis,40
bastrop:1008,REP,Stan Gerdes,417
bastrop:1009,,OVER VOTES,0
bastrop:1009,,UNDER VOTES,16
bastrop:1009,DEM,Madeline Eden,434
bastrop:1009,IND,IND Linda Curtis,53
bastrop:1009,REP,Stan Gerdes,560
bastrop:2010,,OVER VOTES,0
bastrop:2010,,UNDER VOTES,7
bastrop:2010,DEM,Madeline Eden,149
bastrop:2010,IND,IND Linda Curtis,14
bastrop:2010,REP,Stan Gerdes,147
bastrop:2011,,OVER VOTES,0
bastrop:2011,,UNDER VOTES,36
bastrop:2011,DEM,Madeline Eden,515
bastrop:2011,IND,IND Linda Curtis,53
bastrop:2011,REP,Stan Gerdes,599
bastrop:2012,,OVER VOTES,0
bastrop:2012,,UNDER VOTES,15
bastrop:2012,DEM,Madeline Eden,281
bastrop:2012,IND,IND Linda Curtis,36
bastrop:2012,REP,Stan Gerdes,693
bastrop:2013,,OVER VOTES,0
bastrop:2013,,UNDER VOTES,32
bastrop:2013,DEM,Madeline Eden,607
bastrop:2013,IND,IND Linda Curtis,114
bastrop:2013,REP,Stan Gerdes,1029
bastrop:2014,,OVER VOTES,0
bastrop:2014,,UNDER VOTES,27
bastrop:2014,DEM,Madeline Eden,499
bastrop:2014,IND,IND Linda Curtis,76
bastrop:2014,REP,Stan Gerdes,1143
bastrop:2015,,OVER VOTES,0
bastrop:2015,,UNDER VOTES,29
bastrop:2015,DEM,Madeline Eden,587
bastrop:2015,IND,IND Linda Curtis,58
bastrop:2015,REP,Stan Gerdes,1020
bastrop:2016,,OVER VOTES,0
bastrop:2016,,UNDER VOTES,41
bastrop:2016,DEM,Madeline Eden,391
bastrop:2016,IND,IND Linda Curtis,68
bastrop:2016,REP,Stan Gerdes,1153
bastrop:3017,,OVER VOTES,0
bastrop:3017,,UNDER VOTES,32
bastrop:3017,DEM,Madeline Eden,473
bastrop:3017,IND,IND Linda Curtis,77
bastrop:3017,REP,Stan Gerdes,888
bastrop:3018,,OVER VOTES,0
bastrop:3018,,UNDER VOTES,17
bastrop:3018,DEM,Madeline Eden,252
bastrop:3018,IND,IND Linda Curtis,39
bastrop:3018,REP,Stan Gerdes,678
bastrop:3019,,OVER VOTES,0
bastrop:3019,,UNDER VOTES,27
bastrop:3019,DEM,Madeline Eden,486
bastrop:3019,IND,IND Linda Curtis,45
bastrop:3019,REP,Stan Gerdes,590
bastrop:3020,,OVER VOTES,0
bastrop:3020,,UNDER VOTES,32
bastrop:3020,DEM,Madeline Eden,633
bastrop:3020,IND,IND Linda Curtis,50
bastrop:3020,REP,Stan Gerdes,466
bastrop:4021,,OVER VOTES,0
bastrop:4021,,UNDER VOTES,21
bastrop:4021,DEM,Madeline Eden,583
bastrop:4021,IND,IND Linda Curtis,63
bastrop:4021,REP,Stan Gerdes,733
bastrop:4022,,OVER VOTES,1
bastrop:4022,,UNDER VOTES,25
bastrop:4022,DEM,Madeline Eden,469
bastrop:4022,IND,IND Linda Curtis,57
bastrop:4022,REP,Stan Gerdes,721
bastrop:4023,,OVER VOTES,0
bastrop:4023,,UNDER VOTES,11
bastrop:4023,DEM,Madeline Eden,205
bastrop:4023,IND,IND Linda Curtis,53
bastrop:4023,REP,Stan Gerdes,513
bastrop:4024,,OVER VOTES,0
bastrop:4024,,UNDER VOTES,20
bastrop:4024,DEM,Madeline Eden,281
bastrop:4024,IND,IND Linda Curtis,25
bastrop:4024,REP,Stan Gerdes,518
bastrop:4025,,OVER VOTES,0
bastrop:4025,,UNDER VOTES,35
bastrop:4025,DEM,Madeline Eden,618
bastrop:4025,IND,IND Linda Curtis,51
bastrop:4025,REP,Stan Gerdes,341
bastrop:4026,,OVER VOTES,0
bastrop:4026,,UNDER VOTES,30
bastrop:4026,DEM,Madeline Eden,607
bastrop:4026,IND,IND Linda Curtis,53
bastrop:4026,REP,Stan Gerdes,445
caldwell:100,DEM,Madeline Eden,190
caldwell:100,IND,Linda Curtis,13
caldwell:100,REP,Stan Gerdes,114
caldwell:101,DEM,Madeline Eden,201
caldwell:101,IND,Linda Curtis,7
caldwell:101,REP,Stan Gerdes,160
caldwell:102,DEM,Madeline Eden,123
caldwell:102,IND,Linda Curtis,5
caldwell:102,REP,Stan Gerdes,277
caldwell:103,DEM,Madeline Eden,730
caldwell:103,IND,Linda Curtis,39
caldwell:103,REP,Stan Gerdes,682
caldwell:104,DEM,Madeline Eden,94
caldwell:104,IND,Linda Curtis,12
caldwell:104,REP,Stan Gerdes,241
caldwell:108,DEM,Madeline Eden,182
caldwell:108,IND,Linda Curtis,14
caldwell:108,REP,Stan Gerdes,158
caldwell:111,DEM,Madeline Eden,278
caldwell:111,IND,Linda Curtis,20
caldwell:111,REP,Stan Gerdes,271
caldwell:201,DEM,Madeline Eden,160
caldwell:201,IND,Linda Curtis,9
caldwell:201,REP,Stan Gerdes,282
caldwell:202,DEM,Madeline Eden,145
caldwell:202,IND,Linda Curtis,16
caldwell:202,REP,Stan Gerdes,411
caldwell:203,DEM,Madeline Eden,134
caldwell:203,IND,Linda Curtis,15
caldwell:203,REP,Stan Gerdes,510
caldwell:204,DEM,Madeline Eden,180
caldwell:204,IND,Linda Curtis,18
caldwell:204,REP,Stan Gerdes,579
caldwell:205,DEM,Madeline Eden,30
caldwell:205,IND,Linda Curtis,4
caldwell:205,REP,Stan Gerdes,185
caldwell:206,DEM,Madeline Eden,143
caldwell:206,IND,Linda Curtis,8
caldwell:206,REP,Stan Gerdes,305
caldwell:300,DEM,Madeline Eden,84
