precinct,party,candidate,votes
brazoria:11,DEM,Susan Hays,724
brazoria:11,REP,Sid Miller,1082
brazoria:12,DEM,Susan Hays,648
brazoria:12,REP,Sid Miller,1072
brazoria:13,DEM,Susan Hays,923
brazoria:13,REP,Sid Miller,1379
brazoria:16,DEM,Susan Hays,195
brazoria:16,REP,Sid Miller,591
brazoria:18,DEM,Susan Hays,772
brazoria:18,REP,Sid Miller,1814
brazoria:24,DEM,Susan Hays,138
brazoria:24,REP,Sid Miller,602
brazoria:25,DEM,Susan Hays,148
brazoria:25,REP,Sid Miller,636
brazoria:26,DEM,Susan Hays,878
brazoria:26,REP,Sid Miller,1045
brazoria:27,DEM,Susan Hays,667
brazoria:27,REP,Sid Miller,766
brazoria:28,DEM,Susan Hays,820
brazoria:28,REP,Sid Miller,1234
brazoria:29,DEM,Susan Hays,1084
brazoria:29,REP,Sid Miller,729
brazoria:3,DEM,Susan Hays,504
brazoria:3,REP,Sid Miller,1508
brazoria:34,DEM,Susan Hays,574
brazoria:34,REP,Sid Miller,2120
brazoria:35,DEM,Susan Hays,153
brazoria:35,REP,Sid Miller,794
brazoria:36,DEM,Susan Hays,158
brazoria:36,REP,Sid Miller,393
brazoria:37,DEM,Susan Hays,750
brazoria:37,REP,Sid Miller,1185
brazoria:39,DEM,Susan Hays,420
brazoria:39,REP,Sid Miller,1030
brazoria:40,DEM,Susan Hays,232
brazoria:40,REP,Sid Miller,927
brazoria:41,DEM,Susan Hays,663
brazoria:41,REP,Sid Miller,488
brazoria:44,DEM,Susan Hays,1315
brazoria:44,REP,Sid Miller,955
brazoria:46,DEM,Susan Hays,821
brazoria:46,REP,Sid Miller,1591
brazoria:47,DEM,Susan Hays,516
brazoria:47,REP,Sid Miller,813
brazoria:51,DEM,Susan Hays,497
brazoria:51,REP,Sid Miller,1402
brazoria:52,DEM,Susan Hays,473
brazoria:52,REP,Sid Miller,1113
brazoria:54,DEM,Susan Hays,1004
brazoria:54,REP,Sid Miller,553
brazoria:57,DEM,Susan Hays,132
brazoria:57,REP,Sid Miller,485
brazoria:58,DEM,Susan Hays,1094
brazoria:58,REP,Sid Miller,706
brazoria:6,DEM,Susan Hays,84
brazoria:6,REP,Sid Miller,774
brazoria:60,DEM,Susan Hays,1281
brazoria:60,REP,Sid Miller,1282
brazoria:61,DEM,Susan Hays,102
brazoria:61,REP,Sid Miller,411
brazoria:62,DEM,Susan Hays,1134
brazoria:62,REP,Sid Miller,828
brazoria:65,DEM,Susan Hays,863
brazoria:65,REP,Sid Miller,1130
brazoria:67,DEM,Susan Hays,807
brazoria:67,REP,Sid Miller,299
brazoria:7,DEM,Susan Hays,334
brazoria:7,REP,Sid Miller,502
brazoria:71,DEM,Susan Hays,378
brazoria:71,REP,Sid Miller,189
brazoria:74,DEM,Susan Hays,43
brazoria:74,REP,Sid Miller,110
brazoria:76,DEM,Susan Hays,164
brazoria:76,REP,Sid Miller,647
brazoria:77,DEM,Susan Hays,464
brazoria:77,REP,Sid Miller,1163
