precinct,registered,ballots_cast,blank
victoria:1,622,,
victoria:10,1647,,
victoria:11,422,,
victoria:12,743,,
victoria:13,1807,,
victoria:14,1382,,
victoria:15,133,,
victoria:16,463,,
victoria:17,700,,
victoria:18,4044,,
victoria:19,2926,,
victoria:2,931,,
victoria:20,1415,,
victoria:21,3970,,
victoria:22,1637,,
victoria:23,1662,,
victoria:24,1481,,
victoria:25,4098,,
victoria:26,1128,,
victoria:27,1660,,
victoria:28,521,,
victoria:29,2570,,
victoria:3,1197,,
victoria:30,529,,
victoria:31,843,,
victoria:32,1524,,
victoria:33,4472,,
victoria:34,1318,,
victoria:35,596,,
victoria:4,1575,,
victoria:5,2608,,
victoria:6,356,,
victoria:7,2168,,
victoria:8,2304,,
victoria:9,1220,,
