precinct,party,candidate,votes
aransas:1,,Over Votes,0
aransas:1,,Under Votes,12
aransas:1,DEM,Janet T. Dudding,199
aransas:1,LIB,V. Alonzo Echevarria-Garza,29
aransas:1,REP,Glenn Hegar,1085
aransas:1A,,Over Votes,0
aransas:1A,,Under Votes,5
aransas:1A,DEM,Janet T. Dudding,115
aransas:1A,LIB,V. Alonzo Echevarria-Garza,16
aransas:1A,REP,Glenn Hegar,587
aransas:2,,Over Votes,0
aransas:2,,Under Votes,15
aransas:2,DEM,Janet T. Dudding,359
aransas:2,LIB,V. Alonzo Echevarria-Garza,38
aransas:2,REP,Glenn Hegar,1200
aransas:3,,Over Votes,0
aransas:3,,Under Votes,29
aransas:3,DEM,Janet T. Dudding,569
aransas:3,LIB,V. Alonzo Echevarria-Garza,45
aransas:3,REP,Glenn Hegar,2162
aransas:4,,Over Votes,0
aransas:4,,Under Votes,35
aransas:4,DEM,Janet T. Dudding,462
aransas:4,LIB,V. Alonzo Echevarria-Garza,34
aransas:4,REP,Glenn Hegar,1901
aransas:4A,,Over Votes,0
aransas:4A,,Under Votes,8
aransas:4A,DEM,Janet T. Dudding,125
aransas:4A,LIB,V. Alonzo Echevarria-Garza,16
aransas:4A,REP,Glenn Hegar,640
