precinct,party,candidate,votes
webb:122,DEM,Kathy Cheng,190
webb:122,REP,Jane Bland,108
webb:124,DEM,Kathy Cheng,629
webb:124,REP,Jane Bland,224
webb:125,DEM,Kathy Cheng,340
webb:125,REP,Jane Bland,123
webb:164,DEM,Kathy Cheng,346
webb:164,REP,Jane Bland,132
webb:215,DEM,Kathy Cheng,480
webb:215,REP,Jane Bland,213
webb:218,DEM,Kathy Cheng,691
webb:218,REP,Jane Bland,324
webb:219,DEM,Kathy Cheng,558
webb:219,REP,Jane Bland,248
webb:220,DEM,Kathy Cheng,409
webb:220,REP,Jane Bland,166
webb:221,DEM,Kathy Cheng,413
webb:221,REP,Jane Bland,208
webb:226,DEM,Kathy Cheng,406
webb:226,REP,Jane Bland,175
webb:231,DEM,Kathy Cheng,1311
webb:231,REP,Jane Bland,695
webb:239,DEM,Kathy Cheng,1916
webb:239,REP,Jane Bland,1178
webb:252,DEM,Kathy Cheng,1056
webb:252,REP,Jane Bland,518
webb:255,DEM,Kathy Cheng,832
webb:255,REP,Jane Bland,582
webb:266,DEM,Kathy Cheng,485
webb:266,REP,Jane Bland,202
webb:308,DEM,Kathy Cheng,312
webb:308,REP,Jane Bland,209
webb:309,DEM,Kathy Cheng,1186
webb:309,REP,Jane Bland,517
webb:310,DEM,Kathy Cheng,179
webb:310,REP,Jane Bland,67
webb:311,DEM,Kathy Cheng,555
webb:311,REP,Jane Bland,226
webb:312,DEM,Kathy Cheng,374
webb:312,REP,Jane Bland,141
webb:340,DEM,Kathy Cheng,803
webb:340,REP,Jane Bland,683
webb:341,DEM,Kathy Cheng,516
webb:341,REP,Jane Bland,465
webb:342,DEM,Kathy Cheng,811
webb:342,REP,Jane Bland,526
webb:343,DEM,Kathy Cheng,1014
webb:343,REP,Jane Bland,592
webb:344,DEM,Kathy Cheng,1978
webb:344,REP,Jane Bland,1544
webb:345,DEM,Kathy Cheng,913
webb:345,REP,Jane Bland,561
webb:349,DEM,Kathy Cheng,948
webb:349,REP,Jane Bland,938
webb:351,DEM,Kathy Cheng,183
webb:351,REP,Jane Bland,64
webb:356,DEM,Kathy Cheng,1785
webb:356,REP,Jane Bland,1391
webb:359,DEM,Kathy Cheng,1509
webb:359,REP,Jane Bland,947
webb:360,DEM,Kathy Cheng,179
webb:360,REP,Jane Bland,84
webb:361,DEM,Kathy Cheng,525
webb:361,REP,Jane Bland,247
webb:362,DEM,Kathy Cheng,138
webb:362,REP,Jane Bland,45
webb:363,DEM,Kathy Cheng,304
webb:363,REP,Jane Bland,126
webb:401,DEM,Kathy Cheng,456
webb:401,REP,Jane Bland,182
webb:402,DEM,Kathy Cheng,521
webb:402,REP,Jane Bland,171
webb:403,DEM,Kathy Cheng,376
webb:403,REP,Jane Bland,155
webb:404,DEM,Kathy Cheng,580
webb:404,REP,Jane Bland,184
webb:405,DEM,Kathy Cheng,570
webb:405,REP,Jane Bland,225
webb:406,DEM,Kathy Cheng,289
webb:406,REP,Jane Bland,102
webb:407,DEM,Kathy Cheng,152
webb:407,REP,Jane Bland,81
webb:413,DEM,Kathy Cheng,606
webb:413,REP,Jane Bland,240
webb:414,DEM,Kathy Cheng,315
webb:414,REP,Jane Bland,115
webb:417,DEM,Kathy Cheng,181
webb:417,REP,Jane Bland,93
webb:446,DEM,Kathy Cheng,1288
webb:446,REP,Jane Bland,586
webb:447,DEM,Kathy Cheng,1007
webb:447,REP,Jane Bland,797
webb:448,DEM,Kathy Cheng,116
webb:448,REP,Jane Bland,87
webb:453,DEM,Kathy Cheng,153
webb:453,REP,Jane Bland,54
webb:458,DEM,Kathy Cheng,1272
webb:458,REP,Jane Bland,758
webb:465,DEM,Kathy Cheng,255
webb:465,REP,Jane Bland,102
