precinct,party,candidate,votes
gonzales:1,DEM,Staci Williams,383
gonzales:1,REP,Jeff Boyd,1320
gonzales:10,DEM,Staci Williams,64
gonzales:10,REP,Jeff Boyd,298
gonzales:11,DEM,Staci Williams,11
gonzales:11,REP,Jeff Boyd,164
gonzales:12,DEM,Staci Williams,31
gonzales:12,REP,Jeff Boyd,98
gonzales:13,DEM,Staci Williams,35
gonzales:13,REP,Jeff Boyd,229
gonzales:14,DEM,Staci Williams,8
gonzales:14,REP,Jeff Boyd,59
gonzales:15,DEM,Staci Williams,34
gonzales:15,REP,Jeff Boyd,238
gonzales:2,DEM,Staci Williams,329
gonzales:2,REP,Jeff Boyd,680
gonzales:3,DEM,Staci Williams,247
gonzales:3,REP,Jeff Boyd,707
gonzales:4/6,DEM,Staci Williams,189
gonzales:4/6,REP,Jeff Boyd,530
gonzales:5,DEM,Staci Williams,82
gonzales:5,REP,Jeff Boyd,364
gonzales:7,DEM,Staci Williams,58
gonzales:7,REP,Jeff Boyd,267
gonzales:8,DEM,Staci Williams,43
gonzales:8,REP,Jeff Boyd,212
gonzales:9,DEM,Staci Williams,268
gonzales:9,REP,Jeff Boyd,382
