Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
travis:101,932,119,4297,5348,0.1742707554,0.0222513089,0.8034779357,Dem,3
travis:105,2101,197,6391,8689,0.2417999770,0.0226723443,0.7355276787,Dem,3
travis:106,1275,63,1598,2936,0.4342643052,0.0214577657,0.5442779292,Dem,2
travis:107,189,7,137,333,0.5675675676,0.0210210210,0.4114114114,Rep,2
travis:110,1913,134,4032,6079,0.3146899161,0.0220430992,0.6632669847,Dem,3
travis:114,66,2,125,193,0.3419689119,0.0103626943,0.6476683938,Dem,3
travis:120,60,4,190,254,0.2362204724,0.0157480315,0.7480314961,Dem,3
travis:121,117,14,782,913,0.1281489595,0.0153340635,0.8565169770,Dem,3
travis:122,184,42,2005,2231,0.0824742268,0.0188256387,0.8987001345,Dem,3
travis:123,2437,155,4388,6980,0.3491404011,0.0222063037,0.6286532951,Dem,2
travis:124,464,86,3510,4060,0.1142857143,0.0211822660,0.8645320197,Dem,3
travis:125,1,0,0,1,1.0000000000,0.0000000000,0.0000000000,Rep,3
travis:126,381,82,3962,4425,0.0861016949,0.0185310734,0.8953672316,Dem,3
travis:129,191,45,2027,2263,0.0844012373,0.0198851083,0.8957136544,Dem,3
travis:132,222,34,1963,2219,0.1000450653,0.0153222172,0.8846327174,Dem,3
travis:133,235,34,1630,1899,0.1237493418,0.0179041601,0.8583464982,Dem,3
travis:135,907,103,5817,6827,0.1328548411,0.0150871539,0.8520580050,Dem,3
travis:137,3941,183,5752,9876,0.3990481977,0.0185297691,0.5824220332,Dem,2
travis:145,572,40,1387,1999,0.2861430715,0.0200100050,0.6938469235,Dem,3
travis:148,1077,78,2453,3608,0.2985033259,0.0216186253,0.6798780488,Dem,3
travis:150,802,32,877,1711,0.4687317358,0.0187025132,0.5125657510,Dem,1
travis:152,192,39,2782,3013,0.0637238633,0.0129439097,0.9233322270,Dem,3
travis:154,813,85,2583,3481,0.2335535766,0.0244182706,0.7420281528,Dem,3
travis:161,542,37,1077,1656,0.3272946860,0.0223429952,0.6503623188,Dem,3
travis:163,185,9,106,300,0.6166666667,0.0300000000,0.3533333333,Rep,2
travis:219,815,60,1612,2487,0.3277040611,0.0241254524,0.6481704865,Dem,3
travis:444,20,4,157,181,0.1104972376,0.0220994475,0.8674033149,Dem,3
