precinct,party,candidate,votes
johnson:1,DEM,Amy Clark Meachum,136
johnson:1,LIB,Mark Ash,20
johnson:1,REP,Nathan Hecht,785
johnson:10,DEM,Amy Clark Meachum,584
johnson:10,LIB,Mark Ash,88
johnson:10,REP,Nathan Hecht,1842
johnson:11,DEM,Amy Clark Meachum,501
johnson:11,LIB,Mark Ash,47
johnson:11,REP,Nathan Hecht,2214
johnson:12,DEM,Amy Clark Meachum,391
johnson:12,LIB,Mark Ash,38
johnson:12,REP,Nathan Hecht,1717
johnson:13,DEM,Amy Clark Meachum,250
johnson:13,LIB,Mark Ash,30
johnson:13,REP,Nathan Hecht,1120
johnson:14,DEM,Amy Clark Meachum,33
johnson:14,LIB,Mark Ash,17
johnson:14,REP,Nathan Hecht,300
johnson:15,DEM,Amy Clark Meachum,187
johnson:15,LIB,Mark Ash,27
johnson:15,REP,Nathan Hecht,942
johnson:16,DEM,Amy Clark Meachum,79
johnson:16,LIB,Mark Ash,6
johnson:16,REP,Nathan Hecht,320
johnson:17,DEM,Amy Clark Meachum,518
johnson:17,LIB,Mark Ash,57
johnson:17,REP,Nathan Hecht,1500
johnson:18,DEM,Amy Clark Meachum,612
johnson:18,LIB,Mark Ash,67
johnson:18,REP,Nathan Hecht,1864
johnson:19,DEM,Amy Clark Meachum,888
johnson:19,LIB,Mark Ash,87
johnson:19,REP,Nathan Hecht,3347
johnson:2,DEM,Amy Clark Meachum,720
johnson:2,LIB,Mark Ash,86
johnson:2,REP,Nathan Hecht,2937
johnson:20,DEM,Amy Clark Meachum,285
johnson:20,LIB,Mark Ash,25
johnson:20,REP,Nathan Hecht,423
johnson:21,DEM,Amy Clark Meachum,180
johnson:21,LIB,Mark Ash,18
johnson:21,REP,Nathan Hecht,970
johnson:22,DEM,Amy Clark Meachum,692
johnson:22,LIB,Mark Ash,69
johnson:22,REP,Nathan Hecht,1827
johnson:23,DEM,Amy Clark Meachum,250
johnson:23,LIB,Mark Ash,34
johnson:23,REP,Nathan Hecht,1470
johnson:24,DEM,Amy Clark Meachum,174
johnson:24,LIB,Mark Ash,21
johnson:24,REP,Nathan Hecht,826
johnson:25,DEM,Amy Clark Meachum,226
johnson:25,LIB,Mark Ash,37
johnson:25,REP,Nathan Hecht,683
johnson:26,DEM,Amy Clark Meachum,149
johnson:26,LIB,Mark Ash,18
johnson:26,REP,Nathan Hecht,989
johnson:27,DEM,Amy Clark Meachum,213
johnson:27,LIB,Mark Ash,28
johnson:27,REP,Nathan Hecht,1525
johnson:28,DEM,Amy Clark Meachum,259
johnson:28,LIB,Mark Ash,38
johnson:28,REP,Nathan Hecht,1134
johnson:29,DEM,Amy Clark Meachum,148
johnson:29,LIB,Mark Ash,16
johnson:29,REP,Nathan Hecht,713
johnson:3,DEM,Amy Clark Meachum,765
johnson:3,LIB,Mark Ash,67
johnson:3,REP,Nathan Hecht,2419
johnson:30,DEM,Amy Clark Meachum,134
johnson:30,LIB,Mark Ash,24
johnson:30,REP,Nathan Hecht,1001
johnson:31,DEM,Amy Clark Meachum,178
johnson:31,LIB,Mark Ash,18
johnson:31,REP,Nathan Hecht,856
johnson:32,DEM,Amy Clark Meachum,489
johnson:32,LIB,Mark Ash,49
johnson:32,REP,Nathan Hecht,1831
johnson:33,DEM,Amy Clark Meachum,147
johnson:33,LIB,Mark Ash,27
johnson:33,REP,Nathan Hecht,738
johnson:34,DEM,Amy Clark Meachum,385
johnson:34,LIB,Mark Ash,39
johnson:34,REP,Nathan Hecht,1112
johnson:35,DEM,Amy Clark Meachum,577
johnson:35,LIB,Mark Ash,49
johnson:35,REP,Nathan Hecht,2391
johnson:36,DEM,Amy Clark Meachum,190
johnson:36,LIB,Mark Ash,19
johnson:36,REP,Nathan Hecht,408
johnson:4,DEM,Amy Clark Meachum,1079
johnson:4,LIB,Mark Ash,129
johnson:4,REP,Nathan Hecht,3147
johnson:5,DEM,Amy Clark Meachum,677
johnson:5,LIB,Mark Ash,62
johnson:5,REP,Nathan Hecht,2332
johnson:6,DEM,Amy Clark Meachum,69
johnson:6,LIB,Mark Ash,6
johnson:6,REP,Nathan Hecht,337
johnson:7,DEM,Amy Clark Meachum,1027
johnson:7,LIB,Mark Ash,83
johnson:7,REP,Nathan Hecht,3680
johnson:8,DEM,Amy Clark Meachum,2097
johnson:8,LIB,Mark Ash,143
johnson:8,REP,Nathan Hecht,3247
johnson:9,DEM,Amy Clark Meachum,97
johnson:9,LIB,Mark Ash,14
johnson:9,REP,Nathan Hecht,680
somervell:1,DEM,Amy Clark Meachum,143
somervell:1,LIB,Mark Ash,7
somervell:1,REP,Nathan Hecht,841
somervell:2,DEM,Amy Clark Meachum,224
somervell:2,LIB,Mark Ash,36
somervell:2,REP,Nathan Hecht,1193
somervell:3,DEM,Amy Clark Meachum,196
somervell:3,LIB,Mark Ash,29
somervell:3,REP,Nathan Hecht,1043
somervell:4,DEM,Amy Clark Meachum,159
somervell:4,LIB,Mark Ash,28
somervell:4,REP,Nathan Hecht,995
