precinct,party,candidate,votes
smith:1,,Over Votes,0
smith:1,,Under Votes,3
smith:1,DEM,Rochelle Mercedes Garza,69
smith:1,LIB,Mark Ash,2
smith:1,REP,Ken Paxton,51
smith:11,,Over Votes,0
smith:11,,Under Votes,14
smith:11,DEM,Rochelle Mercedes Garza,410
smith:11,LIB,Mark Ash,5
smith:11,REP,Ken Paxton,137
smith:12,,Over Votes,0
smith:12,,Under Votes,11
smith:12,DEM,Rochelle Mercedes Garza,444
smith:12,LIB,Mark Ash,7
smith:12,REP,Ken Paxton,86
smith:13,,Over Votes,0
smith:13,,Under Votes,10
smith:13,DEM,Rochelle Mercedes Garza,501
smith:13,LIB,Mark Ash,7
smith:13,REP,Ken Paxton,25
smith:16,,Over Votes,0
smith:16,,Under Votes,8
smith:16,DEM,Rochelle Mercedes Garza,373
smith:16,LIB,Mark Ash,11
smith:16,REP,Ken Paxton,71
smith:18,,Over Votes,0
smith:18,,Under Votes,10
smith:18,DEM,Rochelle Mercedes Garza,363
smith:18,LIB,Mark Ash,12
smith:18,REP,Ken Paxton,55
smith:2,,Over Votes,0
smith:2,,Under Votes,5
smith:2,DEM,Rochelle Mercedes Garza,139
smith:2,LIB,Mark Ash,5
smith:2,REP,Ken Paxton,47
smith:20,,Over Votes,0
smith:20,,Under Votes,3
smith:20,DEM,Rochelle Mercedes Garza,108
smith:20,LIB,Mark Ash,7
smith:20,REP,Ken Paxton,63
smith:21,,Over Votes,0
smith:21,,Under Votes,20
smith:21,DEM,Rochelle Mercedes Garza,227
smith:21,LIB,Mark Ash,37
smith:21,REP,Ken Paxton,661
smith:22,,Over Votes,0
smith:22,,Under Votes,1
smith:22,DEM,Rochelle Mercedes Garza,61
smith:22,LIB,Mark Ash,2
smith:22,REP,Ken Paxton,42
smith:23,,Over Votes,0
smith:23,,Under Votes,17
smith:23,DEM,Rochelle Mercedes Garza,336
smith:23,LIB,Mark Ash,32
smith:23,REP,Ken Paxton,743
smith:24,,Over Votes,0
smith:24,,Under Votes,12
smith:24,DEM,Rochelle Mercedes Garza,171
smith:24,LIB,Mark Ash,31
smith:24,REP,Ken Paxton,1021
smith:25,,Over Votes,1
smith:25,,Under Votes,14
smith:25,DEM,Rochelle Mercedes Garza,285
smith:25,LIB,Mark Ash,34
smith:25,REP,Ken Paxton,910
smith:26,,Over Votes,0
smith:26,,Under Votes,16
smith:26,DEM,Rochelle Mercedes Garza,228
smith:26,LIB,Mark Ash,26
smith:26,REP,Ken Paxton,1307
smith:27,,Over Votes,0
smith:27,,Under Votes,17
smith:27,DEM,Rochelle Mercedes Garza,269
smith:27,LIB,Mark Ash,22
smith:27,REP,Ken Paxton,549
smith:28,,Over Votes,0
smith:28,,Under Votes,25
