precinct,party,candidate,votes
denton:2004,,Brett Busby,1039
denton:2004,,Gisela D. Triana,1462
denton:2004,,Tom Oxford,77
denton:2005,,Brett Busby,1695
denton:2005,,Gisela D. Triana,1413
denton:2005,,Tom Oxford,73
denton:2006,,Brett Busby,1316
denton:2006,,Gisela D. Triana,1251
denton:2006,,Tom Oxford,70
denton:2007,,Brett Busby,1299
denton:2007,,Gisela D. Triana,1919
denton:2007,,Tom Oxford,71
denton:2009,,Brett Busby,861
denton:2009,,Gisela D. Triana,850
denton:2009,,Tom Oxford,57
denton:2010,,Brett Busby,1584
denton:2010,,Gisela D. Triana,1479
denton:2010,,Tom Oxford,93
denton:3008,,Brett Busby,1292
denton:3008,,Gisela D. Triana,863
denton:3008,,Tom Oxford,64
denton:3009,,Brett Busby,1070
denton:3009,,Gisela D. Triana,762
denton:3009,,Tom Oxford,64
denton:3010,,Brett Busby,1532
denton:3010,,Gisela D. Triana,1501
denton:3010,,Tom Oxford,107
denton:3011,,Brett Busby,1258
denton:3011,,Gisela D. Triana,1596
denton:3011,,Tom Oxford,109
denton:3012,,Brett Busby,748
denton:3012,,Gisela D. Triana,569
denton:3012,,Tom Oxford,36
denton:3013,,Brett Busby,967
denton:3013,,Gisela D. Triana,875
denton:3013,,Tom Oxford,50
denton:3014,,Brett Busby,757
denton:3014,,Gisela D. Triana,774
denton:3014,,Tom Oxford,45
denton:3015,,Brett Busby,697
denton:3015,,Gisela D. Triana,904
denton:3015,,Tom Oxford,62
denton:3016,,Brett Busby,513
denton:3016,,Gisela D. Triana,854
denton:3016,,Tom Oxford,41
denton:3017,,Brett Busby,657
denton:3017,,Gisela D. Triana,1622
denton:3017,,Tom Oxford,80
denton:3018,,Brett Busby,408
denton:3018,,Gisela D. Triana,490
denton:3018,,Tom Oxford,31
denton:3019,,Brett Busby,1294
denton:3019,,Gisela D. Triana,2005
denton:3019,,Tom Oxford,99
denton:3022,,Brett Busby,115
denton:3022,,Gisela D. Triana,51
denton:3022,,Tom Oxford,2
denton:3023,,Brett Busby,183
denton:3023,,Gisela D. Triana,167
denton:3023,,Tom Oxford,10
denton:3024,,Brett Busby,1650
denton:3024,,Gisela D. Triana,1133
denton:3024,,Tom Oxford,75
denton:3025,,Brett Busby,2004
denton:3025,,Gisela D. Triana,1203
denton:3025,,Tom Oxford,89
denton:3026,,Brett Busby,1230
denton:3026,,Gisela D. Triana,722
denton:3026,,Tom Oxford,62
denton:3027,,Brett Busby,2018
denton:3027,,Gisela D. Triana,1294
denton:3027,,Tom Oxford,111
denton:3028,,Brett Busby,1968
denton:3028,,Gisela D. Triana,1216
denton:3028,,Tom Oxford,126
denton:3029,,Brett Busby,1123
denton:3029,,Gisela D. Triana,711
denton:3029,,Tom Oxford,65
denton:3030,,Brett Busby,1208
denton:3030,,Gisela D. Triana,709
denton:3030,,Tom Oxford,66
denton:3032,,Brett Busby,414
denton:3032,,Gisela D. Triana,935
denton:3032,,Tom Oxford,54
denton:3033,,Brett Busby,1237
denton:3033,,Gisela D. Triana,770
denton:3033,,Tom Oxford,67
denton:3098,,Brett Busby,0
denton:3098,,Gisela D. Triana,0
denton:3098,,Tom Oxford,0
denton:3099,,Brett Busby,0
denton:3099,,Gisela D. Triana,0
denton:3099,,Tom Oxford,0
denton:4024,,Brett Busby,1619
denton:4024,,Gisela D. Triana,773
denton:4024,,Tom Oxford,75
denton:4025,,Brett Busby,1585
denton:4025,,Gisela D. Triana,1154
denton:4025,,Tom Oxford,62
denton:4026,,Brett Busby,777
denton:4026,,Gisela D. Triana,508
denton:4026,,Tom Oxford,31
denton:4027,,Brett Busby,1972
denton:4027,,Gisela D. Triana,1253
denton:4027,,Tom Oxford,74
denton:4028,,Brett Busby,2623
denton:4028,,Gisela D. Triana,901
denton:4028,,Tom Oxford,88
denton:4030,,Brett Busby,271
denton:4030,,Gisela D. Triana,115
denton:4030,,Tom Oxford,5
denton:4031,,Brett Busby,2538
denton:4031,,Gisela D. Triana,874
denton:4031,,Tom Oxford,79
denton:4032,,Brett Busby,2921
denton:4032,,Gisela D. Triana,1129
denton:4032,,Tom Oxford,109
denton:4033,,Brett Busby,1654
denton:4033,,Gisela D. Triana,721
denton:4033,,Tom Oxford,78
