precinct,party,candidate,votes
jones:1,,Over Votes,0
jones:1,,Under Votes,12
jones:1,DEM,Erin A. Nowell,150
jones:1,LIB,Thomas Edward Oxford,18
jones:1,REP,Debra Lehrmann,700
jones:2,,Over Votes,0
jones:2,,Under Votes,23
jones:2,DEM,Erin A. Nowell,157
jones:2,LIB,Thomas Edward Oxford,21
jones:2,REP,Debra Lehrmann,1015
jones:3,,Over Votes,0
jones:3,,Under Votes,25
jones:3,DEM,Erin A. Nowell,131
jones:3,LIB,Thomas Edward Oxford,29
jones:3,REP,Debra Lehrmann,1287
jones:4,,Over Votes,0
jones:4,,Under Votes,22
jones:4,DEM,Erin A. Nowell,155
jones:4,LIB,Thomas Edward Oxford,17
jones:4,REP,Debra Lehrmann,1245
