precinct,registered,ballots_cast,blank
taylor:101,3763,,
taylor:102,2586,,
taylor:103,2803,,
taylor:104,2438,,
taylor:105,4018,,
taylor:106,1753,,
taylor:107,729,,
taylor:108,1298,,
taylor:109,248,,
taylor:110,84,,
taylor:201,1999,,
taylor:202,3382,,
taylor:203,2920,,
taylor:204,1889,,
taylor:205,3606,,
taylor:206,2576,,
taylor:207,331,,
taylor:301,2666,,
taylor:302,2447,,
taylor:303,2039,,
taylor:304,3083,,
taylor:305,2978,,
taylor:306,5001,,
taylor:307,6274,,
taylor:308,1792,,
taylor:401,1378,,
taylor:402,3195,,
taylor:403,2476,,
taylor:404,2378,,
taylor:405,1918,,
taylor:406,3158,,
taylor:407,1330,,
taylor:408,4071,,
taylor:409,925,,
