precinct,party,candidate,votes
coleman:1,,Over Votes,0
coleman:1,,Under Votes,10
coleman:1,,Write-in,0
coleman:1,DEM,Jay Kleberg,51
coleman:1,GRN,"Alfred Molison, Jr.",3
coleman:1,REP,Dawn Buckingham,756
coleman:2,,Over Votes,0
coleman:2,,Under Votes,12
coleman:2,,Write-in,1
coleman:2,DEM,Jay Kleberg,67
coleman:2,GRN,"Alfred Molison, Jr.",2
coleman:2,REP,Dawn Buckingham,561
coleman:2E,,Over Votes,0
coleman:2E,,Under Votes,3
coleman:2E,,Write-in,1
coleman:2E,DEM,Jay Kleberg,23
coleman:2E,GRN,"Alfred Molison, Jr.",1
coleman:2E,REP,Dawn Buckingham,201
coleman:3,,Over Votes,0
coleman:3,,Under Votes,10
coleman:3,,Write-in,0
coleman:3,DEM,Jay Kleberg,51
coleman:3,GRN,"Alfred Molison, Jr.",11
coleman:3,REP,Dawn Buckingham,598
coleman:4,,Over Votes,0
coleman:4,,Under Votes,13
coleman:4,,Write-in,0
coleman:4,DEM,Jay Kleberg,76
coleman:4,GRN,"Alfred Molison, Jr.",2
coleman:4,REP,Dawn Buckingham,789
