precinct,party,candidate,votes
el-paso:128,,Over Votes,0
el-paso:128,,Under Votes,38
el-paso:128,DEM,Robert Johnson,745
el-paso:128,REP,"Jesse F. McClure, III",566
el-paso:129,,Over Votes,0
el-paso:129,,Under Votes,43
el-paso:129,DEM,Robert Johnson,869
el-paso:129,REP,"Jesse F. McClure, III",530
el-paso:130,,Over Votes,0
el-paso:130,,Under Votes,46
el-paso:130,DEM,Robert Johnson,917
el-paso:130,REP,"Jesse F. McClure, III",502
el-paso:131,,Over Votes,0
el-paso:131,,Under Votes,32
el-paso:131,DEM,Robert Johnson,708
el-paso:131,REP,"Jesse F. McClure, III",393
el-paso:157,,Over Votes,0
el-paso:157,,Under Votes,9
el-paso:157,DEM,Robert Johnson,95
el-paso:157,REP,"Jesse F. McClure, III",27
el-paso:158,,Over Votes,0
el-paso:158,,Under Votes,21
el-paso:158,DEM,Robert Johnson,371
el-paso:158,REP,"Jesse F. McClure, III",333
el-paso:159,,Over Votes,0
el-paso:159,,Under Votes,14
el-paso:159,DEM,Robert Johnson,233
el-paso:159,REP,"Jesse F. McClure, III",98
el-paso:160,,Over Votes,0
el-paso:160,,Under Votes,41
el-paso:160,DEM,Robert Johnson,551
el-paso:160,REP,"Jesse F. McClure, III",230
el-paso:161,,Over Votes,0
el-paso:161,,Under Votes,19
el-paso:161,DEM,Robert Johnson,210
el-paso:161,REP,"Jesse F. McClure, III",115
el-paso:162,,Over Votes,0
el-paso:162,,Under Votes,49
el-paso:162,DEM,Robert Johnson,681
el-paso:162,REP,"Jesse F. McClure, III",214
el-paso:163,,Over Votes,0
el-paso:163,,Under Votes,44
el-paso:163,DEM,Robert Johnson,405
el-paso:163,REP,"Jesse F. McClure, III",210
el-paso:164,,Over Votes,0
el-paso:164,,Under Votes,56
el-paso:164,DEM,Robert Johnson,626
el-paso:164,REP,"Jesse F. McClure, III",265
el-paso:165,,Over Votes,0
el-paso:165,,Under Votes,45
el-paso:165,DEM,Robert Johnson,604
el-paso:165,REP,"Jesse F. McClure, III",230
el-paso:167,,Over Votes,0
el-paso:167,,Under Votes,72
el-paso:167,DEM,Robert Johnson,577
el-paso:167,REP,"Jesse F. McClure, III",223
el-paso:168,,Over Votes,0
el-paso:168,,Under Votes,1
