precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
el-paso:25,284,304,3781,0,1154,5514,5.15%,5.51%,68.57%,0.00%,20.93%
el-paso:26,65,70,1793,0,580,2504,2.60%,2.80%,71.61%,0.00%,23.16%
el-paso:27,123,149,2536,0,594,3373,3.65%,4.42%,75.19%,0.00%,17.61%
el-paso:29,159,195,3770,0,677,4771,3.33%,4.09%,79.02%,0.00%,14.19%
el-paso:30,14,11,342,0,15,381,3.67%,2.89%,89.76%,0.00%,3.94%
el-paso:31,192,215,3407,7,734,4555,4.22%,4.72%,74.80%,0.15%,16.11%
el-paso:32,107,80,2121,0,510,2807,3.81%,2.85%,75.56%,0.00%,18.17%
el-paso:33,75,47,1497,2,713,2334,3.21%,2.01%,64.14%,0.09%,30.55%
el-paso:34,187,291,1613,0,264,2331,8.02%,12.48%,69.20%,0.00%,11.33%
el-paso:35,110,158,1972,39,809,3088,3.56%,5.12%,63.86%,1.26%,26.20%
el-paso:36,139,165,3185,8,422,3919,3.55%,4.21%,81.27%,0.20%,10.77%
el-paso:37,31,138,6235,0,452,6797,0.46%,2.03%,91.73%,0.00%,6.65%
el-paso:38,47,124,3921,0,331,4379,1.07%,2.83%,89.54%,0.00%,7.56%
el-paso:39,26,110,1514,0,184,1824,1.43%,6.03%,83.00%,0.00%,10.09%
el-paso:40,10,38,1413,0,172,1628,0.61%,2.33%,86.79%,0.00%,10.57%
el-paso:41,16,37,1554,0,85,1682,0.95%,2.20%,92.39%,0.00%,5.05%
el-paso:42,37,58,4809,0,132,4995,0.74%,1.16%,96.28%,0.00%,2.64%
el-paso:65,274,1008,1447,122,1964,4815,5.69%,20.93%,30.05%,2.53%,40.79%
el-paso:66,49,207,3540,0,295,4065,1.21%,5.09%,87.08%,0.00%,7.26%
el-paso:67,94,260,4303,0,523,5164,1.82%,5.03%,83.33%,0.00%,10.13%
el-paso:68,69,187,960,11,434,1661,4.15%,11.26%,57.80%,0.66%,26.13%
el-paso:69,41,124,6384,0,338,6883,0.60%,1.80%,92.75%,0.00%,4.91%
el-paso:70,32,54,3634,0,357,4057,0.79%,1.33%,89.57%,0.00%,8.80%
el-paso:71,23,38,2659,0,271,2985,0.77%,1.27%,89.08%,0.00%,9.08%
