precinct,party,candidate,votes
borden:1A,DEM,"Mary ""MJ"" Hegar",6
borden:1A,GRN,David B. Collins,0
borden:1A,LIB,Kerry Douglas McKennon,0
borden:1A,REP,John Cornyn,52
borden:1B,DEM,"Mary ""MJ"" Hegar",0
borden:1B,GRN,David B. Collins,0
borden:1B,LIB,Kerry Douglas McKennon,0
borden:1B,REP,John Cornyn,50
borden:2A,DEM,"Mary ""MJ"" Hegar",6
borden:2A,GRN,David B. Collins,1
borden:2A,LIB,Kerry Douglas McKennon,0
borden:2A,REP,John Cornyn,80
borden:2B,DEM,"Mary ""MJ"" Hegar",1
borden:2B,GRN,David B. Collins,0
borden:2B,LIB,Kerry Douglas McKennon,0
borden:2B,REP,John Cornyn,37
borden:3A,DEM,"Mary ""MJ"" Hegar",1
borden:3A,GRN,David B. Collins,1
borden:3A,LIB,Kerry Douglas McKennon,0
borden:3A,REP,John Cornyn,24
borden:3B,DEM,"Mary ""MJ"" Hegar",0
borden:3B,GRN,David B. Collins,0
borden:3B,LIB,Kerry Douglas McKennon,0
borden:3B,REP,John Cornyn,36
borden:4,DEM,"Mary ""MJ"" Hegar",4
borden:4,GRN,David B. Collins,0
borden:4,LIB,Kerry Douglas McKennon,1
borden:4,REP,John Cornyn,111
crosby:11,DEM,"Mary ""MJ"" Hegar",88
crosby:11,GRN,David B. Collins,2
crosby:11,LIB,Kerry Douglas McKennon,4
crosby:11,REP,John Cornyn,249
crosby:27,DEM,"Mary ""MJ"" Hegar",140
crosby:27,GRN,David B. Collins,2
crosby:27,LIB,Kerry Douglas McKennon,10
crosby:27,REP,John Cornyn,392
crosby:39,DEM,"Mary ""MJ"" Hegar",123
crosby:39,GRN,David B. Collins,2
crosby:39,LIB,Kerry Douglas McKennon,3
crosby:39,REP,John Cornyn,308
crosby:44,DEM,"Mary ""MJ"" Hegar",135
crosby:44,GRN,David B. Collins,8
crosby:44,LIB,Kerry Douglas McKennon,8
crosby:44,REP,John Cornyn,407
dickens:1,DEM,"Mary ""MJ"" Hegar",11
dickens:1,GRN,David B. Collins,0
dickens:1,LIB,Kerry Douglas McKennon,0
dickens:1,REP,John Cornyn,73
dickens:2,DEM,"Mary ""MJ"" Hegar",11
dickens:2,GRN,David B. Collins,2
dickens:2,LIB,Kerry Douglas McKennon,3
dickens:2,REP,John Cornyn,73
dickens:3,DEM,"Mary ""MJ"" Hegar",47
dickens:3,GRN,David B. Collins,1
dickens:3,LIB,Kerry Douglas McKennon,2
dickens:3,REP,John Cornyn,203
dickens:4,DEM,"Mary ""MJ"" Hegar",20
dickens:4,GRN,David B. Collins,0
dickens:4,LIB,Kerry Douglas McKennon,2
dickens:4,REP,John Cornyn,123
dickens:5,DEM,"Mary ""MJ"" Hegar",17
dickens:5,GRN,David B. Collins,1
dickens:5,LIB,Kerry Douglas McKennon,4
dickens:5,REP,John Cornyn,131
dickens:6,DEM,"Mary ""MJ"" Hegar",27
dickens:6,GRN,David B. Collins,0
dickens:6,LIB,Kerry Douglas McKennon,2
dickens:6,REP,John Cornyn,205
garza:1,DEM,"Mary ""MJ"" Hegar",37
garza:1,GRN,David B. Collins,0
garza:1,LIB,Kerry Douglas McKennon,3
garza:1,REP,John Cornyn,331
garza:2,DEM,"Mary ""MJ"" Hegar",48
garza:2,GRN,David B. Collins,1
garza:2,LIB,Kerry Douglas McKennon,2
garza:2,REP,John Cornyn,433
garza:3,DEM,"Mary ""MJ"" Hegar",56
garza:3,GRN,David B. Collins,5
garza:3,LIB,Kerry Douglas McKennon,0
garza:3,REP,John Cornyn,273
garza:4,DEM,"Mary ""MJ"" Hegar",53
garza:4,GRN,David B. Collins,1
garza:4,LIB,Kerry Douglas McKennon,2
garza:4,REP,John Cornyn,174
garza:5,DEM,"Mary ""MJ"" Hegar",15
garza:5,GRN,David B. Collins,0
garza:5,LIB,Kerry Douglas McKennon,2
garza:5,REP,John Cornyn,68
garza:6,DEM,"Mary ""MJ"" Hegar",16
garza:6,GRN,David B. Collins,0
garza:6,LIB,Kerry Douglas McKennon,2
garza:6,REP,John Cornyn,95
kent:101,DEM,"Mary ""MJ"" Hegar",12
kent:101,GRN,David B. Collins,1
kent:101,LIB,Kerry Douglas McKennon,1
kent:101,REP,John Cornyn,128
kent:201,DEM,"Mary ""MJ"" Hegar",3
kent:201,GRN,David B. Collins,0
kent:201,LIB,Kerry Douglas McKennon,0
kent:201,REP,John Cornyn,24
kent:202,DEM,"Mary ""MJ"" Hegar",8
kent:202,GRN,David B. Collins,0
kent:202,LIB,Kerry Douglas McKennon,1
kent:202,REP,John Cornyn,66
kent:301,DEM,"Mary ""MJ"" Hegar",6
kent:301,GRN,David B. Collins,0
kent:301,LIB,Kerry Douglas McKennon,0
kent:301,REP,John Cornyn,61
kent:302,DEM,"Mary ""MJ"" Hegar",1
kent:302,GRN,David B. Collins,0
kent:302,LIB,Kerry Douglas McKennon,1
kent:302,REP,John Cornyn,35
kent:401,DEM,"Mary ""MJ"" Hegar",23
kent:401,GRN,David B. Collins,1
kent:401,LIB,Kerry Douglas McKennon,1
kent:401,REP,John Cornyn,72
lynn:1,DEM,"Mary ""MJ"" Hegar",40
lynn:1,GRN,David B. Collins,2
lynn:1,LIB,Kerry Douglas McKennon,1
lynn:1,REP,John Cornyn,154
lynn:10,DEM,"Mary ""MJ"" Hegar",1
lynn:10,GRN,David B. Collins,0
lynn:10,LIB,Kerry Douglas McKennon,0
lynn:10,REP,John Cornyn,4
lynn:11,DEM,"Mary ""MJ"" Hegar",7
lynn:11,GRN,David B. Collins,0
lynn:11,LIB,Kerry Douglas McKennon,1
lynn:11,REP,John Cornyn,65
lynn:12,DEM,"Mary ""MJ"" Hegar",28
lynn:12,GRN,David B. Collins,2
lynn:12,LIB,Kerry Douglas McKennon,3
lynn:12,REP,John Cornyn,77
lynn:13,DEM,"Mary ""MJ"" Hegar",11
lynn:13,GRN,David B. Collins,0
lynn:13,LIB,Kerry Douglas McKennon,0
lynn:13,REP,John Cornyn,78
lynn:14,DEM,"Mary ""MJ"" Hegar",63
lynn:14,GRN,David B. Collins,1
lynn:14,LIB,Kerry Douglas McKennon,1
lynn:14,REP,John Cornyn,74
lynn:2,DEM,"Mary ""MJ"" Hegar",44
lynn:2,GRN,David B. Collins,1
lynn:2,LIB,Kerry Douglas McKennon,4
lynn:2,REP,John Cornyn,187
lynn:3,DEM,"Mary ""MJ"" Hegar",72
lynn:3,GRN,David B. Collins,2
lynn:3,LIB,Kerry Douglas McKennon,3
lynn:3,REP,John Cornyn,232
lynn:4,DEM,"Mary ""MJ"" Hegar",47
lynn:4,GRN,David B. Collins,0
lynn:4,LIB,Kerry Douglas McKennon,7
lynn:4,REP,John Cornyn,471
lynn:5,DEM,"Mary ""MJ"" Hegar",4
lynn:5,GRN,David B. Collins,0
lynn:5,LIB,Kerry Douglas McKennon,0
lynn:5,REP,John Cornyn,16
lynn:6,DEM,"Mary ""MJ"" Hegar",57
lynn:6,GRN,David B. Collins,2
lynn:6,LIB,Kerry Douglas McKennon,2
lynn:6,REP,John Cornyn,176
lynn:7,DEM,"Mary ""MJ"" Hegar",1
lynn:7,GRN,David B. Collins,0
lynn:7,LIB,Kerry Douglas McKennon,0
lynn:7,REP,John Cornyn,33
lynn:8,DEM,"Mary ""MJ"" Hegar",6
lynn:8,GRN,David B. Collins,0
lynn:8,LIB,Kerry Douglas McKennon,1
lynn:8,REP,John Cornyn,25
