precinct,party,candidate,votes
hansford:1,,Four Price,318
hansford:1,,Nick Hearn,9
hansford:2,,Four Price,25
hansford:2,,Nick Hearn,1
hansford:3,,Four Price,138
hansford:3,,Nick Hearn,6
hansford:4,,Four Price,325
hansford:4,,Nick Hearn,9
hansford:5,,Four Price,214
hansford:5,,Nick Hearn,7
hansford:6,,Four Price,319
hansford:6,,Nick Hearn,10
hansford:7,,Four Price,25
hansford:7,,Nick Hearn,3
hansford:9,,Four Price,64
hansford:9,,Nick Hearn,4
hutchinson:11,,Over Votes,0
hutchinson:11,,Under Votes,19
hutchinson:11,LIB,Nick Hearn,68
hutchinson:11,REP,Four Price,783
hutchinson:14,,Over Votes,0
hutchinson:14,,Under Votes,21
hutchinson:14,LIB,Nick Hearn,76
hutchinson:14,REP,Four Price,909
hutchinson:21,,Over Votes,0
hutchinson:21,,Under Votes,27
hutchinson:21,LIB,Nick Hearn,94
hutchinson:21,REP,Four Price,1607
hutchinson:23,,Over Votes,0
hutchinson:23,,Under Votes,9
hutchinson:23,LIB,Nick Hearn,20
hutchinson:23,REP,Four Price,232
hutchinson:31,,Over Votes,0
hutchinson:31,,Under Votes,11
hutchinson:31,LIB,Nick Hearn,48
hutchinson:31,REP,Four Price,785
hutchinson:33,,Over Votes,0
hutchinson:33,,Under Votes,8
hutchinson:33,LIB,Nick Hearn,47
hutchinson:33,REP,Four Price,536
hutchinson:41,,Over Votes,0
hutchinson:41,,Under Votes,0
hutchinson:41,LIB,Nick Hearn,4
hutchinson:41,REP,Four Price,37
hutchinson:42,,Over Votes,0
hutchinson:42,,Under Votes,43
hutchinson:42,LIB,Nick Hearn,91
hutchinson:42,REP,Four Price,617
moore:101,LIB,Nick Hearn,97
moore:101,REP,Four Price,659
moore:201,LIB,Nick Hearn,49
moore:201,REP,Four Price,639
moore:202,LIB,Nick Hearn,44
moore:202,REP,Four Price,779
moore:203,LIB,Nick Hearn,0
moore:203,REP,Four Price,39
moore:301,LIB,Nick Hearn,94
moore:301,REP,Four Price,498
moore:401,LIB,Nick Hearn,25
moore:401,REP,Four Price,487
moore:402,LIB,Nick Hearn,16
moore:402,REP,Four Price,34
potter:121,LIB,Nick Hearn,121
potter:121,REP,Four Price,999
potter:122,LIB,Nick Hearn,174
potter:122,REP,Four Price,803
potter:123,LIB,Nick Hearn,322
potter:123,REP,Four Price,1282
potter:124,LIB,Nick Hearn,196
potter:124,REP,Four Price,960
potter:125,LIB,Nick Hearn,333
potter:125,REP,Four Price,1173
potter:126,LIB,Nick Hearn,244
potter:126,REP,Four Price,659
potter:221,LIB,Nick Hearn,97
potter:221,REP,Four Price,236
potter:222,LIB,Nick Hearn,72
potter:222,REP,Four Price,262
potter:223,LIB,Nick Hearn,142
potter:223,REP,Four Price,300
potter:224,LIB,Nick Hearn,186
potter:224,REP,Four Price,596
potter:225,LIB,Nick Hearn,105
potter:225,REP,Four Price,244
potter:321,LIB,Nick Hearn,131
potter:321,REP,Four Price,1655
potter:322,LIB,Nick Hearn,13
potter:322,REP,Four Price,124
potter:323,LIB,Nick Hearn,200
potter:323,REP,Four Price,1903
potter:324,LIB,Nick Hearn,225
potter:324,REP,Four Price,2161
potter:325,LIB,Nick Hearn,181
potter:325,REP,Four Price,919
potter:326,LIB,Nick Hearn,151
potter:326,REP,Four Price,1168
potter:327,LIB,Nick Hearn,82
potter:327,REP,Four Price,417
potter:421,LIB,Nick Hearn,93
potter:421,REP,Four Price,154
potter:422,LIB,Nick Hearn,288
potter:422,REP,Four Price,501
potter:424,LIB,Nick Hearn,124
potter:424,REP,Four Price,197
potter:425,LIB,Nick Hearn,133
potter:425,REP,Four Price,236
potter:426,LIB,Nick Hearn,42
potter:426,REP,Four Price,109
potter:427,LIB,Nick Hearn,49
potter:427,REP,Four Price,85
