precinct,party,candidate,votes
bailey:1,DEM,Elizabeth Davis Frizell,105
bailey:1,REP,Bert Richardson,433
bailey:2,DEM,Elizabeth Davis Frizell,94
bailey:2,REP,Bert Richardson,597
bailey:3,DEM,Elizabeth Davis Frizell,107
bailey:3,REP,Bert Richardson,248
bailey:4,DEM,Elizabeth Davis Frizell,83
bailey:4,REP,Bert Richardson,118
collingsworth:101,DEM,Elizabeth Davis Frizell,39
collingsworth:101,REP,Bert Richardson,290
collingsworth:201,DEM,Elizabeth Davis Frizell,34
collingsworth:201,REP,Bert Richardson,183
collingsworth:202,DEM,Elizabeth Davis Frizell,2
collingsworth:202,REP,Bert Richardson,35
collingsworth:301,DEM,Elizabeth Davis Frizell,30
collingsworth:301,REP,Bert Richardson,207
collingsworth:302,DEM,Elizabeth Davis Frizell,4
collingsworth:302,REP,Bert Richardson,38
collingsworth:401,DEM,Elizabeth Davis Frizell,26
collingsworth:401,REP,Bert Richardson,192
collingsworth:402,DEM,Elizabeth Davis Frizell,5
collingsworth:402,REP,Bert Richardson,68
donley:101,DEM,Elizabeth Davis Frizell,16
donley:101,REP,Bert Richardson,125
donley:102,DEM,Elizabeth Davis Frizell,25
donley:102,REP,Bert Richardson,213
donley:201,DEM,Elizabeth Davis Frizell,62
donley:201,REP,Bert Richardson,448
donley:301,DEM,Elizabeth Davis Frizell,11
donley:301,REP,Bert Richardson,154
donley:303,DEM,Elizabeth Davis Frizell,16
donley:303,REP,Bert Richardson,195
donley:401,DEM,Elizabeth Davis Frizell,47
donley:401,REP,Bert Richardson,283
hockley:11,DEM,Elizabeth Davis Frizell,79
hockley:11,REP,Bert Richardson,441
hockley:14,DEM,Elizabeth Davis Frizell,70
hockley:14,REP,Bert Richardson,508
hockley:15,DEM,Elizabeth Davis Frizell,40
hockley:15,REP,Bert Richardson,265
hockley:16,DEM,Elizabeth Davis Frizell,190
hockley:16,REP,Bert Richardson,1132
hockley:21,DEM,Elizabeth Davis Frizell,248
hockley:21,REP,Bert Richardson,972
hockley:24,DEM,Elizabeth Davis Frizell,61
hockley:24,REP,Bert Richardson,450
hockley:32,DEM,Elizabeth Davis Frizell,236
hockley:32,REP,Bert Richardson,728
hockley:33,DEM,Elizabeth Davis Frizell,4
hockley:33,REP,Bert Richardson,67
hockley:35,DEM,Elizabeth Davis Frizell,24
hockley:35,REP,Bert Richardson,72
hockley:36,DEM,Elizabeth Davis Frizell,73
hockley:36,REP,Bert Richardson,128
hockley:43,DEM,Elizabeth Davis Frizell,23
hockley:43,REP,Bert Richardson,194
hockley:44,DEM,Elizabeth Davis Frizell,119
hockley:44,REP,Bert Richardson,392
hockley:45,DEM,Elizabeth Davis Frizell,201
hockley:45,REP,Bert Richardson,727
hockley:46,DEM,Elizabeth Davis Frizell,69
hockley:46,REP,Bert Richardson,361
roberts:1,DEM,Elizabeth Davis Frizell,3
roberts:1,REP,Bert Richardson,125
roberts:2,DEM,Elizabeth Davis Frizell,2
roberts:2,REP,Bert Richardson,133
roberts:3,DEM,Elizabeth Davis Frizell,3
roberts:3,REP,Bert Richardson,119
roberts:4-1,DEM,Elizabeth Davis Frizell,2
roberts:4-1,REP,Bert Richardson,71
roberts:4-2,DEM,Elizabeth Davis Frizell,5
roberts:4-2,REP,Bert Richardson,73
wheeler:1,,Bert Richardson,180
wheeler:1,,Elizabeth Davis Frizell,4
wheeler:10,,Bert Richardson,82
wheeler:10,,Elizabeth Davis Frizell,3
wheeler:2,,Bert Richardson,353
wheeler:2,,Elizabeth Davis Frizell,16
wheeler:3,,Bert Richardson,301
wheeler:3,,Elizabeth Davis Frizell,31
wheeler:4,,Bert Richardson,113
wheeler:4,,Elizabeth Davis Frizell,13
wheeler:5,,Bert Richardson,77
wheeler:5,,Elizabeth Davis Frizell,2
wheeler:6,,Bert Richardson,68
wheeler:6,,Elizabeth Davis Frizell,7
wheeler:7,,Bert Richardson,88
wheeler:7,,Elizabeth Davis Frizell,3
wheeler:8,,Bert Richardson,323
wheeler:8,,Elizabeth Davis Frizell,39
wheeler:9,,Bert Richardson,484
wheeler:9,,Elizabeth Davis Frizell,48
