precinct,party,candidate,votes
san-augustine:1,DEM,Brandon Birmingham,277
san-augustine:1,REP,David Newell,522
san-augustine:10,DEM,Brandon Birmingham,20
san-augustine:10,REP,David Newell,272
san-augustine:11,DEM,Brandon Birmingham,189
san-augustine:11,REP,David Newell,12
san-augustine:2,DEM,Brandon Birmingham,109
san-augustine:2,REP,David Newell,123
san-augustine:3,DEM,Brandon Birmingham,46
san-augustine:3,REP,David Newell,120
san-augustine:4,DEM,Brandon Birmingham,89
san-augustine:4,REP,David Newell,181
san-augustine:5,DEM,Brandon Birmingham,37
san-augustine:5,REP,David Newell,222
san-augustine:6,DEM,Brandon Birmingham,15
san-augustine:6,REP,David Newell,195
san-augustine:7,DEM,Brandon Birmingham,26
san-augustine:7,REP,David Newell,207
san-augustine:8,DEM,Brandon Birmingham,43
san-augustine:8,REP,David Newell,417
san-augustine:9,DEM,Brandon Birmingham,66
san-augustine:9,REP,David Newell,580
trinity:1,DEM,Brandon Birmingham,77
trinity:1,REP,David Newell,364
trinity:10,DEM,Brandon Birmingham,13
trinity:10,REP,David Newell,207
trinity:11,DEM,Brandon Birmingham,199
trinity:11,REP,David Newell,1062
trinity:12,DEM,Brandon Birmingham,19
trinity:12,REP,David Newell,69
trinity:14,DEM,Brandon Birmingham,72
trinity:14,REP,David Newell,334
trinity:15,DEM,Brandon Birmingham,10
trinity:15,REP,David Newell,72
trinity:16,DEM,Brandon Birmingham,81
trinity:16,REP,David Newell,240
trinity:17,DEM,Brandon Birmingham,266
trinity:17,REP,David Newell,88
trinity:18,DEM,Brandon Birmingham,45
trinity:18,REP,David Newell,18
trinity:19,DEM,Brandon Birmingham,160
trinity:19,REP,David Newell,725
trinity:2,DEM,Brandon Birmingham,55
trinity:2,REP,David Newell,482
trinity:20,DEM,Brandon Birmingham,14
trinity:20,REP,David Newell,37
trinity:21,DEM,Brandon Birmingham,40
trinity:21,REP,David Newell,217
trinity:3,DEM,Brandon Birmingham,36
trinity:3,REP,David Newell,269
trinity:4,DEM,Brandon Birmingham,20
trinity:4,REP,David Newell,187
trinity:5,DEM,Brandon Birmingham,33
trinity:5,REP,David Newell,117
trinity:6,DEM,Brandon Birmingham,9
trinity:6,REP,David Newell,140
trinity:7,DEM,Brandon Birmingham,14
trinity:7,REP,David Newell,142
trinity:8,DEM,Brandon Birmingham,14
trinity:8,REP,David Newell,291
trinity:9,DEM,Brandon Birmingham,42
trinity:9,REP,David Newell,377
