precinct,party,candidate,votes
tarrant:1380,DEM,Mike Collier,411
tarrant:1380,LIB,Shanna Steele,15
tarrant:1380,REP,Dan Patrick,296
tarrant:1382,DEM,Mike Collier,633
tarrant:1382,LIB,Shanna Steele,28
tarrant:1382,REP,Dan Patrick,175
tarrant:1388,DEM,Mike Collier,811
tarrant:1388,LIB,Shanna Steele,43
tarrant:1388,REP,Dan Patrick,381
tarrant:1404,DEM,Mike Collier,640
tarrant:1404,LIB,Shanna Steele,35
tarrant:1404,REP,Dan Patrick,217
tarrant:1441,DEM,Mike Collier,126
tarrant:1441,LIB,Shanna Steele,6
tarrant:1441,REP,Dan Patrick,36
tarrant:1463,DEM,Mike Collier,430
tarrant:1463,LIB,Shanna Steele,22
tarrant:1463,REP,Dan Patrick,146
tarrant:1586,DEM,Mike Collier,2
tarrant:1586,LIB,Shanna Steele,0
tarrant:1586,REP,Dan Patrick,1
tarrant:1603,DEM,Mike Collier,47
tarrant:1603,LIB,Shanna Steele,6
tarrant:1603,REP,Dan Patrick,24
tarrant:1631,DEM,Mike Collier,52
tarrant:1631,LIB,Shanna Steele,2
tarrant:1631,REP,Dan Patrick,46
tarrant:2052,DEM,Mike Collier,565
tarrant:2052,LIB,Shanna Steele,34
tarrant:2052,REP,Dan Patrick,374
tarrant:2100,DEM,Mike Collier,142
tarrant:2100,LIB,Shanna Steele,10
tarrant:2100,REP,Dan Patrick,104
tarrant:2134,DEM,Mike Collier,165
tarrant:2134,LIB,Shanna Steele,9
tarrant:2134,REP,Dan Patrick,161
tarrant:2145,DEM,Mike Collier,435
tarrant:2145,LIB,Shanna Steele,25
tarrant:2145,REP,Dan Patrick,212
tarrant:2158,DEM,Mike Collier,585
tarrant:2158,LIB,Shanna Steele,18
tarrant:2158,REP,Dan Patrick,622
tarrant:2168,DEM,Mike Collier,291
tarrant:2168,LIB,Shanna Steele,15
tarrant:2168,REP,Dan Patrick,184
tarrant:2169,DEM,Mike Collier,126
tarrant:2169,LIB,Shanna Steele,6
tarrant:2169,REP,Dan Patrick,42
tarrant:2180,DEM,Mike Collier,439
tarrant:2180,LIB,Shanna Steele,12
tarrant:2180,REP,Dan Patrick,123
tarrant:2210,DEM,Mike Collier,254
tarrant:2210,LIB,Shanna Steele,23
tarrant:2210,REP,Dan Patrick,168
tarrant:2224,DEM,Mike Collier,494
tarrant:2224,LIB,Shanna Steele,23
tarrant:2224,REP,Dan Patrick,270
tarrant:2225,DEM,Mike Collier,351
tarrant:2225,LIB,Shanna Steele,20
tarrant:2225,REP,Dan Patrick,127
tarrant:2263,DEM,Mike Collier,400
tarrant:2263,LIB,Shanna Steele,25
tarrant:2263,REP,Dan Patrick,270
tarrant:2274,DEM,Mike Collier,0
tarrant:2274,LIB,Shanna Steele,0
tarrant:2274,REP,Dan Patrick,1
tarrant:2281,DEM,Mike Collier,442
tarrant:2281,LIB,Shanna Steele,22
tarrant:2281,REP,Dan Patrick,423
tarrant:2309,DEM,Mike Collier,290
tarrant:2309,LIB,Shanna Steele,17
tarrant:2309,REP,Dan Patrick,199
tarrant:2315,DEM,Mike Collier,445
tarrant:2315,LIB,Shanna Steele,29
tarrant:2315,REP,Dan Patrick,212
tarrant:2316,DEM,Mike Collier,487
tarrant:2316,LIB,Shanna Steele,23
tarrant:2316,REP,Dan Patrick,299
tarrant:2381,DEM,Mike Collier,129
tarrant:2381,LIB,Shanna Steele,5
tarrant:2381,REP,Dan Patrick,46
tarrant:2411,DEM,Mike Collier,116
tarrant:2411,LIB,Shanna Steele,4
tarrant:2411,REP,Dan Patrick,38
tarrant:2413,DEM,Mike Collier,227
tarrant:2413,LIB,Shanna Steele,7
tarrant:2413,REP,Dan Patrick,79
tarrant:2428,DEM,Mike Collier,110
tarrant:2428,LIB,Shanna Steele,3
tarrant:2428,REP,Dan Patrick,41
tarrant:2442,DEM,Mike Collier,1435
tarrant:2442,LIB,Shanna Steele,54
tarrant:2442,REP,Dan Patrick,992
tarrant:2461,DEM,Mike Collier,520
tarrant:2461,LIB,Shanna Steele,26
tarrant:2461,REP,Dan Patrick,182
tarrant:2467,DEM,Mike Collier,754
tarrant:2467,LIB,Shanna Steele,28
tarrant:2467,REP,Dan Patrick,303
tarrant:2484,DEM,Mike Collier,1100
tarrant:2484,LIB,Shanna Steele,44
tarrant:2484,REP,Dan Patrick,566
tarrant:2536,DEM,Mike Collier,532
tarrant:2536,LIB,Shanna Steele,27
tarrant:2536,REP,Dan Patrick,397
tarrant:2537,DEM,Mike Collier,365
tarrant:2537,LIB,Shanna Steele,25
tarrant:2537,REP,Dan Patrick,135
tarrant:2546,DEM,Mike Collier,18
tarrant:2546,LIB,Shanna Steele,0
tarrant:2546,REP,Dan Patrick,4
tarrant:2561,DEM,Mike Collier,0
tarrant:2561,LIB,Shanna Steele,0
tarrant:2561,REP,Dan Patrick,0
