precinct,party,candidate,votes
tarrant:1004,DEM,Dana Huffman,587
tarrant:1004,REP,Scott Walker,549
tarrant:1009,DEM,Dana Huffman,302
tarrant:1009,REP,Scott Walker,490
tarrant:1012,DEM,Dana Huffman,678
tarrant:1012,REP,Scott Walker,368
tarrant:1013,DEM,Dana Huffman,745
tarrant:1013,REP,Scott Walker,123
tarrant:1014,DEM,Dana Huffman,144
tarrant:1014,REP,Scott Walker,103
tarrant:1021,DEM,Dana Huffman,549
tarrant:1021,REP,Scott Walker,1080
tarrant:1022,DEM,Dana Huffman,311
tarrant:1022,REP,Scott Walker,355
tarrant:1023,DEM,Dana Huffman,1028
tarrant:1023,REP,Scott Walker,858
tarrant:1024,DEM,Dana Huffman,688
tarrant:1024,REP,Scott Walker,1046
tarrant:1025,DEM,Dana Huffman,498
tarrant:1025,REP,Scott Walker,263
tarrant:1034,DEM,Dana Huffman,418
tarrant:1034,REP,Scott Walker,1480
tarrant:1071,DEM,Dana Huffman,505
tarrant:1071,REP,Scott Walker,248
tarrant:1074,DEM,Dana Huffman,189
tarrant:1074,REP,Scott Walker,35
tarrant:1078,DEM,Dana Huffman,276
tarrant:1078,REP,Scott Walker,33
tarrant:1079,DEM,Dana Huffman,330
tarrant:1079,REP,Scott Walker,34
tarrant:1080,DEM,Dana Huffman,323
tarrant:1080,REP,Scott Walker,23
tarrant:1081,DEM,Dana Huffman,161
tarrant:1081,REP,Scott Walker,231
tarrant:1083,DEM,Dana Huffman,264
tarrant:1083,REP,Scott Walker,56
tarrant:1084,DEM,Dana Huffman,0
tarrant:1084,REP,Scott Walker,0
tarrant:1085,DEM,Dana Huffman,136
tarrant:1085,REP,Scott Walker,118
tarrant:1089,DEM,Dana Huffman,426
tarrant:1089,REP,Scott Walker,31
tarrant:1090,DEM,Dana Huffman,347
tarrant:1090,REP,Scott Walker,41
tarrant:1095,DEM,Dana Huffman,212
tarrant:1095,REP,Scott Walker,327
tarrant:1098,DEM,Dana Huffman,413
tarrant:1098,REP,Scott Walker,49
tarrant:1099,DEM,Dana Huffman,188
tarrant:1099,REP,Scott Walker,61
tarrant:1103,DEM,Dana Huffman,347
tarrant:1103,REP,Scott Walker,664
tarrant:1104,DEM,Dana Huffman,876
tarrant:1104,REP,Scott Walker,91
tarrant:1105,DEM,Dana Huffman,477
tarrant:1105,REP,Scott Walker,512
tarrant:1106,DEM,Dana Huffman,673
tarrant:1106,REP,Scott Walker,33
tarrant:1117,DEM,Dana Huffman,549
tarrant:1117,REP,Scott Walker,611
tarrant:1119,DEM,Dana Huffman,1112
tarrant:1119,REP,Scott Walker,586
tarrant:1120,DEM,Dana Huffman,952
tarrant:1120,REP,Scott Walker,72
tarrant:1126,DEM,Dana Huffman,572
tarrant:1126,REP,Scott Walker,271
tarrant:1127,DEM,Dana Huffman,514
tarrant:1127,REP,Scott Walker,42
tarrant:1132,DEM,Dana Huffman,439
tarrant:1132,REP,Scott Walker,31
tarrant:1133,DEM,Dana Huffman,581
tarrant:1133,REP,Scott Walker,419
tarrant:1142,DEM,Dana Huffman,366
tarrant:1142,REP,Scott Walker,334
tarrant:1149,DEM,Dana Huffman,696
tarrant:1149,REP,Scott Walker,194
tarrant:1150,DEM,Dana Huffman,443
tarrant:1150,REP,Scott Walker,162
tarrant:1153,DEM,Dana Huffman,622
tarrant:1153,REP,Scott Walker,53
tarrant:1154,DEM,Dana Huffman,171
tarrant:1154,REP,Scott Walker,46
tarrant:1165,DEM,Dana Huffman,88
tarrant:1165,REP,Scott Walker,46
tarrant:1167,DEM,Dana Huffman,424
tarrant:1167,REP,Scott Walker,359
tarrant:1184,DEM,Dana Huffman,205
tarrant:1184,REP,Scott Walker,179
tarrant:1186,DEM,Dana Huffman,416
tarrant:1186,REP,Scott Walker,601
tarrant:1188,DEM,Dana Huffman,199
tarrant:1188,REP,Scott Walker,8
tarrant:1189,DEM,Dana Huffman,687
tarrant:1189,REP,Scott Walker,598
tarrant:1207,DEM,Dana Huffman,642
tarrant:1207,REP,Scott Walker,520
tarrant:1211,DEM,Dana Huffman,663
tarrant:1211,REP,Scott Walker,58
tarrant:1237,DEM,Dana Huffman,163
tarrant:1237,REP,Scott Walker,94
tarrant:1238,DEM,Dana Huffman,814
tarrant:1238,REP,Scott Walker,431
tarrant:1241,DEM,Dana Huffman,48
tarrant:1241,REP,Scott Walker,24
tarrant:1244,DEM,Dana Huffman,25
tarrant:1244,REP,Scott Walker,66
tarrant:1251,DEM,Dana Huffman,846
tarrant:1251,REP,Scott Walker,189
tarrant:1255,DEM,Dana Huffman,975
tarrant:1255,REP,Scott Walker,457
tarrant:1257,DEM,Dana Huffman,415
tarrant:1257,REP,Scott Walker,240
tarrant:1264,DEM,Dana Huffman,476
tarrant:1264,REP,Scott Walker,490
tarrant:1265,DEM,Dana Huffman,590
tarrant:1265,REP,Scott Walker,471
tarrant:1270,DEM,Dana Huffman,142
tarrant:1270,REP,Scott Walker,128
tarrant:1271,DEM,Dana Huffman,382
tarrant:1271,REP,Scott Walker,1062
tarrant:1273,DEM,Dana Huffman,517
tarrant:1273,REP,Scott Walker,288
tarrant:1278,DEM,Dana Huffman,710
tarrant:1278,REP,Scott Walker,146
tarrant:1279,DEM,Dana Huffman,706
tarrant:1279,REP,Scott Walker,252
tarrant:1291,DEM,Dana Huffman,715
tarrant:1291,REP,Scott Walker,42
tarrant:1292,DEM,Dana Huffman,443
tarrant:1292,REP,Scott Walker,142
tarrant:1293,DEM,Dana Huffman,397
tarrant:1293,REP,Scott Walker,90
tarrant:1294,DEM,Dana Huffman,597
tarrant:1294,REP,Scott Walker,907
tarrant:1295,DEM,Dana Huffman,202
tarrant:1295,REP,Scott Walker,127
tarrant:1296,DEM,Dana Huffman,664
tarrant:1296,REP,Scott Walker,861
tarrant:1297,DEM,Dana Huffman,858
tarrant:1297,REP,Scott Walker,55
tarrant:1298,DEM,Dana Huffman,661
tarrant:1298,REP,Scott Walker,568
tarrant:1300,DEM,Dana Huffman,707
tarrant:1300,REP,Scott Walker,361
tarrant:1301,DEM,Dana Huffman,711
tarrant:1301,REP,Scott Walker,140
tarrant:1311,DEM,Dana Huffman,689
tarrant:1311,REP,Scott Walker,200
tarrant:1339,DEM,Dana Huffman,639
tarrant:1339,REP,Scott Walker,828
tarrant:1345,DEM,Dana Huffman,147
tarrant:1345,REP,Scott Walker,134
tarrant:1346,DEM,Dana Huffman,237
tarrant:1346,REP,Scott Walker,27
tarrant:1347,DEM,Dana Huffman,1151
tarrant:1347,REP,Scott Walker,788
tarrant:1348,DEM,Dana Huffman,168
tarrant:1348,REP,Scott Walker,495
tarrant:1351,DEM,Dana Huffman,0
tarrant:1351,REP,Scott Walker,0
tarrant:1352,DEM,Dana Huffman,100
tarrant:1352,REP,Scott Walker,259
tarrant:1366,DEM,Dana Huffman,0
tarrant:1366,REP,Scott Walker,6
tarrant:1377,DEM,Dana Huffman,983
tarrant:1377,REP,Scott Walker,945
tarrant:1378,DEM,Dana Huffman,1041
tarrant:1378,REP,Scott Walker,366
tarrant:1394,DEM,Dana Huffman,0
tarrant:1394,REP,Scott Walker,0
tarrant:1407,DEM,Dana Huffman,19
tarrant:1407,REP,Scott Walker,8
tarrant:1412,DEM,Dana Huffman,0
tarrant:1412,REP,Scott Walker,0
tarrant:1414,DEM,Dana Huffman,19
tarrant:1414,REP,Scott Walker,1
tarrant:1418,DEM,Dana Huffman,0
tarrant:1418,REP,Scott Walker,0
tarrant:1423,DEM,Dana Huffman,537
tarrant:1423,REP,Scott Walker,1231
tarrant:1424,DEM,Dana Huffman,0
tarrant:1424,REP,Scott Walker,6
tarrant:1427,DEM,Dana Huffman,1
tarrant:1427,REP,Scott Walker,1
tarrant:1431,DEM,Dana Huffman,312
tarrant:1431,REP,Scott Walker,847
tarrant:1436,DEM,Dana Huffman,414
tarrant:1436,REP,Scott Walker,205
tarrant:1439,DEM,Dana Huffman,58
tarrant:1439,REP,Scott Walker,9
tarrant:1440,DEM,Dana Huffman,585
tarrant:1440,REP,Scott Walker,197
tarrant:1444,DEM,Dana Huffman,42
tarrant:1444,REP,Scott Walker,12
tarrant:1445,DEM,Dana Huffman,16
tarrant:1445,REP,Scott Walker,3
tarrant:1459,DEM,Dana Huffman,575
tarrant:1459,REP,Scott Walker,187
tarrant:1472,DEM,Dana Huffman,55
tarrant:1472,REP,Scott Walker,132
tarrant:1477,DEM,Dana Huffman,240
tarrant:1477,REP,Scott Walker,44
tarrant:1481,DEM,Dana Huffman,97
tarrant:1481,REP,Scott Walker,33
tarrant:1482,DEM,Dana Huffman,158
tarrant:1482,REP,Scott Walker,30
tarrant:1489,DEM,Dana Huffman,639
tarrant:1489,REP,Scott Walker,233
tarrant:1501,DEM,Dana Huffman,129
tarrant:1501,REP,Scott Walker,81
tarrant:1504,DEM,Dana Huffman,217
tarrant:1504,REP,Scott Walker,902
tarrant:1514,DEM,Dana Huffman,0
tarrant:1514,REP,Scott Walker,0
tarrant:1515,DEM,Dana Huffman,4
tarrant:1515,REP,Scott Walker,9
tarrant:1518,DEM,Dana Huffman,214
tarrant:1518,REP,Scott Walker,58
tarrant:1543,DEM,Dana Huffman,283
tarrant:1543,REP,Scott Walker,58
tarrant:1555,DEM,Dana Huffman,0
tarrant:1555,REP,Scott Walker,1
tarrant:1559,DEM,Dana Huffman,61
tarrant:1559,REP,Scott Walker,20
tarrant:1576,DEM,Dana Huffman,49
tarrant:1576,REP,Scott Walker,6
tarrant:1577,DEM,Dana Huffman,303
tarrant:1577,REP,Scott Walker,62
tarrant:1578,DEM,Dana Huffman,387
tarrant:1578,REP,Scott Walker,147
tarrant:1594,DEM,Dana Huffman,0
tarrant:1594,REP,Scott Walker,0
tarrant:1597,DEM,Dana Huffman,120
tarrant:1597,REP,Scott Walker,26
tarrant:1605,DEM,Dana Huffman,0
tarrant:1605,REP,Scott Walker,0
tarrant:1619,DEM,Dana Huffman,6
tarrant:1619,REP,Scott Walker,2
tarrant:1621,DEM,Dana Huffman,73
tarrant:1621,REP,Scott Walker,26
tarrant:1627,DEM,Dana Huffman,50
tarrant:1627,REP,Scott Walker,92
tarrant:1639,DEM,Dana Huffman,527
tarrant:1639,REP,Scott Walker,125
tarrant:1641,DEM,Dana Huffman,1447
tarrant:1641,REP,Scott Walker,845
tarrant:1642,DEM,Dana Huffman,753
tarrant:1642,REP,Scott Walker,302
tarrant:1651,DEM,Dana Huffman,0
tarrant:1651,REP,Scott Walker,0
tarrant:1652,DEM,Dana Huffman,53
tarrant:1652,REP,Scott Walker,1
tarrant:1676,DEM,Dana Huffman,82
tarrant:1676,REP,Scott Walker,35
tarrant:1704,DEM,Dana Huffman,390
tarrant:1704,REP,Scott Walker,733
tarrant:1710,DEM,Dana Huffman,268
tarrant:1710,REP,Scott Walker,396
tarrant:1715,DEM,Dana Huffman,295
tarrant:1715,REP,Scott Walker,267
tarrant:1717,DEM,Dana Huffman,433
tarrant:1717,REP,Scott Walker,433
tarrant:1718,DEM,Dana Huffman,354
tarrant:1718,REP,Scott Walker,277
tarrant:1723,DEM,Dana Huffman,788
tarrant:1723,REP,Scott Walker,373
tarrant:1734,DEM,Dana Huffman,1107
tarrant:1734,REP,Scott Walker,307
tarrant:1738,DEM,Dana Huffman,4
tarrant:1738,REP,Scott Walker,15
tarrant:1739,DEM,Dana Huffman,7
tarrant:1739,REP,Scott Walker,0
tarrant:1740,DEM,Dana Huffman,0
tarrant:1740,REP,Scott Walker,0
tarrant:1747,DEM,Dana Huffman,0
tarrant:1747,REP,Scott Walker,0
tarrant:1749,DEM,Dana Huffman,0
tarrant:1749,REP,Scott Walker,0
tarrant:1752,DEM,Dana Huffman,0
tarrant:1752,REP,Scott Walker,0
tarrant:1753,DEM,Dana Huffman,0
tarrant:1753,REP,Scott Walker,0
tarrant:1801,DEM,Dana Huffman,0
tarrant:1801,REP,Scott Walker,0
