Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
dallas:2001,4,0,11,15,0.2666666667,0.0000000000,0.7333333333,Dem,3
dallas:2002,309,13,494,816,0.3786764706,0.0159313725,0.6053921569,Dem,2
dallas:2003,896,19,871,1786,0.5016797312,0.0106382979,0.4876819709,Rep,1
dallas:2004,790,18,635,1443,0.5474705475,0.0124740125,0.4400554401,Rep,2
dallas:2005,309,10,386,705,0.4382978723,0.0141843972,0.5475177305,Dem,2
dallas:2006,525,12,527,1064,0.4934210526,0.0112781955,0.4953007519,Dem,1
dallas:2007,1211,28,871,2110,0.5739336493,0.0132701422,0.4127962085,Rep,2
dallas:2008,541,12,414,967,0.5594622544,0.0124095140,0.4281282316,Rep,2
dallas:2011,783,16,596,1395,0.5612903226,0.0114695341,0.4272401434,Rep,2
dallas:2015,310,12,323,645,0.4806201550,0.0186046512,0.5007751938,Dem,1
dallas:2016,1362,19,958,2339,0.5823001283,0.0081231295,0.4095767422,Rep,2
dallas:2018,336,7,284,627,0.5358851675,0.0111642743,0.4529505582,Rep,1
dallas:2019,662,14,568,1244,0.5321543408,0.0112540193,0.4565916399,Rep,1
dallas:2025,1123,17,742,1882,0.5967056323,0.0090329437,0.3942614240,Rep,2
dallas:2026,1319,19,736,2074,0.6359691418,0.0091610415,0.3548698168,Rep,2
dallas:2027,705,11,421,1137,0.6200527704,0.0096745822,0.3702726473,Rep,2
dallas:2028,0,0,1,1,0.0000000000,0.0000000000,1.0000000000,Dem,3
dallas:2030,1087,14,391,1492,0.7285522788,0.0093833780,0.2620643432,Rep,3
dallas:2041,1519,27,1146,2692,0.5642644874,0.0100297177,0.4257057949,Rep,2
dallas:2048,684,33,1224,1941,0.3523956723,0.0170015456,0.6306027821,Dem,2
dallas:2049,452,13,536,1001,0.4515484515,0.0129870130,0.5354645355,Dem,1
dallas:2050,464,14,507,985,0.4710659898,0.0142131980,0.5147208122,Dem,1
dallas:2051,788,24,823,1635,0.4819571865,0.0146788991,0.5033639144,Dem,1
dallas:2052,588,11,365,964,0.6099585062,0.0114107884,0.3786307054,Rep,2
