precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
brazoria:1,115,797,3879,84,3425,8300,1.39%,9.60%,46.73%,1.01%,41.27%
brazoria:2,66,815,1296,126,3741,6044,1.09%,13.48%,21.44%,2.08%,61.90%
brazoria:4,61,1028,1290,87,3299,5765,1.06%,17.83%,22.38%,1.51%,57.22%
brazoria:5,22,262,1310,85,1895,3574,0.62%,7.33%,36.65%,2.38%,53.02%
brazoria:6,28,80,596,90,1604,2398,1.17%,3.34%,24.85%,3.75%,66.89%
brazoria:7,31,781,3261,0,1433,5497,0.56%,14.21%,59.32%,0.00%,26.07%
brazoria:8,15,54,437,42,905,1453,1.03%,3.72%,30.08%,2.89%,62.28%
brazoria:10,7,36,479,49,912,1483,0.47%,2.43%,32.30%,3.30%,61.50%
brazoria:14,73,995,1374,146,5071,7659,0.95%,12.99%,17.94%,1.91%,66.21%
brazoria:15,57,243,855,93,2928,4176,1.36%,5.82%,20.47%,2.23%,70.11%
brazoria:17,65,677,3666,0,1559,5939,1.09%,11.40%,61.73%,0.00%,26.25%
brazoria:19,23,507,2987,12,1273,4802,0.48%,10.56%,62.20%,0.25%,26.51%
brazoria:20,21,161,743,47,1529,2501,0.84%,6.44%,29.71%,1.88%,61.14%
brazoria:22,135,233,1082,108,3635,5193,2.60%,4.49%,20.84%,2.08%,70.00%
brazoria:23,180,577,2769,143,4058,7727,2.33%,7.47%,35.84%,1.85%,52.52%
brazoria:24,28,88,923,25,1207,2271,1.23%,3.87%,40.64%,1.10%,53.15%
brazoria:30,215,531,884,111,2781,4522,4.75%,11.74%,19.55%,2.45%,61.50%
brazoria:31,17,86,637,46,1221,2007,0.85%,4.29%,31.74%,2.29%,60.84%
brazoria:32,35,289,938,90,2752,4104,0.85%,7.04%,22.86%,2.19%,67.06%
brazoria:33,7,404,471,70,1905,2857,0.25%,14.14%,16.49%,2.45%,66.68%
brazoria:35,16,39,659,86,1687,2487,0.64%,1.57%,26.50%,3.46%,67.83%
brazoria:38,15,24,78,39,663,819,1.83%,2.93%,9.52%,4.76%,80.95%
brazoria:43,522,798,2455,112,4381,8268,6.31%,9.65%,29.69%,1.35%,52.99%
brazoria:45,145,372,1520,96,3079,5212,2.78%,7.14%,29.16%,1.84%,59.08%
brazoria:48,115,778,2796,92,2378,6159,1.87%,12.63%,45.40%,1.49%,38.61%
brazoria:49,22,69,350,65,1923,2429,0.91%,2.84%,14.41%,2.68%,79.17%
brazoria:75,148,505,2096,62,2779,5590,2.65%,9.03%,37.50%,1.11%,49.71%
colorado:101,54,631,1200,1,2026,3912,1.38%,16.13%,30.67%,0.03%,51.79%
colorado:102,1,44,105,14,258,422,0.24%,10.43%,24.88%,3.32%,61.14%
colorado:103,5,72,236,8,594,915,0.55%,7.87%,25.79%,0.87%,64.92%
colorado:201,17,441,1071,33,2810,4372,0.39%,10.09%,24.50%,0.75%,64.27%
colorado:202,6,22,166,18,532,744,0.81%,2.96%,22.31%,2.42%,71.51%
colorado:302,13,27,100,14,1122,1276,1.02%,2.12%,7.84%,1.10%,87.93%
colorado:303,4,9,39,23,700,775,0.52%,1.16%,5.03%,2.97%,90.32%
colorado:304,2,14,87,12,555,670,0.30%,2.09%,12.99%,1.79%,82.84%
colorado:305,13,223,512,22,1631,2401,0.54%,9.29%,21.32%,0.92%,67.93%
colorado:401,5,106,223,13,321,668,0.75%,15.87%,33.38%,1.95%,48.05%
colorado:402,12,946,2251,0,1212,4402,0.27%,21.49%,51.14%,0.00%,27.53%
fort-bend:1002,16,435,496,3,75,1025,1.56%,42.44%,48.39%,0.29%,7.32%
fort-bend:1010,79,480,2267,150,4079,7055,1.12%,6.80%,32.13%,2.13%,57.82%
fort-bend:1015,44,127,1216,13,1075,2475,1.78%,5.13%,49.13%,0.53%,43.43%
