precinct,party,candidate,votes
fort-bend:1002,DEM,Kathy Cheng,337
fort-bend:1002,REP,Jane Bland,63
fort-bend:1010,DEM,Kathy Cheng,549
fort-bend:1010,REP,Jane Bland,2424
fort-bend:1015,DEM,Kathy Cheng,233
fort-bend:1015,REP,Jane Bland,720
fort-bend:1018,DEM,Kathy Cheng,272
fort-bend:1018,REP,Jane Bland,1233
fort-bend:1021,DEM,Kathy Cheng,54
fort-bend:1021,REP,Jane Bland,513
fort-bend:1024,DEM,Kathy Cheng,165
fort-bend:1024,REP,Jane Bland,574
fort-bend:1068,DEM,Kathy Cheng,22
fort-bend:1068,REP,Jane Bland,335
fort-bend:1087,DEM,Kathy Cheng,535
fort-bend:1087,REP,Jane Bland,1018
fort-bend:1097,DEM,Kathy Cheng,1824
fort-bend:1097,REP,Jane Bland,2023
fort-bend:1109,DEM,Kathy Cheng,369
fort-bend:1109,REP,Jane Bland,358
fort-bend:1118,DEM,Kathy Cheng,2536
fort-bend:1118,REP,Jane Bland,3021
fort-bend:1120,DEM,Kathy Cheng,777
fort-bend:1120,REP,Jane Bland,1629
fort-bend:1128,DEM,Kathy Cheng,871
fort-bend:1128,REP,Jane Bland,1850
fort-bend:1152,DEM,Kathy Cheng,467
fort-bend:1152,REP,Jane Bland,720
fort-bend:2016,DEM,Kathy Cheng,1453
fort-bend:2016,REP,Jane Bland,1216
fort-bend:2043,DEM,Kathy Cheng,363
fort-bend:2043,REP,Jane Bland,137
fort-bend:3004,DEM,Kathy Cheng,1007
fort-bend:3004,REP,Jane Bland,1706
fort-bend:3006,DEM,Kathy Cheng,2575
fort-bend:3006,REP,Jane Bland,5280
fort-bend:3009,DEM,Kathy Cheng,722
fort-bend:3009,REP,Jane Bland,1602
fort-bend:3014,DEM,Kathy Cheng,1709
fort-bend:3014,REP,Jane Bland,3230
fort-bend:3019,DEM,Kathy Cheng,175
fort-bend:3019,REP,Jane Bland,582
fort-bend:3038,DEM,Kathy Cheng,1806
fort-bend:3038,REP,Jane Bland,2398
fort-bend:3053,DEM,Kathy Cheng,0
fort-bend:3053,REP,Jane Bland,1
fort-bend:3069,DEM,Kathy Cheng,167
fort-bend:3069,REP,Jane Bland,173
fort-bend:3122,DEM,Kathy Cheng,914
fort-bend:3122,REP,Jane Bland,1969
fort-bend:3130,DEM,Kathy Cheng,1524
fort-bend:3130,REP,Jane Bland,2316
fort-bend:3133,DEM,Kathy Cheng,982
fort-bend:3133,REP,Jane Bland,1913
fort-bend:3142,DEM,Kathy Cheng,1365
fort-bend:3142,REP,Jane Bland,1866
fort-bend:3143,DEM,Kathy Cheng,2176
fort-bend:3143,REP,Jane Bland,2962
fort-bend:3144,DEM,Kathy Cheng,1219
fort-bend:3144,REP,Jane Bland,2067
fort-bend:3145,DEM,Kathy Cheng,886
fort-bend:3145,REP,Jane Bland,1170
fort-bend:3146,DEM,Kathy Cheng,2091
fort-bend:3146,REP,Jane Bland,2702
fort-bend:3148,DEM,Kathy Cheng,2806
fort-bend:3148,REP,Jane Bland,5085
fort-bend:3149,DEM,Kathy Cheng,790
fort-bend:3149,REP,Jane Bland,3530
fort-bend:3156,DEM,Kathy Cheng,457
fort-bend:3156,REP,Jane Bland,1409
fort-bend:3159,DEM,Kathy Cheng,972
fort-bend:3159,REP,Jane Bland,1173
fort-bend:4011,DEM,Kathy Cheng,478
fort-bend:4011,REP,Jane Bland,679
fort-bend:4020,DEM,Kathy Cheng,766
fort-bend:4020,REP,Jane Bland,1466
fort-bend:4027,DEM,Kathy Cheng,1
fort-bend:4027,REP,Jane Bland,0
fort-bend:4029,DEM,Kathy Cheng,479
fort-bend:4029,REP,Jane Bland,945
fort-bend:4042,DEM,Kathy Cheng,231
fort-bend:4042,REP,Jane Bland,533
fort-bend:4046,DEM,Kathy Cheng,1145
fort-bend:4046,REP,Jane Bland,1162
fort-bend:4064,DEM,Kathy Cheng,365
fort-bend:4064,REP,Jane Bland,432
fort-bend:4107,DEM,Kathy Cheng,538
fort-bend:4107,REP,Jane Bland,954
fort-bend:4111,DEM,Kathy Cheng,444
fort-bend:4111,REP,Jane Bland,523
fort-bend:4119,DEM,Kathy Cheng,977
fort-bend:4119,REP,Jane Bland,1521
fort-bend:4129,DEM,Kathy Cheng,2827
fort-bend:4129,REP,Jane Bland,2461
fort-bend:4131,DEM,Kathy Cheng,564
fort-bend:4131,REP,Jane Bland,777
fort-bend:4140,DEM,Kathy Cheng,1010
fort-bend:4140,REP,Jane Bland,1347
waller:311,DEM,Kathy Cheng,155
waller:311,REP,Jane Bland,387
waller:312,DEM,Kathy Cheng,194
waller:312,REP,Jane Bland,1042
waller:313,DEM,Kathy Cheng,176
waller:313,REP,Jane Bland,317
waller:418,DEM,Kathy Cheng,556
waller:418,REP,Jane Bland,1721
waller:419,DEM,Kathy Cheng,199
waller:419,REP,Jane Bland,539
waller:420,DEM,Kathy Cheng,387
waller:420,REP,Jane Bland,1178
wharton:101,DEM,Kathy Cheng,566
wharton:101,REP,Jane Bland,943
wharton:102,DEM,Kathy Cheng,414
wharton:102,REP,Jane Bland,1321
wharton:103,DEM,Kathy Cheng,282
wharton:103,REP,Jane Bland,1063
wharton:201,DEM,Kathy Cheng,231
wharton:201,REP,Jane Bland,1773
wharton:202,DEM,Kathy Cheng,356
wharton:202,REP,Jane Bland,185
wharton:203,DEM,Kathy Cheng,1009
wharton:203,REP,Jane Bland,802
wharton:301,DEM,Kathy Cheng,229
