precinct,party,candidate,votes
fort-bend:1002,DEM,Chrysta Castaneda,334
fort-bend:1002,GRN,"Katija ""Kat"" Gruene",5
fort-bend:1002,LIB,Matt Sterett,7
fort-bend:1002,REP,"James ""Jim"" Wright",56
fort-bend:1010,DEM,Chrysta Castaneda,569
fort-bend:1010,GRN,"Katija ""Kat"" Gruene",8
fort-bend:1010,LIB,Matt Sterett,36
fort-bend:1010,REP,"James ""Jim"" Wright",2399
fort-bend:1015,DEM,Chrysta Castaneda,229
fort-bend:1015,GRN,"Katija ""Kat"" Gruene",7
fort-bend:1015,LIB,Matt Sterett,7
fort-bend:1015,REP,"James ""Jim"" Wright",725
fort-bend:1018,DEM,Chrysta Castaneda,273
fort-bend:1018,GRN,"Katija ""Kat"" Gruene",7
fort-bend:1018,LIB,Matt Sterett,13
fort-bend:1018,REP,"James ""Jim"" Wright",1224
fort-bend:1021,DEM,Chrysta Castaneda,55
fort-bend:1021,GRN,"Katija ""Kat"" Gruene",2
fort-bend:1021,LIB,Matt Sterett,12
fort-bend:1021,REP,"James ""Jim"" Wright",505
fort-bend:1024,DEM,Chrysta Castaneda,178
fort-bend:1024,GRN,"Katija ""Kat"" Gruene",3
fort-bend:1024,LIB,Matt Sterett,7
fort-bend:1024,REP,"James ""Jim"" Wright",568
fort-bend:1068,DEM,Chrysta Castaneda,28
fort-bend:1068,GRN,"Katija ""Kat"" Gruene",2
fort-bend:1068,LIB,Matt Sterett,10
fort-bend:1068,REP,"James ""Jim"" Wright",320
fort-bend:1087,DEM,Chrysta Castaneda,537
fort-bend:1087,GRN,"Katija ""Kat"" Gruene",7
fort-bend:1087,LIB,Matt Sterett,25
fort-bend:1087,REP,"James ""Jim"" Wright",982
fort-bend:1097,DEM,Chrysta Castaneda,1777
fort-bend:1097,GRN,"Katija ""Kat"" Gruene",27
fort-bend:1097,LIB,Matt Sterett,84
fort-bend:1097,REP,"James ""Jim"" Wright",1959
fort-bend:1109,DEM,Chrysta Castaneda,362
fort-bend:1109,GRN,"Katija ""Kat"" Gruene",8
fort-bend:1109,LIB,Matt Sterett,11
fort-bend:1109,REP,"James ""Jim"" Wright",354
fort-bend:1118,DEM,Chrysta Castaneda,2533
fort-bend:1118,GRN,"Katija ""Kat"" Gruene",35
fort-bend:1118,LIB,Matt Sterett,98
fort-bend:1118,REP,"James ""Jim"" Wright",2891
fort-bend:1120,DEM,Chrysta Castaneda,794
fort-bend:1120,GRN,"Katija ""Kat"" Gruene",12
fort-bend:1120,LIB,Matt Sterett,35
fort-bend:1120,REP,"James ""Jim"" Wright",1569
fort-bend:1128,DEM,Chrysta Castaneda,866
fort-bend:1128,GRN,"Katija ""Kat"" Gruene",15
fort-bend:1128,LIB,Matt Sterett,39
fort-bend:1128,REP,"James ""Jim"" Wright",1810
fort-bend:1152,DEM,Chrysta Castaneda,466
fort-bend:1152,GRN,"Katija ""Kat"" Gruene",9
fort-bend:1152,LIB,Matt Sterett,20
fort-bend:1152,REP,"James ""Jim"" Wright",699
fort-bend:2016,DEM,Chrysta Castaneda,1391
fort-bend:2016,GRN,"Katija ""Kat"" Gruene",36
fort-bend:2016,LIB,Matt Sterett,37
fort-bend:2016,REP,"James ""Jim"" Wright",1220
fort-bend:2043,DEM,Chrysta Castaneda,353
fort-bend:2043,GRN,"Katija ""Kat"" Gruene",4
fort-bend:2043,LIB,Matt Sterett,11
fort-bend:2043,REP,"James ""Jim"" Wright",137
fort-bend:3004,DEM,Chrysta Castaneda,980
fort-bend:3004,GRN,"Katija ""Kat"" Gruene",30
fort-bend:3004,LIB,Matt Sterett,46
fort-bend:3004,REP,"James ""Jim"" Wright",1659
fort-bend:3006,DEM,Chrysta Castaneda,2574
fort-bend:3006,GRN,"Katija ""Kat"" Gruene",40
fort-bend:3006,LIB,Matt Sterett,138
fort-bend:3006,REP,"James ""Jim"" Wright",5134
fort-bend:3009,DEM,Chrysta Castaneda,710
fort-bend:3009,GRN,"Katija ""Kat"" Gruene",21
fort-bend:3009,LIB,Matt Sterett,38
fort-bend:3009,REP,"James ""Jim"" Wright",1570
fort-bend:3014,DEM,Chrysta Castaneda,1661
fort-bend:3014,GRN,"Katija ""Kat"" Gruene",32
fort-bend:3014,LIB,Matt Sterett,85
fort-bend:3014,REP,"James ""Jim"" Wright",3194
fort-bend:3019,DEM,Chrysta Castaneda,180
fort-bend:3019,GRN,"Katija ""Kat"" Gruene",3
fort-bend:3019,LIB,Matt Sterett,15
fort-bend:3019,REP,"James ""Jim"" Wright",564
fort-bend:3038,DEM,Chrysta Castaneda,1729
fort-bend:3038,GRN,"Katija ""Kat"" Gruene",36
fort-bend:3038,LIB,Matt Sterett,84
fort-bend:3038,REP,"James ""Jim"" Wright",2362
fort-bend:3053,DEM,Chrysta Castaneda,0
fort-bend:3053,GRN,"Katija ""Kat"" Gruene",0
fort-bend:3053,LIB,Matt Sterett,0
fort-bend:3053,REP,"James ""Jim"" Wright",1
fort-bend:3069,DEM,Chrysta Castaneda,168
fort-bend:3069,GRN,"Katija ""Kat"" Gruene",3
fort-bend:3069,LIB,Matt Sterett,7
fort-bend:3069,REP,"James ""Jim"" Wright",167
fort-bend:3122,DEM,Chrysta Castaneda,942
fort-bend:3122,GRN,"Katija ""Kat"" Gruene",24
fort-bend:3122,LIB,Matt Sterett,46
fort-bend:3122,REP,"James ""Jim"" Wright",1885
fort-bend:3130,DEM,Chrysta Castaneda,1525
fort-bend:3130,GRN,"Katija ""Kat"" Gruene",30
fort-bend:3130,LIB,Matt Sterett,82
fort-bend:3130,REP,"James ""Jim"" Wright",2225
fort-bend:3133,DEM,Chrysta Castaneda,967
fort-bend:3133,GRN,"Katija ""Kat"" Gruene",28
fort-bend:3133,LIB,Matt Sterett,55
fort-bend:3133,REP,"James ""Jim"" Wright",1862
fort-bend:3142,DEM,Chrysta Castaneda,1331
fort-bend:3142,GRN,"Katija ""Kat"" Gruene",13
fort-bend:3142,LIB,Matt Sterett,68
fort-bend:3142,REP,"James ""Jim"" Wright",1832
fort-bend:3143,DEM,Chrysta Castaneda,2119
fort-bend:3143,GRN,"Katija ""Kat"" Gruene",37
fort-bend:3143,LIB,Matt Sterett,82
fort-bend:3143,REP,"James ""Jim"" Wright",2900
fort-bend:3144,DEM,Chrysta Castaneda,1209
fort-bend:3144,GRN,"Katija ""Kat"" Gruene",22
fort-bend:3144,LIB,Matt Sterett,45
fort-bend:3144,REP,"James ""Jim"" Wright",2035
fort-bend:3145,DEM,Chrysta Castaneda,869
fort-bend:3145,GRN,"Katija ""Kat"" Gruene",20
fort-bend:3145,LIB,Matt Sterett,31
fort-bend:3145,REP,"James ""Jim"" Wright",1130
fort-bend:3146,DEM,Chrysta Castaneda,2016
fort-bend:3146,GRN,"Katija ""Kat"" Gruene",39
fort-bend:3146,LIB,Matt Sterett,95
fort-bend:3146,REP,"James ""Jim"" Wright",2670
fort-bend:3148,DEM,Chrysta Castaneda,2777
fort-bend:3148,GRN,"Katija ""Kat"" Gruene",41
fort-bend:3148,LIB,Matt Sterett,149
fort-bend:3148,REP,"James ""Jim"" Wright",4967
fort-bend:3149,DEM,Chrysta Castaneda,814
fort-bend:3149,GRN,"Katija ""Kat"" Gruene",17
fort-bend:3149,LIB,Matt Sterett,55
fort-bend:3149,REP,"James ""Jim"" Wright",3446
fort-bend:3156,DEM,Chrysta Castaneda,475
fort-bend:3156,GRN,"Katija ""Kat"" Gruene",15
fort-bend:3156,LIB,Matt Sterett,29
fort-bend:3156,REP,"James ""Jim"" Wright",1354
fort-bend:3159,DEM,Chrysta Castaneda,951
fort-bend:3159,GRN,"Katija ""Kat"" Gruene",17
fort-bend:3159,LIB,Matt Sterett,46
fort-bend:3159,REP,"James ""Jim"" Wright",1134
fort-bend:4011,DEM,Chrysta Castaneda,466
fort-bend:4011,GRN,"Katija ""Kat"" Gruene",9
fort-bend:4011,LIB,Matt Sterett,24
fort-bend:4011,REP,"James ""Jim"" Wright",664
fort-bend:4020,DEM,Chrysta Castaneda,746
fort-bend:4020,GRN,"Katija ""Kat"" Gruene",27
fort-bend:4020,LIB,Matt Sterett,37
fort-bend:4020,REP,"James ""Jim"" Wright",1429
fort-bend:4027,DEM,Chrysta Castaneda,0
fort-bend:4027,GRN,"Katija ""Kat"" Gruene",1
fort-bend:4027,LIB,Matt Sterett,0
fort-bend:4027,REP,"James ""Jim"" Wright",0
fort-bend:4029,DEM,Chrysta Castaneda,499
fort-bend:4029,GRN,"Katija ""Kat"" Gruene",18
fort-bend:4029,LIB,Matt Sterett,30
fort-bend:4029,REP,"James ""Jim"" Wright",888
fort-bend:4042,DEM,Chrysta Castaneda,236
fort-bend:4042,GRN,"Katija ""Kat"" Gruene",8
fort-bend:4042,LIB,Matt Sterett,8
fort-bend:4042,REP,"James ""Jim"" Wright",517
fort-bend:4046,DEM,Chrysta Castaneda,1112
fort-bend:4046,GRN,"Katija ""Kat"" Gruene",26
fort-bend:4046,LIB,Matt Sterett,42
fort-bend:4046,REP,"James ""Jim"" Wright",1130
fort-bend:4064,DEM,Chrysta Castaneda,368
fort-bend:4064,GRN,"Katija ""Kat"" Gruene",7
fort-bend:4064,LIB,Matt Sterett,18
fort-bend:4064,REP,"James ""Jim"" Wright",408
fort-bend:4107,DEM,Chrysta Castaneda,544
fort-bend:4107,GRN,"Katija ""Kat"" Gruene",10
fort-bend:4107,LIB,Matt Sterett,22
fort-bend:4107,REP,"James ""Jim"" Wright",924
