precinct,party,candidate,votes
aransas:1,,Over Votes,0
aransas:1,,Under Votes,8
aransas:1,DEM,Rochelle Mercedes Garza,216
aransas:1,LIB,Mark Ash,30
aransas:1,REP,Ken Paxton,1071
aransas:1A,,Over Votes,0
aransas:1A,,Under Votes,5
aransas:1A,DEM,Rochelle Mercedes Garza,118
aransas:1A,LIB,Mark Ash,17
aransas:1A,REP,Ken Paxton,583
aransas:2,,Over Votes,0
aransas:2,,Under Votes,23
aransas:2,DEM,Rochelle Mercedes Garza,369
aransas:2,LIB,Mark Ash,40
aransas:2,REP,Ken Paxton,1180
aransas:3,,Over Votes,0
aransas:3,,Under Votes,32
aransas:3,DEM,Rochelle Mercedes Garza,628
aransas:3,LIB,Mark Ash,74
aransas:3,REP,Ken Paxton,2071
aransas:4,,Over Votes,0
aransas:4,,Under Votes,35
aransas:4,DEM,Rochelle Mercedes Garza,502
aransas:4,LIB,Mark Ash,69
aransas:4,REP,Ken Paxton,1826
aransas:4A,,Over Votes,0
aransas:4A,,Under Votes,6
aransas:4A,DEM,Rochelle Mercedes Garza,137
aransas:4A,LIB,Mark Ash,15
aransas:4A,REP,Ken Paxton,631
austin:101,,Over Votes,0
austin:101,,Under Votes,5
austin:101,DEM,Rochelle Mercedes Garza,114
austin:101,LIB,Mark Ash,13
austin:101,REP,Ken Paxton,585
austin:102,,Over Votes,0
austin:102,,Under Votes,12
austin:102,DEM,Rochelle Mercedes Garza,146
austin:102,LIB,Mark Ash,20
austin:102,REP,Ken Paxton,641
austin:103,,Over Votes,0
austin:103,,Under Votes,6
austin:103,DEM,Rochelle Mercedes Garza,122
austin:103,LIB,Mark Ash,29
austin:103,REP,Ken Paxton,778
austin:104,,Over Votes,0
austin:104,,Under Votes,7
austin:104,DEM,Rochelle Mercedes Garza,60
austin:104,LIB,Mark Ash,10
austin:104,REP,Ken Paxton,397
austin:205,,Over Votes,0
austin:205,,Under Votes,32
austin:205,DEM,Rochelle Mercedes Garza,243
austin:205,LIB,Mark Ash,51
austin:205,REP,Ken Paxton,1271
austin:206,,Over Votes,0
austin:206,,Under Votes,6
austin:206,DEM,Rochelle Mercedes Garza,108
austin:206,LIB,Mark Ash,23
austin:206,REP,Ken Paxton,758
austin:207,,Over Votes,0
austin:207,,Under Votes,4
austin:207,DEM,Rochelle Mercedes Garza,72
austin:207,LIB,Mark Ash,11
austin:207,REP,Ken Paxton,397
austin:208,,Over Votes,0
austin:208,,Under Votes,6
austin:208,DEM,Rochelle Mercedes Garza,85
austin:208,LIB,Mark Ash,4
austin:208,REP,Ken Paxton,357
austin:309,,Over Votes,0
austin:309,,Under Votes,0
austin:309,DEM,Rochelle Mercedes Garza,37
austin:309,LIB,Mark Ash,10
austin:309,REP,Ken Paxton,390
austin:310,,Over Votes,0
austin:310,,Under Votes,20
austin:310,DEM,Rochelle Mercedes Garza,239
austin:310,LIB,Mark Ash,53
austin:310,REP,Ken Paxton,1134
austin:311,,Over Votes,0
austin:311,,Under Votes,12
austin:311,DEM,Rochelle Mercedes Garza,159
austin:311,LIB,Mark Ash,6
austin:311,REP,Ken Paxton,216
austin:412,,Over Votes,0
austin:412,,Under Votes,6
austin:412,DEM,Rochelle Mercedes Garza,79
austin:412,LIB,Mark Ash,7
austin:412,REP,Ken Paxton,255
austin:413,,Over Votes,0
austin:413,,Under Votes,12
austin:413,DEM,Rochelle Mercedes Garza,114
austin:413,LIB,Mark Ash,17
austin:413,REP,Ken Paxton,703
austin:414,,Over Votes,0
austin:414,,Under Votes,3
austin:414,DEM,Rochelle Mercedes Garza,143
austin:414,LIB,Mark Ash,19
austin:414,REP,Ken Paxton,526
austin:415,,Over Votes,0
austin:415,,Under Votes,15
austin:415,DEM,Rochelle Mercedes Garza,155
austin:415,LIB,Mark Ash,14
austin:415,REP,Ken Paxton,547
calhoun:1,,Over Votes,0
calhoun:1,,Under Votes,14
calhoun:1,DEM,Rochelle Mercedes Garza,209
calhoun:1,LIB,Mark Ash,11
calhoun:1,REP,Ken Paxton,157
calhoun:10,,Over Votes,0
calhoun:10,,Under Votes,12
calhoun:10,DEM,Rochelle Mercedes Garza,103
calhoun:10,LIB,Mark Ash,11
calhoun:10,REP,Ken Paxton,670
calhoun:11,,Over Votes,0
