precinct,party,candidate,votes
aransas:1,,Over Votes,0
aransas:1,,Under Votes,12
aransas:1,DEM,Janet T. Dudding,199
aransas:1,LIB,V. Alonzo Echevarria-Garza,29
aransas:1,REP,Glenn Hegar,1085
aransas:1A,,Over Votes,0
aransas:1A,,Under Votes,5
aransas:1A,DEM,Janet T. Dudding,115
aransas:1A,LIB,V. Alonzo Echevarria-Garza,16
aransas:1A,REP,Glenn Hegar,587
aransas:2,,Over Votes,0
aransas:2,,Under Votes,15
aransas:2,DEM,Janet T. Dudding,359
aransas:2,LIB,V. Alonzo Echevarria-Garza,38
aransas:2,REP,Glenn Hegar,1200
aransas:3,,Over Votes,0
aransas:3,,Under Votes,29
aransas:3,DEM,Janet T. Dudding,569
aransas:3,LIB,V. Alonzo Echevarria-Garza,45
aransas:3,REP,Glenn Hegar,2162
aransas:4,,Over Votes,0
aransas:4,,Under Votes,35
aransas:4,DEM,Janet T. Dudding,462
aransas:4,LIB,V. Alonzo Echevarria-Garza,34
aransas:4,REP,Glenn Hegar,1901
aransas:4A,,Over Votes,0
aransas:4A,,Under Votes,8
aransas:4A,DEM,Janet T. Dudding,125
aransas:4A,LIB,V. Alonzo Echevarria-Garza,16
aransas:4A,REP,Glenn Hegar,640
austin:101,,Over Votes,0
austin:101,,Under Votes,6
austin:101,DEM,Janet T. Dudding,103
austin:101,LIB,V. Alonzo Echevarria-Garza,6
austin:101,REP,Glenn Hegar,602
austin:102,,Over Votes,0
austin:102,,Under Votes,10
austin:102,DEM,Janet T. Dudding,131
austin:102,LIB,V. Alonzo Echevarria-Garza,9
austin:102,REP,Glenn Hegar,669
austin:103,,Over Votes,0
austin:103,,Under Votes,7
austin:103,DEM,Janet T. Dudding,100
austin:103,LIB,V. Alonzo Echevarria-Garza,9
austin:103,REP,Glenn Hegar,819
austin:104,,Over Votes,0
austin:104,,Under Votes,5
austin:104,DEM,Janet T. Dudding,49
austin:104,LIB,V. Alonzo Echevarria-Garza,10
austin:104,REP,Glenn Hegar,410
austin:205,,Over Votes,0
austin:205,,Under Votes,22
austin:205,DEM,Janet T. Dudding,201
austin:205,LIB,V. Alonzo Echevarria-Garza,25
austin:205,REP,Glenn Hegar,1349
austin:206,,Over Votes,0
austin:206,,Under Votes,6
austin:206,DEM,Janet T. Dudding,92
austin:206,LIB,V. Alonzo Echevarria-Garza,14
austin:206,REP,Glenn Hegar,783
austin:207,,Over Votes,0
austin:207,,Under Votes,9
austin:207,DEM,Janet T. Dudding,61
austin:207,LIB,V. Alonzo Echevarria-Garza,4
austin:207,REP,Glenn Hegar,410
austin:208,,Over Votes,0
austin:208,,Under Votes,4
austin:208,DEM,Janet T. Dudding,74
austin:208,LIB,V. Alonzo Echevarria-Garza,3
austin:208,REP,Glenn Hegar,371
austin:309,,Over Votes,0
austin:309,,Under Votes,6
austin:309,DEM,Janet T. Dudding,22
austin:309,LIB,V. Alonzo Echevarria-Garza,3
austin:309,REP,Glenn Hegar,406
austin:310,,Over Votes,0
austin:310,,Under Votes,20
austin:310,DEM,Janet T. Dudding,215
austin:310,LIB,V. Alonzo Echevarria-Garza,19
austin:310,REP,Glenn Hegar,1192
austin:311,,Over Votes,0
austin:311,,Under Votes,11
austin:311,DEM,Janet T. Dudding,140
austin:311,LIB,V. Alonzo Echevarria-Garza,12
austin:311,REP,Glenn Hegar,230
austin:412,,Over Votes,0
austin:412,,Under Votes,7
austin:412,DEM,Janet T. Dudding,74
austin:412,LIB,V. Alonzo Echevarria-Garza,3
austin:412,REP,Glenn Hegar,263
austin:413,,Over Votes,0
austin:413,,Under Votes,9
austin:413,DEM,Janet T. Dudding,82
austin:413,LIB,V. Alonzo Echevarria-Garza,10
austin:413,REP,Glenn Hegar,745
