precinct,party,candidate,votes
bexar:1011,DEM,"Mary ""MJ"" Hegar",192
bexar:1011,GRN,David B. Collins,7
bexar:1011,LIB,Kerry Douglas McKennon,3
bexar:1011,REP,John Cornyn,82
bexar:1014,DEM,"Mary ""MJ"" Hegar",469
bexar:1014,GRN,David B. Collins,12
bexar:1014,LIB,Kerry Douglas McKennon,13
bexar:1014,REP,John Cornyn,137
bexar:1015,DEM,"Mary ""MJ"" Hegar",501
bexar:1015,GRN,David B. Collins,4
bexar:1015,LIB,Kerry Douglas McKennon,17
bexar:1015,REP,John Cornyn,176
bexar:1016,DEM,"Mary ""MJ"" Hegar",424
bexar:1016,GRN,David B. Collins,4
bexar:1016,LIB,Kerry Douglas McKennon,11
bexar:1016,REP,John Cornyn,129
bexar:1017,DEM,"Mary ""MJ"" Hegar",77
bexar:1017,GRN,David B. Collins,1
bexar:1017,LIB,Kerry Douglas McKennon,2
bexar:1017,REP,John Cornyn,47
bexar:1018,DEM,"Mary ""MJ"" Hegar",810
bexar:1018,GRN,David B. Collins,11
bexar:1018,LIB,Kerry Douglas McKennon,15
bexar:1018,REP,John Cornyn,322
bexar:1019,DEM,"Mary ""MJ"" Hegar",289
bexar:1019,GRN,David B. Collins,7
bexar:1019,LIB,Kerry Douglas McKennon,12
bexar:1019,REP,John Cornyn,98
bexar:1020,DEM,"Mary ""MJ"" Hegar",914
bexar:1020,GRN,David B. Collins,10
bexar:1020,LIB,Kerry Douglas McKennon,20
bexar:1020,REP,John Cornyn,355
bexar:1021,DEM,"Mary ""MJ"" Hegar",612
bexar:1021,GRN,David B. Collins,13
bexar:1021,LIB,Kerry Douglas McKennon,20
bexar:1021,REP,John Cornyn,212
bexar:1022,DEM,"Mary ""MJ"" Hegar",342
bexar:1022,GRN,David B. Collins,2
bexar:1022,LIB,Kerry Douglas McKennon,7
bexar:1022,REP,John Cornyn,128
bexar:1023,DEM,"Mary ""MJ"" Hegar",882
bexar:1023,GRN,David B. Collins,14
bexar:1023,LIB,Kerry Douglas McKennon,25
bexar:1023,REP,John Cornyn,257
bexar:1025,DEM,"Mary ""MJ"" Hegar",201
bexar:1025,GRN,David B. Collins,1
bexar:1025,LIB,Kerry Douglas McKennon,8
bexar:1025,REP,John Cornyn,70
bexar:1026,DEM,"Mary ""MJ"" Hegar",430
bexar:1026,GRN,David B. Collins,12
bexar:1026,LIB,Kerry Douglas McKennon,8
bexar:1026,REP,John Cornyn,158
bexar:1028,DEM,"Mary ""MJ"" Hegar",360
bexar:1028,GRN,David B. Collins,3
bexar:1028,LIB,Kerry Douglas McKennon,9
bexar:1028,REP,John Cornyn,145
bexar:1030,DEM,"Mary ""MJ"" Hegar",21
bexar:1030,GRN,David B. Collins,1
bexar:1030,LIB,Kerry Douglas McKennon,2
bexar:1030,REP,John Cornyn,16
bexar:1033,DEM,"Mary ""MJ"" Hegar",621
bexar:1033,GRN,David B. Collins,7
bexar:1033,LIB,Kerry Douglas McKennon,20
bexar:1033,REP,John Cornyn,344
bexar:1034,DEM,"Mary ""MJ"" Hegar",1588
bexar:1034,GRN,David B. Collins,23
bexar:1034,LIB,Kerry Douglas McKennon,81
bexar:1034,REP,John Cornyn,1404
bexar:1035,DEM,"Mary ""MJ"" Hegar",196
bexar:1035,GRN,David B. Collins,6
bexar:1035,LIB,Kerry Douglas McKennon,15
bexar:1035,REP,John Cornyn,237
bexar:1036,DEM,"Mary ""MJ"" Hegar",1214
bexar:1036,GRN,David B. Collins,16
bexar:1036,LIB,Kerry Douglas McKennon,53
bexar:1036,REP,John Cornyn,775
bexar:1037,DEM,"Mary ""MJ"" Hegar",861
bexar:1037,GRN,David B. Collins,9
bexar:1037,LIB,Kerry Douglas McKennon,30
bexar:1037,REP,John Cornyn,360
bexar:1038,DEM,"Mary ""MJ"" Hegar",1112
bexar:1038,GRN,David B. Collins,25
bexar:1038,LIB,Kerry Douglas McKennon,48
bexar:1038,REP,John Cornyn,626
bexar:1039,DEM,"Mary ""MJ"" Hegar",921
bexar:1039,GRN,David B. Collins,34
bexar:1039,LIB,Kerry Douglas McKennon,26
bexar:1039,REP,John Cornyn,360
bexar:1040,DEM,"Mary ""MJ"" Hegar",864
bexar:1040,GRN,David B. Collins,16
bexar:1040,LIB,Kerry Douglas McKennon,22
bexar:1040,REP,John Cornyn,309
bexar:1041,DEM,"Mary ""MJ"" Hegar",728
bexar:1041,GRN,David B. Collins,13
bexar:1041,LIB,Kerry Douglas McKennon,27
bexar:1041,REP,John Cornyn,250
bexar:1042,DEM,"Mary ""MJ"" Hegar",407
bexar:1042,GRN,David B. Collins,6
bexar:1042,LIB,Kerry Douglas McKennon,8
bexar:1042,REP,John Cornyn,169
bexar:1044,DEM,"Mary ""MJ"" Hegar",859
bexar:1044,GRN,David B. Collins,12
bexar:1044,LIB,Kerry Douglas McKennon,15
bexar:1044,REP,John Cornyn,337
bexar:1045,DEM,"Mary ""MJ"" Hegar",1230
bexar:1045,GRN,David B. Collins,16
bexar:1045,LIB,Kerry Douglas McKennon,38
bexar:1045,REP,John Cornyn,548
bexar:1046,DEM,"Mary ""MJ"" Hegar",777
bexar:1046,GRN,David B. Collins,11
bexar:1046,LIB,Kerry Douglas McKennon,21
bexar:1046,REP,John Cornyn,289
bexar:1047,DEM,"Mary ""MJ"" Hegar",615
bexar:1047,GRN,David B. Collins,10
bexar:1047,LIB,Kerry Douglas McKennon,11
bexar:1047,REP,John Cornyn,224
bexar:1048,DEM,"Mary ""MJ"" Hegar",809
bexar:1048,GRN,David B. Collins,14
bexar:1048,LIB,Kerry Douglas McKennon,14
bexar:1048,REP,John Cornyn,359
bexar:1049,DEM,"Mary ""MJ"" Hegar",882
bexar:1049,GRN,David B. Collins,17
bexar:1049,LIB,Kerry Douglas McKennon,27
bexar:1049,REP,John Cornyn,404
bexar:1050,DEM,"Mary ""MJ"" Hegar",506
bexar:1050,GRN,David B. Collins,4
bexar:1050,LIB,Kerry Douglas McKennon,13
bexar:1050,REP,John Cornyn,258
bexar:1051,DEM,"Mary ""MJ"" Hegar",641
bexar:1051,GRN,David B. Collins,17
bexar:1051,LIB,Kerry Douglas McKennon,15
bexar:1051,REP,John Cornyn,424
bexar:1052,DEM,"Mary ""MJ"" Hegar",784
bexar:1052,GRN,David B. Collins,14
bexar:1052,LIB,Kerry Douglas McKennon,23
bexar:1052,REP,John Cornyn,398
bexar:1053,DEM,"Mary ""MJ"" Hegar",79
bexar:1053,GRN,David B. Collins,2
bexar:1053,LIB,Kerry Douglas McKennon,1
bexar:1053,REP,John Cornyn,42
bexar:1054,DEM,"Mary ""MJ"" Hegar",990
bexar:1054,GRN,David B. Collins,22
bexar:1054,LIB,Kerry Douglas McKennon,24
bexar:1054,REP,John Cornyn,442
bexar:1055,DEM,"Mary ""MJ"" Hegar",825
bexar:1055,GRN,David B. Collins,17
bexar:1055,LIB,Kerry Douglas McKennon,30
bexar:1055,REP,John Cornyn,509
bexar:1056,DEM,"Mary ""MJ"" Hegar",1122
bexar:1056,GRN,David B. Collins,18
bexar:1056,LIB,Kerry Douglas McKennon,33
bexar:1056,REP,John Cornyn,713
bexar:1058,DEM,"Mary ""MJ"" Hegar",702
bexar:1058,GRN,David B. Collins,20
bexar:1058,LIB,Kerry Douglas McKennon,24
bexar:1058,REP,John Cornyn,704
bexar:1059,DEM,"Mary ""MJ"" Hegar",133
bexar:1059,GRN,David B. Collins,5
bexar:1059,LIB,Kerry Douglas McKennon,6
bexar:1059,REP,John Cornyn,89
bexar:1060,DEM,"Mary ""MJ"" Hegar",1051
bexar:1060,GRN,David B. Collins,19
bexar:1060,LIB,Kerry Douglas McKennon,31
bexar:1060,REP,John Cornyn,427
bexar:1061,DEM,"Mary ""MJ"" Hegar",896
bexar:1061,GRN,David B. Collins,25
bexar:1061,LIB,Kerry Douglas McKennon,23
bexar:1061,REP,John Cornyn,334
bexar:1062,DEM,"Mary ""MJ"" Hegar",32
bexar:1062,GRN,David B. Collins,1
bexar:1062,LIB,Kerry Douglas McKennon,0
bexar:1062,REP,John Cornyn,64
bexar:1063,DEM,"Mary ""MJ"" Hegar",525
bexar:1063,GRN,David B. Collins,15
bexar:1063,LIB,Kerry Douglas McKennon,23
bexar:1063,REP,John Cornyn,632
bexar:1064,DEM,"Mary ""MJ"" Hegar",362
bexar:1064,GRN,David B. Collins,8
bexar:1064,LIB,Kerry Douglas McKennon,8
bexar:1064,REP,John Cornyn,307
bexar:1065,DEM,"Mary ""MJ"" Hegar",650
bexar:1065,GRN,David B. Collins,13
bexar:1065,LIB,Kerry Douglas McKennon,25
bexar:1065,REP,John Cornyn,708
bexar:1066,DEM,"Mary ""MJ"" Hegar",252
bexar:1066,GRN,David B. Collins,7
bexar:1066,LIB,Kerry Douglas McKennon,6
bexar:1066,REP,John Cornyn,173
bexar:1067,DEM,"Mary ""MJ"" Hegar",798
bexar:1067,GRN,David B. Collins,15
bexar:1067,LIB,Kerry Douglas McKennon,19
bexar:1067,REP,John Cornyn,1105
bexar:1068,DEM,"Mary ""MJ"" Hegar",657
bexar:1068,GRN,David B. Collins,18
bexar:1068,LIB,Kerry Douglas McKennon,44
bexar:1068,REP,John Cornyn,560
bexar:1069,DEM,"Mary ""MJ"" Hegar",183
bexar:1069,GRN,David B. Collins,0
bexar:1069,LIB,Kerry Douglas McKennon,6
bexar:1069,REP,John Cornyn,187
bexar:1073,DEM,"Mary ""MJ"" Hegar",1300
bexar:1073,GRN,David B. Collins,17
bexar:1073,LIB,Kerry Douglas McKennon,57
bexar:1073,REP,John Cornyn,1062
bexar:1075,DEM,"Mary ""MJ"" Hegar",771
bexar:1075,GRN,David B. Collins,12
bexar:1075,LIB,Kerry Douglas McKennon,15
bexar:1075,REP,John Cornyn,320
bexar:1081,DEM,"Mary ""MJ"" Hegar",468
bexar:1081,GRN,David B. Collins,14
bexar:1081,LIB,Kerry Douglas McKennon,15
bexar:1081,REP,John Cornyn,791
bexar:1089,DEM,"Mary ""MJ"" Hegar",583
bexar:1089,GRN,David B. Collins,10
bexar:1089,LIB,Kerry Douglas McKennon,25
bexar:1089,REP,John Cornyn,452
bexar:1090,DEM,"Mary ""MJ"" Hegar",0
bexar:1090,GRN,David B. Collins,0
bexar:1090,LIB,Kerry Douglas McKennon,0
bexar:1090,REP,John Cornyn,0
bexar:1091,DEM,"Mary ""MJ"" Hegar",888
bexar:1091,GRN,David B. Collins,26
bexar:1091,LIB,Kerry Douglas McKennon,24
bexar:1091,REP,John Cornyn,462
bexar:1092,DEM,"Mary ""MJ"" Hegar",394
bexar:1092,GRN,David B. Collins,7
bexar:1092,LIB,Kerry Douglas McKennon,17
bexar:1092,REP,John Cornyn,193
bexar:1093,DEM,"Mary ""MJ"" Hegar",493
bexar:1093,GRN,David B. Collins,7
bexar:1093,LIB,Kerry Douglas McKennon,22
bexar:1093,REP,John Cornyn,308
bexar:1094,DEM,"Mary ""MJ"" Hegar",943
bexar:1094,GRN,David B. Collins,11
bexar:1094,LIB,Kerry Douglas McKennon,47
bexar:1094,REP,John Cornyn,538
bexar:1095,DEM,"Mary ""MJ"" Hegar",84
bexar:1095,GRN,David B. Collins,2
bexar:1095,LIB,Kerry Douglas McKennon,6
bexar:1095,REP,John Cornyn,74
bexar:1097,DEM,"Mary ""MJ"" Hegar",266
bexar:1097,GRN,David B. Collins,4
bexar:1097,LIB,Kerry Douglas McKennon,8
bexar:1097,REP,John Cornyn,132
bexar:1101,DEM,"Mary ""MJ"" Hegar",0
bexar:1101,GRN,David B. Collins,0
bexar:1101,LIB,Kerry Douglas McKennon,0
bexar:1101,REP,John Cornyn,0
bexar:1102,DEM,"Mary ""MJ"" Hegar",271
bexar:1102,GRN,David B. Collins,7
bexar:1102,LIB,Kerry Douglas McKennon,15
bexar:1102,REP,John Cornyn,301
bexar:1103,DEM,"Mary ""MJ"" Hegar",263
bexar:1103,GRN,David B. Collins,5
bexar:1103,LIB,Kerry Douglas McKennon,16
bexar:1103,REP,John Cornyn,274
bexar:1105,DEM,"Mary ""MJ"" Hegar",250
bexar:1105,GRN,David B. Collins,11
bexar:1105,LIB,Kerry Douglas McKennon,11
bexar:1105,REP,John Cornyn,141
bexar:1106,DEM,"Mary ""MJ"" Hegar",0
bexar:1106,GRN,David B. Collins,0
bexar:1106,LIB,Kerry Douglas McKennon,0
bexar:1106,REP,John Cornyn,0
bexar:1107,DEM,"Mary ""MJ"" Hegar",880
bexar:1107,GRN,David B. Collins,16
bexar:1107,LIB,Kerry Douglas McKennon,41
bexar:1107,REP,John Cornyn,764
bexar:1108,DEM,"Mary ""MJ"" Hegar",1787
bexar:1108,GRN,David B. Collins,28
