precinct,party,candidate,votes
collin:104,Dem,DaSean Jones,732
collin:104,Rep,Jimmy Blacklock,381
collin:104,,Over Votes,0
collin:104,,Under Votes,54
collin:110,Dem,DaSean Jones,843
collin:110,Rep,Jimmy Blacklock,1006
collin:110,,Over Votes,0
collin:110,,Under Votes,98
collin:115,Dem,DaSean Jones,993
collin:115,Rep,Jimmy Blacklock,1002
collin:115,,Over Votes,0
collin:115,,Under Votes,128
collin:125,Dem,DaSean Jones,1806
collin:125,Rep,Jimmy Blacklock,1501
collin:125,,Over Votes,0
collin:125,,Under Votes,298
collin:132,Dem,DaSean Jones,1044
collin:132,Rep,Jimmy Blacklock,885
collin:132,,Over Votes,0
collin:132,,Under Votes,87
collin:136,Dem,DaSean Jones,607
collin:136,Rep,Jimmy Blacklock,762
collin:136,,Over Votes,0
collin:136,,Under Votes,58
collin:142,Dem,DaSean Jones,953
collin:142,Rep,Jimmy Blacklock,976
collin:142,,Over Votes,0
collin:142,,Under Votes,111
collin:164,Dem,DaSean Jones,684
collin:164,Rep,Jimmy Blacklock,1021
collin:164,,Over Votes,0
collin:164,,Under Votes,140
collin:24,Dem,DaSean Jones,749
collin:24,Rep,Jimmy Blacklock,408
collin:24,,Over Votes,0
collin:24,,Under Votes,44
collin:36,Dem,DaSean Jones,481
collin:36,Rep,Jimmy Blacklock,962
collin:36,,Over Votes,0
collin:36,,Under Votes,60
collin:48,Dem,DaSean Jones,1365
collin:48,Rep,Jimmy Blacklock,1240
collin:48,,Over Votes,0
collin:48,,Under Votes,107
collin:55,Dem,DaSean Jones,1637
collin:55,Rep,Jimmy Blacklock,927
collin:55,,Over Votes,0
collin:55,,Under Votes,227
collin:73,Dem,DaSean Jones,622
collin:73,Rep,Jimmy Blacklock,446
collin:73,,Over Votes,0
collin:73,,Under Votes,54
collin:74,Dem,DaSean Jones,557
collin:74,Rep,Jimmy Blacklock,744
collin:74,,Over Votes,0
collin:74,,Under Votes,72
collin:78,Dem,DaSean Jones,1664
collin:78,Rep,Jimmy Blacklock,1229
collin:78,,Over Votes,0
collin:78,,Under Votes,160
collin:79,Dem,DaSean Jones,676
collin:79,Rep,Jimmy Blacklock,871
collin:79,,Over Votes,0
collin:79,,Under Votes,113
collin:84,Dem,DaSean Jones,737
collin:84,Rep,Jimmy Blacklock,895
collin:84,,Over Votes,0
collin:84,,Under Votes,73
collin:88,Dem,DaSean Jones,446
collin:88,Rep,Jimmy Blacklock,243
collin:88,,Over Votes,0
collin:88,,Under Votes,37
collin:94,Dem,DaSean Jones,1485
collin:94,Rep,Jimmy Blacklock,1425
collin:94,,Over Votes,0
collin:94,,Under Votes,178
