precinct,party,candidate,votes
bexar:1057,,Write-in,2
bexar:1057,DEM,Joseph R Biden,643
bexar:1057,GRN,Howie Hawkins,4
bexar:1057,LIB,Jo Jorgensen,7
bexar:1057,REP,Donald J Trump,701
bexar:4072,,Write-in,2
bexar:4072,DEM,Joseph R Biden,632
bexar:4072,GRN,Howie Hawkins,1
bexar:4072,LIB,Jo Jorgensen,22
bexar:4072,REP,Donald J Trump,1561
bexar:4074,,Write-in,0
bexar:4074,DEM,Joseph R Biden,574
bexar:4074,GRN,Howie Hawkins,5
bexar:4074,LIB,Jo Jorgensen,21
bexar:4074,REP,Donald J Trump,719
bexar:4078,,Write-in,0
bexar:4078,DEM,Joseph R Biden,231
bexar:4078,GRN,Howie Hawkins,3
bexar:4078,LIB,Jo Jorgensen,5
bexar:4078,REP,Donald J Trump,740
bexar:4086,,Write-in,0
bexar:4086,DEM,Joseph R Biden,117
bexar:4086,GRN,Howie Hawkins,3
bexar:4086,LIB,Jo Jorgensen,1
bexar:4086,REP,Donald J Trump,208
bexar:4121,,Write-in,0
bexar:4121,DEM,Joseph R Biden,56
bexar:4121,GRN,Howie Hawkins,0
bexar:4121,LIB,Jo Jorgensen,0
bexar:4121,REP,Donald J Trump,84
bexar:4180,,Write-in,0
bexar:4180,DEM,Joseph R Biden,0
bexar:4180,GRN,Howie Hawkins,0
bexar:4180,LIB,Jo Jorgensen,0
bexar:4180,REP,Donald J Trump,3
dimmit:1,DEM,Joseph R. Biden/Kamala D.Harris,522
dimmit:1,GRN,Howie Hawkins/Angela Walker,1
dimmit:1,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,5
dimmit:1,REP,Donald J. Trump/Michael R. Pence,399
dimmit:2,DEM,Joseph R. Biden/Kamala D.Harris,566
dimmit:2,GRN,Howie Hawkins/Angela Walker,3
dimmit:2,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,0
dimmit:2,REP,Donald J. Trump/Michael R. Pence,303
dimmit:3,DEM,Joseph R. Biden/Kamala D.Harris,147
dimmit:3,GRN,Howie Hawkins/Angela Walker,3
dimmit:3,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,1
dimmit:3,REP,Donald J. Trump/Michael R. Pence,117
dimmit:4,DEM,Joseph R. Biden/Kamala D.Harris,33
dimmit:4,GRN,Howie Hawkins/Angela Walker,0
dimmit:4,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,0
dimmit:4,REP,Donald J. Trump/Michael R. Pence,32
dimmit:5,DEM,Joseph R. Biden/Kamala D.Harris,448
dimmit:5,GRN,Howie Hawkins/Angela Walker,1
dimmit:5,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,0
dimmit:5,REP,Donald J. Trump/Michael R. Pence,167
dimmit:6,DEM,Joseph R. Biden/Kamala D.Harris,321
dimmit:6,GRN,Howie Hawkins/Angela Walker,0
dimmit:6,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,2
dimmit:6,REP,Donald J. Trump/Michael R. Pence,218
dimmit:7,DEM,Joseph R. Biden/Kamala D.Harris,227
dimmit:7,GRN,Howie Hawkins/Angela Walker,0
dimmit:7,LIB,Jo Jorgensen/Jeremy”Spike”Cohen,2
dimmit:7,REP,Donald J. Trump/Michael R. Pence,148
duval:1,DEM,Joseph R. Biden Kamala D. Harris,730
duval:1,GRN,Howie Hawkins Angela Walker,3
duval:1,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",6
duval:1,REP,Donald J. Trump Michael R. Pence,548
duval:2,DEM,Joseph R. Biden Kamala D. Harris,553
duval:2,GRN,Howie Hawkins Angela Walker,2
duval:2,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",4
duval:2,REP,Donald J. Trump Michael R. Pence,336
duval:3,DEM,Joseph R. Biden Kamala D. Harris,184
duval:3,GRN,Howie Hawkins Angela Walker,1
duval:3,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",1
duval:3,REP,Donald J. Trump Michael R. Pence,85
duval:4,DEM,Joseph R. Biden Kamala D. Harris,42
duval:4,GRN,Howie Hawkins Angela Walker,0
duval:4,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",0
duval:4,REP,Donald J. Trump Michael R. Pence,54
duval:5,DEM,Joseph R. Biden Kamala D. Harris,131
duval:5,GRN,Howie Hawkins Angela Walker,1
