precinct,party,candidate,votes
duval:1,DEM,Judith Zaffirini,826
duval:1,REP,Frank Pomeroy,270
duval:2,DEM,Judith Zaffirini,614
duval:2,REP,Frank Pomeroy,169
duval:3,DEM,Judith Zaffirini,210
duval:3,REP,Frank Pomeroy,56
duval:4,DEM,Judith Zaffirini,53
duval:4,REP,Frank Pomeroy,38
duval:5,DEM,Judith Zaffirini,162
duval:5,REP,Frank Pomeroy,77
duval:6,DEM,Judith Zaffirini,64
duval:6,REP,Frank Pomeroy,18
duval:7,DEM,Judith Zaffirini,39
duval:7,REP,Frank Pomeroy,49
duval:8,DEM,Judith Zaffirini,686
duval:8,REP,Frank Pomeroy,500
duval:9,DEM,Judith Zaffirini,430
duval:9,REP,Frank Pomeroy,146
jim-hogg:1,,Frank Pomeroy,89
jim-hogg:1,,Judith Zaffirini,408
jim-hogg:1,,Over Votes,0
jim-hogg:1,,Under Votes,56
jim-hogg:2,,Frank Pomeroy,97
jim-hogg:2,,Judith Zaffirini,401
jim-hogg:2,,Over Votes,0
jim-hogg:2,,Under Votes,42
jim-hogg:3,,Frank Pomeroy,97
jim-hogg:3,,Judith Zaffirini,335
jim-hogg:3,,Over Votes,0
jim-hogg:3,,Under Votes,51
jim-hogg:4,,Frank Pomeroy,97
jim-hogg:4,,Judith Zaffirini,358
jim-hogg:4,,Over Votes,0
jim-hogg:4,,Under Votes,51
jim-hogg:5,,Frank Pomeroy,4
jim-hogg:5,,Judith Zaffirini,6
jim-hogg:5,,Over Votes,0
jim-hogg:5,,Under Votes,1
la-salle:1,,Over Votes,1
la-salle:1,,Under Votes,105
la-salle:1,DEM,Judith Zaffirini,408
la-salle:1,REP,Frank Pomeroy,294
la-salle:2,,Over Votes,0
la-salle:2,,Under Votes,13
la-salle:2,DEM,Judith Zaffirini,176
la-salle:2,REP,Frank Pomeroy,102
la-salle:3,,Over Votes,0
la-salle:3,,Under Votes,60
la-salle:3,DEM,Judith Zaffirini,317
la-salle:3,REP,Frank Pomeroy,154
la-salle:4,,Over Votes,0
la-salle:4,,Under Votes,7
la-salle:4,DEM,Judith Zaffirini,16
la-salle:4,REP,Frank Pomeroy,39
la-salle:5,,Over Votes,0
la-salle:5,,Under Votes,46
la-salle:5,DEM,Judith Zaffirini,266
la-salle:5,REP,Frank Pomeroy,174
la-salle:6,,Over Votes,0
la-salle:6,,Under Votes,24
la-salle:6,DEM,Judith Zaffirini,145
la-salle:6,REP,Frank Pomeroy,92
live-oak:1,DEM,Judith Zaffirini,70
live-oak:1,REP,Frank Pomeroy,277
live-oak:10,DEM,Judith Zaffirini,90
live-oak:10,REP,Frank Pomeroy,246
live-oak:11,DEM,Judith Zaffirini,9
live-oak:11,REP,Frank Pomeroy,57
live-oak:12,DEM,Judith Zaffirini,20
live-oak:12,REP,Frank Pomeroy,100
live-oak:13,DEM,Judith Zaffirini,64
live-oak:13,REP,Frank Pomeroy,317
live-oak:14,DEM,Judith Zaffirini,161
live-oak:14,REP,Frank Pomeroy,548
live-oak:2,DEM,Judith Zaffirini,128
live-oak:2,REP,Frank Pomeroy,592
live-oak:3,DEM,Judith Zaffirini,198
live-oak:3,REP,Frank Pomeroy,272
live-oak:4,DEM,Judith Zaffirini,149
live-oak:4,REP,Frank Pomeroy,512
live-oak:5,DEM,Judith Zaffirini,35
live-oak:5,REP,Frank Pomeroy,214
live-oak:6,DEM,Judith Zaffirini,48
live-oak:6,REP,Frank Pomeroy,117
live-oak:7,DEM,Judith Zaffirini,8
live-oak:7,REP,Frank Pomeroy,14
live-oak:8,DEM,Judith Zaffirini,19
live-oak:8,REP,Frank Pomeroy,85
live-oak:9,DEM,Judith Zaffirini,228
live-oak:9,REP,Frank Pomeroy,370
travis:401,DEM,Judith Zaffirini,1323
travis:401,REP,Frank Pomeroy,555
travis:402,DEM,Judith Zaffirini,1958
travis:402,REP,Frank Pomeroy,612
travis:403,DEM,Judith Zaffirini,595
travis:403,REP,Frank Pomeroy,373
travis:404,DEM,Judith Zaffirini,3233
travis:404,REP,Frank Pomeroy,898
travis:405,DEM,Judith Zaffirini,1076
travis:405,REP,Frank Pomeroy,305
travis:410,DEM,Judith Zaffirini,2138
travis:410,REP,Frank Pomeroy,417
travis:413,DEM,Judith Zaffirini,1315
travis:413,REP,Frank Pomeroy,283
travis:418,DEM,Judith Zaffirini,1
travis:418,REP,Frank Pomeroy,2
travis:419,DEM,Judith Zaffirini,297
travis:419,REP,Frank Pomeroy,133
travis:420,DEM,Judith Zaffirini,1950
travis:420,REP,Frank Pomeroy,301
travis:423,DEM,Judith Zaffirini,2353
travis:423,REP,Frank Pomeroy,386
travis:425,DEM,Judith Zaffirini,412
travis:425,REP,Frank Pomeroy,121
travis:429,DEM,Judith Zaffirini,4481
travis:429,REP,Frank Pomeroy,861
travis:431,DEM,Judith Zaffirini,3967
travis:431,REP,Frank Pomeroy,531
travis:440,DEM,Judith Zaffirini,734
travis:440,REP,Frank Pomeroy,192
travis:441,DEM,Judith Zaffirini,2692
travis:441,REP,Frank Pomeroy,541
travis:443,DEM,Judith Zaffirini,1917
travis:443,REP,Frank Pomeroy,396
travis:448,DEM,Judith Zaffirini,1599
travis:448,REP,Frank Pomeroy,328
travis:450,DEM,Judith Zaffirini,2917
travis:450,REP,Frank Pomeroy,703
travis:451,DEM,Judith Zaffirini,2075
travis:451,REP,Frank Pomeroy,457
travis:452,DEM,Judith Zaffirini,1222
travis:452,REP,Frank Pomeroy,235
travis:463,DEM,Judith Zaffirini,2314
travis:463,REP,Frank Pomeroy,575
zapata:1,DEM,Judith Zaffirini,625
zapata:1,REP,Frank Pomery,282
zapata:2,DEM,Judith Zaffirini,608
zapata:2,REP,Frank Pomery,276
zapata:3,DEM,Judith Zaffirini,617
zapata:3,REP,Frank Pomery,404
zapata:4,DEM,Judith Zaffirini,437
zapata:4,REP,Frank Pomery,187
