precinct,registered,ballots_cast,blank
collingsworth:101,559,,
collingsworth:201,385,,
collingsworth:202,54,,
collingsworth:301,406,,
collingsworth:302,67,,
collingsworth:401,369,,
collingsworth:402,100,,
cottle:101,302,,
cottle:201,256,,
cottle:301,234,,
cottle:401,246,,
dickens:1,100,,
dickens:2,114,,
dickens:3,337,,
dickens:4,269,,
dickens:5,200,,
dickens:6,307,,
donley:101,183,,
donley:102,331,,
donley:201,693,,
donley:301,218,,
donley:303,303,,
donley:401,584,,
fisher:1,681,,
fisher:10,551,,
fisher:12,681,,
fisher:4,733,,
garza:1,545,,
garza:2,736,,
garza:3,629,,
garza:4,509,,
garza:5,124,,
garza:6,135,,
hardeman:1,675,,
hardeman:2,565,,
hardeman:3,604,,
hardeman:4,638,,
haskell:1,391,,
haskell:10,142,,
haskell:2,700,,
haskell:3,624,,
haskell:4,297,,
haskell:5,374,,
haskell:6,339,,
haskell:7,112,,
haskell:8,139,,
haskell:9,252,,
hockley:11,734,,
hockley:14,856,,
hockley:15,533,,
hockley:16,1840,,
hockley:21,2330,,
hockley:24,1010,,
hockley:32,2151,,
hockley:33,94,,
hockley:35,177,,
hockley:36,567,,
hockley:43,336,,
hockley:44,841,,
hockley:45,1625,,
hockley:46,666,,
kent:101,189,,
kent:201,36,,
kent:202,97,,
kent:301,93,,
kent:302,50,,
kent:401,130,,
lynn:1,373,,
lynn:10,12,,
lynn:11,94,,
lynn:12,253,,
lynn:13,145,,
lynn:14,438,,
lynn:2,411,,
lynn:3,654,,
lynn:4,679,,
lynn:5,39,,
lynn:6,416,,
lynn:7,46,,
lynn:8,56,,
lynn:9,400,,
mason:101,801,,
mason:210,697,,
mason:302,815,,
mason:405,845,,
mcculloch:101,963,,
mcculloch:102,125,,
mcculloch:201,461,,
mcculloch:202,121,,
mcculloch:301,771,,
mcculloch:302,194,,
mcculloch:401,437,,
mcculloch:402,267,,
mcculloch:403,115,,
menard:1,,201,
menard:2,,246,
menard:3,,271,
menard:4,,186,
menard:5,,47,
menard:6,,82,
taylor:101,3763,,
taylor:102,2586,,
taylor:103,2803,,
taylor:104,2438,,
taylor:105,4018,,
taylor:106,1753,,
taylor:107,729,,
taylor:108,1298,,
taylor:109,248,,
taylor:110,84,,
taylor:201,1999,,
taylor:202,3382,,
taylor:203,2920,,
taylor:204,1889,,
taylor:205,3606,,
taylor:206,2576,,
taylor:207,331,,
taylor:301,2666,,
taylor:302,2447,,
taylor:303,2039,,
taylor:304,3083,,
taylor:305,2978,,
taylor:306,5001,,
taylor:307,6274,,
taylor:308,1792,,
taylor:401,1378,,
taylor:402,3195,,
taylor:403,2476,,
taylor:404,2378,,
taylor:405,1918,,
taylor:406,3158,,
taylor:407,1330,,
taylor:408,4071,,
taylor:409,925,,
tom-green:106,1598,,
tom-green:107,491,,
tom-green:108,848,,
tom-green:112,1008,,
tom-green:114,960,,
tom-green:124,1641,,
tom-green:137,2685,,
tom-green:144,1721,,
tom-green:146,3459,,
tom-green:213,2725,,
tom-green:215,2484,,
tom-green:225,99,,
tom-green:228,2705,,
tom-green:230,5848,,
tom-green:241,5092,,
tom-green:304,3403,,
tom-green:305,54,,
tom-green:306,1800,,
tom-green:308,375,,
tom-green:319,3512,,
tom-green:327,2791,,
tom-green:348,804,,
tom-green:351,373,,
tom-green:358,5078,,
tom-green:401,154,,
tom-green:402,3029,,
tom-green:420,634,,
tom-green:421,3565,,
tom-green:422,1347,,
tom-green:423,1040,,
tom-green:424,2305,,
tom-green:434,1263,,
tom-green:435,1289,,
tom-green:436,3739,,
wichita:101,274,,
wichita:103,5755,,
wichita:106,1013,,
wichita:111,810,,
wichita:202,2310,,
wichita:205,4653,,
wichita:206,3728,,
wichita:208,168,,
wichita:306,1277,,
wichita:307,310,,
wichita:308,923,,
wichita:309,4401,,
wichita:310,1914,,
wichita:313,59,,
wichita:314,16,,
wichita:315,180,,
wichita:317,96,,
wichita:401,2685,,
wichita:402,872,,
wichita:403,2797,,
wichita:404,3058,,
wichita:405,2419,,
wichita:406,3446,,
wichita:407,2386,,
wichita:408,8,,
wichita:409,18,,
wichita:410,345,,
wichita:411,979,,
wichita:412,738,,
wichita:413,1154,,
wichita:414,731,,
wilbarger:1,2344,,
wilbarger:19,1985,,
wilbarger:20,1632,,
wilbarger:21,2210,,
