precinct,party,candidate,votes
culberson:1,DEM,Amy Clark Meachum,86
culberson:1,LIB,Mark Ash,5
culberson:1,REP,Nathan Hecht,69
culberson:2,DEM,Amy Clark Meachum,103
culberson:2,LIB,Mark Ash,13
culberson:2,REP,Nathan Hecht,91
culberson:3-3,DEM,Amy Clark Meachum,13
culberson:3-3,LIB,Mark Ash,1
culberson:3-3,REP,Nathan Hecht,16
culberson:3-5,DEM,Amy Clark Meachum,84
culberson:3-5,LIB,Mark Ash,6
culberson:3-5,REP,Nathan Hecht,105
culberson:4,DEM,Amy Clark Meachum,91
culberson:4,LIB,Mark Ash,4
culberson:4,REP,Nathan Hecht,56
hudspeth:1,DEM,Amy Clark Meachum,93
hudspeth:1,LIB,Mark Ash,15
hudspeth:1,REP,Nathan Hecht,212
hudspeth:2,DEM,Amy Clark Meachum,135
hudspeth:2,LIB,Mark Ash,12
hudspeth:2,REP,Nathan Hecht,157
hudspeth:3N,DEM,Amy Clark Meachum,35
hudspeth:3N,LIB,Mark Ash,4
hudspeth:3N,REP,Nathan Hecht,77
hudspeth:3S,DEM,Amy Clark Meachum,38
hudspeth:3S,LIB,Mark Ash,3
hudspeth:3S,REP,Nathan Hecht,67
hudspeth:4,DEM,Amy Clark Meachum,64
hudspeth:4,LIB,Mark Ash,10
hudspeth:4,REP,Nathan Hecht,133
presidio:1,DEM,Amy Clark Meachum,140
presidio:1,LIB,Mark Ash,4
presidio:1,REP,Nathan Hecht,83
presidio:2,DEM,Amy Clark Meachum,159
presidio:2,LIB,Mark Ash,10
presidio:2,REP,Nathan Hecht,91
presidio:3,DEM,Amy Clark Meachum,17
presidio:3,LIB,Mark Ash,0
presidio:3,REP,Nathan Hecht,5
presidio:4,DEM,Amy Clark Meachum,251
presidio:4,LIB,Mark Ash,11
presidio:4,REP,Nathan Hecht,90
presidio:5,DEM,Amy Clark Meachum,164
presidio:5,LIB,Mark Ash,10
presidio:5,REP,Nathan Hecht,88
presidio:6,DEM,Amy Clark Meachum,4
presidio:6,LIB,Mark Ash,0
presidio:6,REP,Nathan Hecht,12
presidio:7,DEM,Amy Clark Meachum,653
presidio:7,LIB,Mark Ash,19
presidio:7,REP,Nathan Hecht,218
